supplier_id,url,title,cate_info_ai,keyword_ai,description,status,reason
45d2ccb1-3f54-4539-b276-a8a34878d623,https://bareiss.de/en/product-overview/testing-devices/testing-equipment-for-gel-capsules-and-tablets,"Testing equipment for gel capsules and tablets 
","[{""catId"":611851,""catPath"":""Measuring and Testing Technology => Testing Technology => Material Testing Equipment"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=611851""}]","{""keywords_english"":{""1"":""Tablet Hardness Tester"",""2"":""Gelomat Tester"",""3"":""THT500 Tablet Hardness Tester""},""keywords"":{""1"":""Testgerät für Tablettenhärte"",""2"":""Gelomattester"",""3"":""THT500 Tablettenhärteprüfer""}}","Quality assurance in the pharmaceutical and food industries requires precise and reliable testing methods. With a specialized testing device for soft gel capsules or tablets, you can accurately analyze the physical properties of your products. Whether it's breaking force, hardness, thickness, or weight – modern testing equipment enables comprehensive quality control. 
 Tablet Hardness Testing – Precise Breaking Force MeasurementA key quality factor for tablets is their breaking strength. The THT500 tablet hardness tester offers precise hardness testing for tablets with a load range of up to 500 N. Thanks to individually adjustable test speed and force increments, the device allows for detailed analysis of tablet stability. Additionally, it can measure length, width, thickness, and weight to ensure compliance with pharmaceutical standards. 
 Soft Gel Capsule Tester – Strength Measurement for Gelatin CapsulesFor reliable analysis of soft gel capsules, the Gelomat tester offers precise strength measurement. This digital testing device measures the hardness and firmness of gelatin capsules, nutrient media, or gelatinous substances. Equipped with a standard 10 mm probe, it can also be adapted for specific gel measurements. The digital display provides accurate real-time results, ensuring efficient process control. 
 Maximum Quality Assurance with State-of-the-Art Testing TechnologyWith advanced testing devices for tablets and gel capsules, you can optimize your quality control, reduce waste, and ensure your products meet the highest standards. Whether in the pharmaceutical, food, or cosmetics industry – precise hardness testing of tablets and gel capsules is essential for consistent product quality. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://bareiss.de/en/accredited-service/manufacturer-calibration-laboratory/on-site-calibration,"On-site Calibration Service 
","[{""catId"":616716,""catPath"":""Measurement, testing and analysis services => Calibration"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=616716""}]","{""keywords_english"":{""1"":""On-site calibration service"",""2"":""Bareiss Prüfgerätebau"",""3"":""DAkkS accredited""},""keywords"":{""1"":""Vor-Ort-Kalibrierungsservice"",""2"":""Bareiss Prüfgerätebau"",""3"":""DAkkS-akkreditiert""}}","Accredited service on tour. Take advantage of our on-site calibration service. At Bareiss Prüfgerätebau GmbH we are aware that time and flexibility are of the utmost importance to our customers. That is why we offer our on-site calibration service to ensure that our customers can have their testing devices checked and calibrated quickly and efficiently and therefore there are no breaks in your production processes. Our experienced team of technicians comes to you and calibrates your testing devices directly in the company. This saves time and costs for shipping while minimizing downtime for your equipment. The service includes all types of our testing devices. We also test on site with the highest standards and in accordance with our accreditation from the German Accreditation Body DAkkS and our ISO 17025 certification. Make an appointment today or contact us if you have any further questions at service@bareiss.de. Our time is your gain. With on-site calibration, we offer maximum flexibility, minimal downtime, and the highest precision. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://bareiss.de/de/akkreditierter-service/hersteller-kalibrierlabor/individuelle-produktberatung,"Individuelle Produktberatung 
","[{""catId"":616593,""catPath"":""Measurement, testing and analysis services => Testing => Material Testing => Material Testing (Other)"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=616593""}]","{""keywords_english"":{""3"":""test equipment construction"",""2"":""individual product consultation"",""1"":""material testing""},""keywords"":{""3"":""Prüfgerätebau"",""2"":""individuelle Produktberatung"",""1"":""Materialprüfung""}}","Bei der Materialprüfung geht es um mehr als nur um Messungen und Testergebnisse. Wir bei der Bareiss Prüfgerätebau GmbH verstehen, dass es um die Sicherheit Ihrer Produkte, die Erfüllung von Normen und Standards und den Schutz Ihrer Kunden geht. Wir verstehen aber auch, dass die Welt der Materialprüfung ein großes und komplexes Themengebiet ist. Deshalb bieten wir eine individuelle Produktberatung an, um sicherzustellen, dass Sie die besten Lösungen für Ihre spezifischen Anforderungen erhalten. 
 Unsere Experten stehen Ihnen zur Verfügung, um Ihre Fragen zu beantworten, Ihnen Empfehlungen zu geben und Ihnen bei der Auswahl der richtigen Geräte und Systeme zu helfen. Wir haben jahrelange Erfahrung in der Materialprüfung und arbeiten eng mit unseren Kunden zusammen, um maßgeschneiderte Lösungen zu finden. 
 Material-prüfung als Erlebnis 
 Unser Ziel ist es, dass Materialprüfung zum Erlebnis wird. Wir wollen sicherstellen, dass Sie das richtige Prüfgerät haben, das Ihnen die genauesten Ergebnisse liefert und dabei einfach zu bedienen ist. Darüber hinaus bieten wir Schulungen und Workshops an, um sicherzustellen, dass Sie die volle Leistungsfähigkeit Ihres Geräts nutzen können. 
 Vertrauen Sie auf unsere Expertise und lassen Sie sich von unserer individuellen Produktberatung überzeugen. Wir bieten Ihnen die besten Lösungen für Ihre Materialprüfung, damit Sie sich auf Ihre Produkte konzentrieren können. Kontaktieren Sie uns noch heute, um weitere Informationen zu erhalten. 
 Haben Sie Fragen? Wir stehen Ihnen gerne zur Verfügung. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://bareiss.de/en/product-overview/testing-devices/hardness-testing-devices/mobile-hardness-testing-devices,"Mobile hardness testing devices 
","[{""catId"":611851,""catPath"":""Measuring and Testing Technology => Testing Technology => Material Testing Equipment"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=611851""}]","{""keywords_english"":{""1"":""mobile hardness tester"",""2"":""digital hardness tester"",""3"":""HP Digital""},""keywords"":{""1"":""mobile hardness tester"",""2"":""digital hardness tester"",""3"":""HP Digital""}}","Are you looking for an efficient way to test the hardness of your materials directly on site? Mobile hardness testers offer exactly that: compact, lightweight, and easy-to-use devices that deliver fast and precise results. Whether in storage, on the plantation, or during quality control in production – with a mobile hardness tester, you always have the perfect solution at hand. 
 Imagine how much time and effort you could save by performing your tests exactly where they are needed. Mobile hardness testers are not only highly flexible but also extremely accurate. They enable reliable measurement of the hardness of a wide range of materials such as rubber, plastic, or even fruits and vegetables – all without the need for bulky, stationary equipment. 
 One example of the latest developments in this field is the HP Digital. This device offers an intuitive digital interface that makes operation easier and provides precise measurement results in seconds. Thanks to its robust construction and handy format, it is ideal for use in demanding environments. 
 With a mobile hardness tester, you can optimize your workflows by conducting tests efficiently and flexibly. Save time, reduce costs, and improve the quality of your results. Whether you're monitoring production or performing material tests on-site – these devices are tailored exactly to your needs. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://bareiss.de/de/produktuebersicht/pruefgeraete/haertepruefgeraete/mobile-haertepruefgeraete,"Mobile Härteprüfgeräte 
","[{""catId"":611851,""catPath"":""Measuring and Testing Technology => Testing Technology => Material Testing Equipment"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=611851""}]","{""keywords_english"":{""3"":""HP Digital hardness tester"",""2"":""On-site material testing"",""1"":""Mobile hardness testers""},""keywords"":{""3"":""HP Digital Härteprüfer"",""2"":""Materialprüfung vor Ort"",""1"":""Mobile Härteprüfgeräte""}}","Ihre Lösung für präzise Materialprüfung vor Ort 
 Suchen Sie nach einer effizienten Möglichkeit, die Härte Ihrer Materialien direkt vor Ort zu prüfen? Mobile Härteprüfgeräte bieten Ihnen genau das: kompakte, leichte und einfach zu bedienende Geräte, die schnelle und präzise Ergebnisse liefern. Ob im Lager, auf der Plantage oder bei Qualitätskontrollen in der Produktion – mit einem mobilen Härteprüfgerät haben Sie die perfekte Lösung immer zur Hand. 
 Stellen Sie sich vor, wie viel Zeit und Aufwand Sie sparen könnten, wenn Sie Ihre Prüfungen direkt dort durchführen, wo sie gebraucht werden. Mobile Härteprüfer sind nicht nur flexibel einsetzbar, sondern auch äußerst präzise. Sie ermöglichen die zuverlässige Messung der Härte verschiedenster Materialien wie Gummi, Kunststoff oder sogar Obst und Gemüse – und das alles ohne den Einsatz sperriger, stationärer Geräte. Ein Beispiel für die neuesten Entwicklungen in diesem Bereich ist das HP Digital. Dieses Gerät bietet Ihnen eine intuitive digitale Oberfläche, die Ihnen die Bedienung erleichtert, und liefert präzise Messergebnisse in Sekundenschnelle. Dank seiner robusten Bauweise und dem handlichen Format ist es ideal für den Einsatz in anspruchsvollen Umgebungen geeignet. 
 Mit einem mobilen Härteprüfgerät können Sie Ihre Arbeitsprozesse optimieren, indem Sie Prüfungen effizient und flexibel gestalten. Sparen Sie Zeit, reduzieren Sie Kosten und steigern Sie die Qualität Ihrer Ergebnisse. Ob Sie Ihre Produktion überwachen oder Materialprüfungen vor Ort durchführen – diese Geräte sind genau auf Ihre Anforderungen abgestimmt. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://bareiss.de/de/produktuebersicht/pruefgeraete/haertepruefgeraete/shore-haertepruefgeraete?view=article&id=385:hpe-iii-basic-shore&catid=50,"HPE III Handhärteprüfgerät 
","[{""catId"":611851,""catPath"":""Measuring and Testing Technology => Testing Technology => Material Testing Equipment"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=611851""}]","{""keywords_english"":{""3"":""illuminated display"",""2"":""elastic materials"",""1"":""Hand hardness tester""},""keywords"":{""3"":""Beleuchtetes Display"",""2"":""elastische Materialien"",""1"":""Handhärteprüfgerät""}}","Mit dem Handhärteprüfer HPE III Basic messen Sie mühelos die Härte an weichelastischen Materialien, Polymeren und Verbundwerkstoffen. Sein erprobtes und ausgeklügeltes Produktdesign sichert einen korrekten Messablauf und schützt vor Bedienungsfehlern. Dank des funktionalen Handgriffs mit integrierter Anpresshülse lässt sich das Härteprüfgerät zuverlässig führen und mit normgerechtem Anpressdruck auf dem Prüfling aufsetzen. Nach Ablauf der vorgegebenen Messzeit zeigt es dem Anwender die erfolgreiche Messung mit einem Signalton an. Alle Messdaten werden anschließend auf dem beleuchteten Display angezeigt und lassen sich bequem über die BareissOne Software exportieren. Das HPE III misst als Zusatzfunktion Luftfeuchtigkeit, Umgebungs- und Probentemperatur sowie Datum und Uhrzeit. 
 
 
 Key Features 
 
 Intuitive Menüführung 
 Variable Erfassung von Härte, Datum, Uhrzeit und Sensormessdaten 
 Einstellbare Messzeit von 1-99s 
 Beleuchtetes Display 
 Anpresshülse für geführtes Aufsetzen und normgerechten Anpressdruck 
 Lithium-Ionen-Akku 
 RS-232 Kabel mit USB-Anschluss zur Datenübertragung und Aufladung 
 Integrierte Peak-Funktion hält den Höchstwert einer Messung fest, bevor sich die für Elastomere typische Relaxation einstellt 
 
 
 
 Kompatibilität 
 
 Shore A, Shore A0, Shore B, Shore C, Shore D, Shore D0, Shore E, Shore 0, Shore 00, Shore 000, Shore 000-S, Shore 000-SA 
 
 
 
 Standardisierte Methoden 
 
 ASTM D2240, DIN EN ISO 868, DIN ISO 48-4, JISK K 7312, Werksnormen 
 
 
 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://bareiss.de/de/branchen/pharma?view=article&id=345:rueckprall-elastizitaetspruefgeraet&catid=43,"Rückprall-Elastizitätsprüfgerät 
","[{""catId"":611851,""catPath"":""Measuring and Testing Technology => Testing Technology => Material Testing Equipment"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=611851""}]","{""keywords_english"":{""1"":""Rebound Elasticity Tester"",""2"":""Temperature Module"",""3"":""Spring Clamp System""},""keywords"":{""1"":""Rückprall-Elastizitätsprüfgerät"",""2"":""Temperiermodul"",""3"":""Federklemmsystem""}}","Das Rückprall-Elastizitätsprüfgerät ermittelt für Sie vollautomatisch die Elastizität von Elastomeren und ähnlichen Werkstoffen. Das integrierte Federklemmsystem lässt sich auf unterschiedliche Probestärken anpassen und fixiert die Prüfkörper sicher und einfach für die Prüfung. Nach betätigen der Starttaste wird der Messvorgang vollautomatisch durchgeführt. Dank des optionalen Temperiermoduls ermöglicht es auch Messungen an erwärmten Probekörpern und gibt damit Aufschluss über die Änderung des Elastizitätsverhaltens der Werkstoffe unter Temperatureinfluss. 
 Verschiedene Messmodi Es ist möglich neben der Messung nach Norm auch benutzerdefinierte Messungen durchzuführen. Der große Vorteil dabei ist, dass auch die Messergebnisse der Vorkonditionierungen dargestellt werden und zur Bewertung hinzugezogen werden können. 
 Messung unter Temperatureinfluss mit optionalem Temperiermodul 
 Weitere Merkmale Selbstüberprüfende Pendelzeit des Pendelhammers Flexibles Federklemmsystem für unterschiedliche Probenstärken bis 60 mm Probendicke Probenerkennung schützt vor Beschädigung der Ambossplatte Automatisierter Prüfablauf Optional: Klemmeinrichtung zur Fixierung des Prüflings mit 200 N zur Reduzierung des Benutzereinflusses 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://bareiss.de/en/product-overview/testing-devices/abrasion-detectors,"Abrasion testing devices 
","[{""catId"":611851,""catPath"":""Measuring and Testing Technology => Testing Technology => Material Testing Equipment"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=611851""}]","{""keywords_english"":{""1"":""Abrasion tester"",""2"":""Material testing"",""3"":""Wear resistance""},""keywords"":{""1"":""Abrasion tester"",""2"":""Material testing"",""3"":""Wear resistance""}}","An abrasion tester is an essential tool in material testing, helping to determine the abrasion resistance of products and thereby ensuring the longevity and durability of materials. These devices are especially important in industries such as automotive, footwear manufacturing, textiles, and plastics processing, where resistance to wear and abrasion is critical. With an abrasion tester, you can accurately measure how well materials withstand repeated contact and friction. 
 Abrasion testers deliver precise, repeatable results that help you optimize the quality and durability of your products. They simulate realistic conditions in which materials are subjected to mechanical wear, allowing you to assess key performance indicators such as friction coefficient, wear rate, and surface changes. This enables targeted development and improvement of products used in high-stress environments. 
 Abrasion testers operate with various testing methods and standards tailored to the specific needs of your industry. Whether you're testing rubber, plastics, textiles, or leather – an abrasion tester allows you to quickly and easily determine how well your material resists wear and tear. These measurements are essential for ensuring product durability and performance in real-world applications. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://bareiss.de/de/produktuebersicht/rheometer,"Rheometer 
","[{""catId"":609186,""catPath"":""Laboratory technology and supplies => Laboratory Equipment => Viscometers"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=609186""}]","{""keywords_english"":{""1"":""Rheometer"",""2"":""RPA ultra"",""3"":""Material analysis""},""keywords"":{""1"":""Rheometer"",""2"":""RPA ultra"",""3"":""Materialuntersuchung""}}","Die Rheologie ist die Wissenschaft der Fließeigenschaften von Materialien und spielt eine entscheidende Rolle in vielen Industrien wie der Gummi- und Reifenindustrie oder der Lebensmittelproduktion. Mit einem Rheometer können Sie das Verhalten von Flüssigkeiten, Pasten, Polymeren und anderen Materialien unter verschiedenen Bedingungen präzise messen. Diese Geräte liefern wertvolle Informationen über Viskosität, Elastizität und Fließverhalten, die für die Entwicklung und Qualitätskontrolle von Produkten unerlässlich sind. Höchste Qualität und kundenorientierte Lösungen stehen für uns als führender Hersteller von Prüfgeräten an erster Stelle. Aus diesem Antrieb heraus erweitern wir kontinuierlich unser Produktportfolio und setzen auf Innovation. Ein herausragendes Beispiel hierfür ist unser neues RPA ultra – ein Rheometer, das neue Maßstäbe in der Materialuntersuchung setzt. 
 Durch die vollständige Rotation der unteren Kammer eröffnet das Gerät revolutionäre Möglichkeiten zur Untersuchung von Materialien bei hohen Scherraten, die bis in den Extrusionsbereich reichen. Diese Funktion macht das RPA ultra zu einem einzigartigen Werkzeug für die Analyse von Elastomeren, Kautschukmischungen und Polymeren und ermöglicht eine präzise Bestimmung der rheologischen Eigenschaften. Das RPA ultra ist der erste ""Rubber Process Analyzer"", der es ermöglicht, Materialprozesse umfassend zu analysieren und Materialien in ihrer Gesamtheit zu charakterisieren. Dabei bietet das Gerät nicht nur die Möglichkeit, Prozesse in der Elastomerforschung zu untersuchen, sondern auch eine Vielzahl von Anwendungen in anderen Industrien wie der Kunststoff- und Lebensmittelindustrie. Es deckt alle gängigen Messmethoden ab und stellt sicher, dass Sie mit präzisen Ergebnissen arbeiten können. 
 Durch den Einsatz eines Rheometers erhalten Sie tiefgreifende Einblicke in das Verhalten von Materialien, die für die Qualität und Leistungsfähigkeit Ihrer Produkte entscheidend sind. Die genaue Bestimmung rheologischer Eigenschaften ermöglicht es Ihnen, Prozesse zu optimieren und Produkte mit konsistent hoher Qualität zu produzieren. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://bareiss.de/en/product-overview/testing-devices/hardness-testing-devices/shore-hardness-testers,"Shore hardness testing devices 
","[{""catId"":611851,""catPath"":""Measuring and Testing Technology => Testing Technology => Material Testing Equipment"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=611851""}]","{""keywords_english"":{""1"":""Shore hardness tester"",""2"":""rubber hardness testing"",""3"":""Bareiss hardness tester""},""keywords"":{""1"":""Shore Härteprüfgerät"",""2"":""Gummi Härteprüfung"",""3"":""Bareiss Härteprüfgerät""}}","A Shore hardness tester is the ideal solution for the reliable and accurate testing of the hardness of elastic materials such as rubber, plastic, or foam. These devices are specifically designed to deliver fast and precise results, whether on-site or in the laboratory. For industries such as plastics processing, the automotive sector, or quality control, Shore hardness testers provide essential support in ensuring material standards. 
 With a Shore hardness tester, you can measure material hardness according to international Shore scales (e.g., Shore A or Shore D). These measurements are crucial for verifying that materials possess the required mechanical properties, whether for seals, tires, flooring, or other products. Our Shore hardness testers stand out for their ease of use and high precision. They are compact, lightweight, and versatile, making them ideal for both mobile use and stationary testing in the lab. Many models feature digital displays that present measurements clearly and concisely, enabling quick analysis. 
 A Shore hardness tester offers not only accuracy but also efficiency. Thanks to their versatility, you save time and enhance the quality of your material testing. Whether you're developing new products or inspecting existing batches – with a Shore hardness tester from Bareiss, you're always working at the highest level. 
",COMPLETE,
