supplier_id,url,title,cate_info_ai,keyword_ai,description,status,reason
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.braendle-gmbh.de/produktion/materialien/purpir-hartschaum/,"Purpir-Hartschaum 
","[{""catId"":602655,""catPath"":""Building materials and supplies => Insulating Materials => Thermal Insulation Materials"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=602655""}]","{""keywords_english"":{""1"":""high-performance insulation"",""2"":""low thermal conductivity"",""3"":""Purpir foam""},""keywords"":{""1"":""Hochleistungsdämmstoff"",""2"":""niedrige Wärmeleitfähigkeit"",""3"":""Purpir-Hartschaum""}}","Ein Hochleistungsdämmstoff mit außerordentlich niedriger Wärmeleitfähigkeit. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.braendle-gmbh.de/produktion/materialien/hkp/,"HKP 
","[{""catId"":609005,""catPath"":""Plastics and plastic products => Plastic Sheets => Plastic Sheets (Other)"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=609005""}]","{""keywords_english"":{""1"":""plastic sheets"",""2"":""chemical resistant"",""3"":""moisture resistant""},""keywords"":{""1"":""Kunststoffplatten"",""2"":""chemikalienbeständig"",""3"":""feuchtigkeitsbeständig""}}","Die Kunststoffplatten sind extrem flexibel (leicht, große Steifigkeit, chemikalienbeständig, verrottungsfest, feuchtigkeitsbeständig, glatte und plane Oberfläche). 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.braendle-gmbh.de/produktion/schneidetechnologie/cnc-fraesen/,"CNC-Fräsen 
","[{""catId"":601641,""catPath"":""Machining and forming => Machining => Milling & Milled Parts => CNC Milling"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=601641""}]","{""keywords_english"":{""3"":""high precision"",""2"":""3D milling"",""1"":""CNC milling""},""keywords"":{""3"":""hohe Präzision"",""2"":""3D-Fräsen"",""1"":""CNC-Fräsen""}}","Mit diesem perfekten Formgebungsverfahren können beliebige räumliche Flächen für nahezu alle Anwendungen und Materialien hergestellt werden (3D-Fräsen, hohe Präzision, Reproduzierbarkeit). 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.braendle-gmbh.de/produktion/schneidetechnologie/cnc-wasserstrahl-oszillierender-messerschnitt/,"CNC-Wasserstrahl & oszillierender Messerschnitt 
","[{""catId"":601768,""catPath"":""Machining and forming => Cutting & Blanks => Water Jet Cutting"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=601768""}]","{""keywords_english"":{""3"":""highest precision"",""2"":""oscillating knife cutting"",""1"":""CNC water jet""},""keywords"":{""3"":""höchste Präzision"",""2"":""oszillierender Messerschnitt"",""1"":""CNC-Wasserstrahl""}}","Bearbeitet fast alle Materialen, ohne sie zu erhitzen oder zu verformen (höchste Präzision selbst bei komplizierten Formen). 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.braendle-gmbh.de/produktion/materialien/,"Individual and Multi-use Packing Solutions for Damping, Sealing and Insulation Problems 
","[{""catId"":614524,""catPath"":""Packaging material => Packaging Aids => Packaging Aids (Other)"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=614524""}]","{""keywords_english"":{""1"":""Packaging solutions"",""2"":""Insulation problems"",""3"":""Fire protection""},""keywords"":{""1"":""Verpackungslösungen"",""2"":""Dämmprobleme"",""3"":""Brandschutz""}}","Ohne 
 Einfalt 
 Unser breites Leistungsspektrum von individuellen Einweg- und Mehrwegverpackungen bis zu maßgeschneiderten Lösungen für die Dämm-, Dicht- und Isolierproblematik braucht eine entsprechende Materialvielfalt. Ihr Vorteil: Sie können das Optimale wählen oder sich umfassend beraten lassen. 
 Ob schützende Verpackung für sensible Medizintechnik oder lebensrettender Brandschutz – wir haben, was Sie brauchen! 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.braendle-gmbh.de/produktion/schneidetechnologie/stanztechnik/,"Stanztechnik 
","[{""catId"":601783,""catPath"":""Machining and forming => Punching & Punched Parts => Punching"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=601783""}]","{""keywords_english"":{""3"":""mass production materials"",""2"":""cost-effective manufacturing process"",""1"":""Stamping technology""},""keywords"":{""3"":""Großserienmaterialien"",""2"":""kostengünstiges Fertigungsverfahren"",""1"":""Stanztechnik""}}","Ist ein kostengünstiges Fertigungsverfahren für viele Materialen (geeignet auch für Großserien). 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.braendle-gmbh.de/produktion/materialien/glaswolle-steinwolle/,"Glaswolle & Steinwolle 
","[{""catId"":602643,""catPath"":""Building materials and supplies => Insulating Materials => Mineral Wool Insulation => Mineral Wool"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=602643""}]","{""keywords_english"":{""3"":""Bulk insulation material"",""2"":""Rock wool"",""1"":""Glass wool""},""keywords"":{""3"":""Massendämmstoff"",""2"":""Steinwolle"",""1"":""Glaswolle""}}","Als Massendämmstoff nahezu universell einsetzbar (resistent gegen Verrottung, Ungeziefer und Pilzbefall). 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.braendle-gmbh.de/produktion/schneidetechnologie/cnc-drahtschnitt/,"Vollautomatische Platten- und Konturschneideanlagen per CNC-gesteuertem horizontalem und vertikalem Drahtschnitt 
","[{""catId"":600838,""catPath"":""Machine tools and equipment => Cutting Machines => CNC Cutting Machines"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=600838""}]","{""keywords_english"":{""3"":""Thermal and cold"",""2"":""CNC-controlled wire cutting"",""1"":""Fully automatic cutting systems""},""keywords"":{""3"":""Thermisch und Kalt"",""2"":""CNC-gesteuerter Drahtschnitt"",""1"":""Vollautomatische Schneideanlagen""}}","Vollautomatische Platten- und Konturschneideanlagen per CNC-gesteuertem horizontalem und vertikalem Drahtschnitt: 
 Thermisch 
 für höchste Leistung (schnell, präzise und kostengünstig). 
 Kalt 
 mit uneingeschränktem Anwendungsgebiet (schnell, höchste Präzision). 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.braendle-gmbh.de/produkte/daemmung/,"Dämmung 
","[{""catId"":602636,""catPath"":""Building materials and supplies => Insulating Materials => Insulating Materials (Other)"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=602636""}]","{""keywords_english"":{""1"":""Insulation"",""2"":""Roller Shutter Box Insulation"",""3"":""Sound and Fire Protection""},""keywords"":{""1"":""Dämmung"",""2"":""Rollladenkasten-Isolierungen"",""3"":""Schall- und Brandschutz""}}","Rund um die Dämmtechnik sind wir ebenfalls mit ganzer Energie für Sie da. Weil wir dabei gerne über den Tellerrand hinausschauen, halten wir bei absoluter Kalkulationssicherheit genügend Kapazitäten bereit, um Sie mengenmäßig und just in time zu beliefern. Dank unserer umfassenden Material- und Verarbeitungsvielfalt bieten wir Ihnen für jede Dämmanwendung die optimalen Lösungen aus einer Hand. 
 Unsere Leistungen umfassen mit Blick auf die Schwerpunkte Wärme-, Kälte-, Schall- und Brandschutz: 
 
 Rollladenkasten-Isolierungen 
 Bauelemente 
 Einschieblinge für Fenster-/Türprofile 
 Isolatoren, Dichtungsprofile (Metall-, Fassadenbau) 
 Halbschalen / Segmente für Rohrleitungen, Behälter und Armaturen 
 Verdrängungskörper, Leisten und Fasenleisten für die Schalungstechnik (Betontechnik) 
 Fassaden-/Dekorprofile (Bossenprofile, Ornamente) 
 Sickenfüller (Akustik) für Trapezprofile 
 Gefälledächer mit Kehl- und Gratplatten, Dachrandkeile und Dachreitersysteme (Flachdachbau) 
 Handel mit Standarddämmstoffen jeglicher Art 
 
 Und weil uns aus langjähriger Erfahrung bei der Dämmtechnik so manch gute Idee dämmert, bringen wir sie gerne ein. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.braendle-gmbh.de/produktion/materialien/melaminharz-basotect/,"Basotect® Melaminharz 
","[{""catId"":608946,""catPath"":""Plastics and plastic products => Plastic => Foam Plastics"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=608946""}]","{""keywords_english"":{""1"":""Basotect® Melamine Resin"",""2"":""open-cell foam"",""3"":""fire-resistant foam""},""keywords"":{""1"":""Basotect® Melaminharz"",""2"":""offenzelliger Schaumstoff"",""3"":""schwer entflammbarer Schaumstoff""}}","Ein flexibler, offenzelliger Schaumstoff mit einzigartigem Profil (schwer entflammbar, Abrasivität, geringes Gewicht, gute Wärmedämmeigenschaften, hohes Schallabsorptionsvermögen und Tieftemperatur-Flexibilität bis -200 °C, absolute Faserfreiheit für Reinräume). 
",COMPLETE,
