id,gmt_modified,gmt_create,supplier_id,host,url,title,product_main_image,product_image_list,price,min_price,max_price,price_type,currency,pricing_unit,moq,cate_info_ai,keyword_ai,task_id,description,status,reason,main_image_object_key,image_list_object_key,final_state,page_record_id
6391,2025-12-03 04:44:27,2025-12-03 04:44:19,b7852a64-6831-4ec0-b515-cf233571cd35,derichs.de,https://derichs.de/produkte/foerdern/,"Pneumatische Förderung 
",https://derichs.de/wp-content/uploads/2016/08/foerdern-free.png,"[""https://derichs.de/wp-content/uploads/2016/09/Komponenten-Foerdern-Pneumatische-Foerderung-FPW-2-300x200.jpg"",""https://derichs.de/wp-content/uploads/2016/09/Komponenten-Foerdern-Pneumatische-Foerderung-FPS_500-1-300x200.jpg"",""https://derichs.de/wp-content/uploads/2016/09/Komponenten-Foerdern-Pneumatische-Foerderung-FPS_350-1_quer-300x200.jpg"",""https://derichs.de/wp-content/uploads/2016/09/Komponenten-Foerdern-Pneumatische-Foerderung-FPD-1-300x200.jpg""]",,,,sku_price,,,1,"[{""catId"":606329,""catPath"":""Conveyor technology => Conveyor Systems"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=606329""}]","{""keywords"":{""2"":""Anlagenteile"",""3"":""Fördermenge"",""1"":""Pneumatische Förderung""},""keywords_english"":{""2"":""Plant components"",""3"":""Conveying quantity"",""1"":""Pneumatic conveying""}}",317,"Räumliche Trennung einzelner Anlagenteile und begrenzte Raumhöhen sind für uns kein Problem. 
 Ob pneumatisch oder mechanisch – wir fördern Ihr Produkt in der gewünschten Menge an die richtige Stelle Ihrer Anlage. 
",COMPLETE,,,,1,304747
6392,2025-12-03 04:44:29,2025-12-03 04:44:22,b7852a64-6831-4ec0-b515-cf233571cd35,derichs.de,https://derichs.de/en/leistungen/automatisierung/,"Smart automation for reliable installations 
",https://derichs.de/wp-content/uploads/2016/09/Schuettungsysteme-Leistungen-Inbetriebnahme-2-300x225.jpg,"[""https://derichs.de/wp-content/uploads/2016/09/Schuettungsysteme-Leistungen-Inbetriebnahme-3-300x199.jpg""]",,,,sku_price,,,1,"[{""catId"":613047,""catPath"":""Robotics, process and automation technology => Automation Technology => Control Systems => Process Control Engineering"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=613047""}]","{""keywords"":{""2"":""prozesssteuerungssystem"",""3"":""anlageninbetriebnahme"",""1"":""automatisierung""},""keywords_english"":{""2"":""process control system"",""3"":""plant commissioning"",""1"":""automation""}}",317,"Smart automation for reliable installations 
 If you need a customised process control system for your plant, the DERICHS engineering team will develop a solution. Our technicians hold the strings in one hand from the development of the flow sheet to the running plant. All experts are working together under one roof. Short ways of information save your time and money. 
 The design engineer and the electrical engineers convert the process into the software of the plant. The human machine interface and the operation of the plant in case of emergencies will be tested with modern simulation programs. It is possible to test the plant by running it, before it has been built 
 Already at this stage, we can document and control the processes in the plant and thus optimize the production process before it has even begun. This shortens the times of commissioning and guarantees you a simple operation of the plant with constant product quality. 
 Commissioning 
 The commissioning of our plants is carried out by experienced fitters, mechatronics, electrical engineers and/or engineers. Until the handover of a plant to the customer a number of tasks to be done: 
 
 Acceptance verification of field cabling 
 Testing of inputs/outputs 
 Matching the analogue values 
 Test drive of the drives with checking the direction of rotation 
 Test drive without product 
 Start production step by step 
 Test operation 
 Instruction operating staff 
 
",COMPLETE,,,,1,304779
6393,2025-12-03 04:44:30,2025-12-03 04:44:23,b7852a64-6831-4ec0-b515-cf233571cd35,derichs.de,https://derichs.de/en/produkte/dosieren/austragen/,"Vibration Bottom DAV 
",https://derichs.de/wp-content/uploads/2016/09/Komponenten-Dosieren-Austragen-Vibrationsboden-4-1024x683.jpg,"[""https://derichs.de/wp-content/uploads/2016/09/Komponenten-Dosieren-Austragen-Vibrationsboden-3-683x1024.jpg"",""https://derichs.de/wp-content/uploads/2016/09/Komponenten-Dosieren-Austragen-Vibrationsboden-2-683x1024.jpg""]",,,,sku_price,,,1,"[{""catId"":606340,""catPath"":""Conveyor technology => Conveyors => Vibratory Conveyors"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=606340""}]","{""keywords"":{""2"":""Schwingboden"",""3"":""Schüttgut"",""1"":""Entladevorrichtung""},""keywords_english"":{""2"":""vibration bottom"",""3"":""bulk goods"",""1"":""discharge device""}}",317,"Safe and Steady Discharge of Bulk Goods from Silos and Containers 
 The Vibration Bottom DAV is used if non-free flowing products are to be discharged from silos or containers, or if product separation is to be prevented during discharge. 
 The vibration bottom takes the product from a silo or container over a large cross-section and carries it through a much smaller cross-section. The size of the vibration bottom depends on the silo geometry and the product properties. Of course, we are will advise you on the right size of the vibrating floor. 
 The Vibration Bottom DAV is installed directly on the outlet of a silo or tank. For this purpose, the outlet cone must be equipped with suspension claws and a compensator connection ring. 
 A silo can be designed directly for the Vibration Bottom DAV, but in many cases a retrofitted installation is also possible. 
 The Vibration Bottom DAV is equipped with a continuously variable vibration motor, which puts the entire unit in a horizontal torsional vibration. The vibration bottom is delivered completely pre-assembled with vibration elements, vibration motor and inlet compensator. 
",COMPLETE,,,,1,304759
6394,2025-12-03 04:44:39,2025-12-03 04:44:32,b7852a64-6831-4ec0-b515-cf233571cd35,derichs.de,https://derichs.de/loesungen/chemie/,"Chemie 
",https://derichs.de/wp-content/uploads/2016/08/Schuettungsysteme-Banchen-Chemie-3-300x225.jpg,,,,,sku_price,,,1,"[{""catId"":613596,""catPath"":""Raw materials and chemistry => Fillers"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=613596""}]","{""keywords"":{""3"":""Materialzuführsysteme"",""1"":""Produktionsanlagen"",""2"":""Explosionsschutz""},""keywords_english"":{""3"":""Material feeding systems"",""1"":""Production facilities"",""2"":""Explosion protection""}}",317,"Egal ob Füllstoffe, Farbpigmente, Additive, Toner – wir wissen, wie wir Ihr Produkt handhaben müssen. Umfangreiche Erfahrung in der Gestaltung von Produktionsanlagen mit kritischen Produkten wie zum Beispiel Kreide, Titandioxid oder Harz lässt uns für jede Herausforderung eine Lösung finden. 
 Begriffe wie Atex und konstruktiver Explosionsschutz sind für uns genau so selbstverständlich wie HAZOP (PAAG). 
 Erfahrung ist unsere Stärke: 
 
 vollautomatische Materialzuführsysteme für Schüttgüter und Flüssigkeiten 
 produktoptimierte Siloanlagen 
 kontinuierliche und Batch-Mischsysteme 
 Dosiersysteme für den kontinuierlichen oder Batch-Betrieb 
 Befüll- und Enleersysteme für Säcke, Big-Bags und Silofahrzeuge 
 Prozess-IT mit Prozessvisualisierung, Rezepturverwaltung und Chargenrückverfolgung 
 
",COMPLETE,,,,1,304749
6395,2025-12-03 04:44:49,2025-12-03 04:44:41,b7852a64-6831-4ec0-b515-cf233571cd35,derichs.de,https://derichs.de/leistungen/technikum/,"Technikum 
",https://derichs.de/wp-content/uploads/2018/09/DER_Technikum_3374_301_low.jpg,"[""https://derichs.de/wp-content/uploads/2018/09/DERICHS_Technikum_3373_4290_low-2400x1709.jpg""]",,,,sku_price,,,1,"[{""catId"":616650,""catPath"":""Measurement, testing and analysis services => Chemical Analysis => Material Analyses"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=616650""}]","{""keywords"":{""3"":""Dosieren"",""1"":""Schüttgutsysteme"",""2"":""pneumatische Förderung""},""keywords_english"":{""3"":""Dosing"",""1"":""Bulk material systems"",""2"":""Pneumatic conveying""}}",317,"Die sichere Auslegung und Gestaltung von Schüttgutsystemen ist unsere zentrale Aufgabe und Kompetenz. Dazu ist es notwendig, die physikalischen und schüttguttechnischen Eigenschaften der zu verarbeitenden Rohstoffe zu kennen. Jedes Produkt hat seine speziellen, stark vom Herstellungsprozess beeinflussten Eigenschaften. Unter dieser Voraussetzung zeigt sich, dass bei der Verarbeitung von Schüttgütern nicht nur die Erfahrung im Umgang mit den entsprechenden Produkten zählt. Vor allem müssen bei der Erarbeitung des Anlagenkonzepts das Fließverhalten, eine potenzielle Verklumpung des Produktes bei der Lagerung, eine Fluidisierung während der Förderung oder auch die Produktzerstörung bei langen Förderwegen bei der Erarbeitung eines Anlagenkonzeptes berücksichtigt werden. Versuche unter realistischen Bedingungen sind durch nichts zu ersetzen. 
 Sowohl das Unternehmen, als auch unsere Kunden, erhalten so die Ergebnisse, die für sicherere Produktionsprozesse und kalkulierbare Umsetzung neuer Verfahren notwendig sind. 
 Versuchen, Vorführen, Verifizieren 
 Auf über 600 qm mit drei Etagen stehen in unserem Technikum dazu Versuchsgeräte, Messstrecken und Maschinen zur Verfügung, die für die klassischen Aufgabenstellungen der Schüttgutindustrie erforderlich sind. Neben der Funktionalität vermitteln diese einen Eindruck von der Qualität, die seit Jahren ein Markenzeichen von Derichs ist. Rohstoffe können in beliebigen Gebinden über diverse Aufgabemöglichkeiten den einzelnen Systemen zugeführt und wieder abgefüllt werden. Darüber hinaus können labortechnisch grundlegende, physikalische Kennwerte ermittelt werden und in einer Datenbank strukturiert hinterlegt werden. So werden Zusammenhänge transparent als Grundlage für weitere Maßnahmen. 
 Folgende Versuche sind möglich: 
 
 pneumatische Förderungen bis zu 200 m (Druckförderung, Saugförderung, Dense Phase Förderung) 
 gravimetrisches und volumetrisches Dosieren 
 batchweises- und kontinuierliches Mischen 
 Ermittlung des Austragsverhalten von Big-Bags und Säcken 
 Sieben mit einer Wirbelstromsiebmaschine 
 Produktzerkleinerung mit Sieb- und Klumpenbrecher 
 individuelle Versuchsaufbauten nach Absprache
Bei dieser Erprobung im industriellen Maßstab sehen Sie schon vorher, wie Ihre Anlage nachher funktionieren wird. 
 
",COMPLETE,,,,1,304729
6396,2025-12-03 04:44:51,2025-12-03 04:44:44,b7852a64-6831-4ec0-b515-cf233571cd35,derichs.de,https://derichs.de/en/aktuelles/,"Rührwerkdosierer 
",https://derichs.de/wp-content/uploads/2019/11/DER_DMK_3531_038_03.jpg,,,,,sku_price,,,1,"[{""catId"":600659,""catPath"":""Packaging machinery => Dosing Systems"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=600659""}]","{""keywords"":{""2"":""Pulverlacke Mischanlage"",""3"":""Big-Bag Befüllstationen"",""1"":""Dosiertechnik""},""keywords_english"":{""2"":""Powder coating mixing system"",""3"":""Big-Bag filling stations"",""1"":""Dosing technology""}}",317,"Neuentwicklung im Bereich Dosiertechnik. 
 Eigene Publikation: 11/19 
 How to Cope with Lactose Powder 
 Präzise Zuführung von Zutaten 
 Mischanlage für Pulverlacke 
 Carbon fördern und dosieren 
 Big-Bag Befüllstationen für verschiedene Anforderungen 
 Silo-, Förder-, Dosier- und Homogenisiertechnik nach Maß 
 Schüttgutanlagen aus einer Hand 
 Standardisierung vs. Individualisierung 
 Beispielhafte Schüttgutverarbeitung 
 Modularisierung im Anlagenbau 
 Big-Bag kontra Sack 
 Big-Bags verdrängen Säcke 
 Einsatz von Big-Bags erhöht die Wirtschaftlichkeit 
 Einsatz von Big-Bags erhöht die Wirtschaftlichkeit 
 Big-Bag Entleersysteme 
",COMPLETE,,,,1,304771
6397,2025-12-03 04:44:53,2025-12-03 04:44:46,b7852a64-6831-4ec0-b515-cf233571cd35,derichs.de,https://derichs.de/en/produkte/foerdern/pneumatische-foerderung?k=saugfoerdergeraet-fps-350,"Feeder Diverter FPW 
",https://derichs.de/wp-content/uploads/2016/09/Komponenten-Foerdern-Pneumatische-Foerderung-FPW-2-300x200.jpg,"[""https://derichs.de/wp-content/uploads/2016/09/Komponenten-Foerdern-Pneumatische-Foerderung-FPW-1-582x1024.jpg"",""https://derichs.de/wp-content/uploads/2016/09/Komponenten-Foerdern-Pneumatische-Foerderung-FPW-2-1024x683.jpg"",""https://derichs.de/wp-content/uploads/2016/09/Komponenten-Foerdern-Pneumatische-Foerderung-FPW-3-1024x683.jpg""]",,,,sku_price,,,1,"[{""catId"":606328,""catPath"":""Conveyor technology => Conveying Technology (Other)"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=606328""}]","{""keywords"":{""2"":""pneumatische Förderlinien"",""3"":""Gehäuse aus Aluminiumguss"",""1"":""Produktverteilschalter""},""keywords_english"":{""2"":""pneumatic conveying lines"",""3"":""cast aluminum housing"",""1"":""feeder diverter""}}",317,"The Feeder Diverter FPW is used to distribute and collect product flows in pneumatic conveying lines. The compact construction enables an easy installation in the pneumatic conveying lines. 
 An optimal seal and an unobstructed conveying cross-section guarantee a problem-free use with powders and granules. The Feeder Diverter FPW consists of a housing with two side covers and an integrated drive, in which a plug with two passages directs the product stream. The housing and the plug are made of cast aluminum, but with inserts made of stainless steel (1.4541) for the product-contacting surfaces. A special sealing ring inserted into the housing serves as a seal between the housing and the rotating chuck. The outlets of the switch are pressure-resistant and gas-tight to 4 bar overpressure and pressure-resistant up to 10 bar. The drive integrated in one side cover can be installed both on the right and left. 
 By loosening the screws of the side cover, removing the cover and pulling out the plug, the conveyor can be disassembled quickly for cleaning purposes. However, the unit is not CIP-capable. 
 The feeder diverter is equipped with a pulse solenoid valve with two coils and two inductive proximity switches for the position feedback. The unit is completely wired up to the terminal box. The control voltage is 24V / DC and the required control pressure is 4 to 8 bar. The maximum permissible product temperature is 120 ° C. 
",COMPLETE,,,,1,305016
6398,2025-12-03 04:44:58,2025-12-03 04:44:52,b7852a64-6831-4ec0-b515-cf233571cd35,derichs.de,https://derichs.de/en/produkte/foerdern/mechanische-foerderung/?k=trogschneckenfoerderer-fms-t,"Overhead Conveyor System FHM 1500 
",https://derichs.de/wp-content/uploads/2016/09/komponenten-foerdern-mechanisch-FHM-haengebahnfoerderer_3-small.jpg,"[""https://derichs.de/wp-content/uploads/2016/09/komponenten-foerdern-mechanisch-FHM-haengebahnfoerderer_4-small-e1523613510882.jpg"",""https://derichs.de/wp-content/uploads/2016/09/komponenten-foerdern-mechanisch-FHM-haengebahnfoerderer_2-small.jpg"",""https://derichs.de/wp-content/uploads/2016/09/komponenten-foerdern-mechanisch-FHM-haengebahnfoerderer-small.jpg""]",,,,sku_price,,,1,"[{""catId"":606494,""catPath"":""Conveyor technology => Transport Systems => Transport Systems (Other)"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=606494""}]","{""keywords"":{""2"":""Automatic Transport System"",""3"":""Big-Bag Handling"",""1"":""Overhead Conveyor""},""keywords_english"":{""2"":""Automatic Transport System"",""3"":""Big-Bag Handling"",""1"":""Overhead Conveyor""}}",317,"Overhead Conveyor System FHM 1500 
 Automatic Transport System for Big-Bags up to a Weight of 1500 kg 
 In order to meet the requirement of being able to transport big bags even without pallets, a system was developed which make the transport as far as possible automatically. 
 For this purpose a technology from automotive production is used as an example. A cover-bound transport system has been combined with a big-bag pick-up and lifting device with automatic bag hooks. 
 Functional principle: 
 The individual vehicles operate largely autonomously after entering a driving target. Straight lines, curves, points and gate or slips can be realized. Several vehicles can be operated on the same roof rail. At the target, the big-bag is then set down fully automated (for example on a pallet). A weighing cell was integrated to check the lifting processes. 
 Since, the goal was an application especially in the food industry the entire vehicle was designed from stainless steel in hygienic design. The lifting device fulfills all safety regulations and is supplied by a well-known automotive supplier. Only in the case of the permissible lifting device stainless steel be could be used only partly. 
 The vehicles can be used both for the loading of big-bag emptying systems and for the transport to a big-bag filling station. 
 This technique is also well suited for the retrofit installation of hygienic sluices in big-bag filling or emptying systems, especially when the optimal solution (our Big-Bag-Revolver) is not to be accommodated spatially. 
 A direct transport to a central winder is also conceivable. 
",COMPLETE,,,,1,305111
6399,2025-12-03 04:45:00,2025-12-03 04:44:54,b7852a64-6831-4ec0-b515-cf233571cd35,derichs.de,https://derichs.de/loesungen/nahrung/,"Schüttungssysteme für Nahrung 
",https://derichs.de/wp-content/uploads/2016/08/Schuettungsysteme-Banchen-Nahrung-2-300x199.jpg,"[""https://derichs.de/wp-content/uploads/2016/08/ref1-rezeptgesteuerte_container-mischanlage.jpg"",""https://derichs.de/wp-content/uploads/2016/08/ref2-siloanlage-fuer-milchpulver.jpg"",""https://derichs.de/wp-content/uploads/2016/08/ref5-siloanlage-fuer-milch-und-molkepulver.jpg"",""https://derichs.de/wp-content/uploads/2016/08/ref6-produktionsanlage-fuer-paniermehl.jpg""]",,,,sku_price,,,1,"[{""catId"":600199,""catPath"":""Food technology => Food Plants"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=600199""}]","{""keywords"":{""3"":""hygieneoptimierte Probenahmesysteme"",""1"":""Schüttgutanlagen Milchwirtschaft"",""2"":""vollautomatische Materialzuführsysteme""},""keywords_english"":{""3"":""hygiene-optimized sampling systems"",""1"":""bulk material systems dairy industry"",""2"":""fully automatic material feeding systems""}}",317,"Egal ob Zucker, Stärke, Mehl, Milch- oder Laktosepulver – wir wissen, wie wir Ihr Produkt handhaben müssen. Umfangreiche Erfahrung in der Gestaltung von Lebensmittelanlagen lässt uns für jede Herausforderung eine Lösung finden. 
 Begriffe wie Atex und EHEDG sind für uns genau so selbstverständlich wie die Lebensmittel-Konformität nach EG-Richtlinie 1935/2004. 
 Neben unserer Leidenschaft für die allgemeine Nahrungsmittelindustrie, haben wir uns zum Marktführer für Schüttgutanlagen in der Milchwirtschaft entwickelt. 
 Erfahrung ist unsere Stärke: 
 
 vollautomatische Materialzuführsysteme für Schüttgüter und Flüssigkeiten 
 produktoptimierte Siloanlagen 
 hygieneoptimierte Probenahmesysteme 
 kontinuierliche und Batch-Mischsysteme 
 Dosiersysteme für den kontinuierlichen oder Batch-Betrieb 
 Befüll- und Enleersysteme für Säcke, Big-Bags und Silofahrzeuge 
 Prozess-IT mit Prozessvisualisierung, Rezepturverwaltung und Chargenrückverfolgung 
 
",COMPLETE,,,,1,304725
6400,2025-12-03 04:45:05,2025-12-03 04:44:58,b7852a64-6831-4ec0-b515-cf233571cd35,derichs.de,https://derichs.de/en/produkte/dosieren/,"Dosing Components 
",https://derichs.de/wp-content/uploads/2016/08/dosieren-free-en.png,"[""https://derichs.de/wp-content/uploads/2016/09/Komponenten-Dosieren-Austragen-Vibrationsboden-4-300x200.jpg"",""https://derichs.de/wp-content/uploads/2016/09/Komponenten-Dosieren-Dosiergeraete-DDA-3-300x200.jpg"",""https://derichs.de/wp-content/uploads/2016/09/Komponenten-Dosieren-Klappen_Verteiler-DKA-1-300x200.jpg"",""https://derichs.de/wp-content/uploads/2016/09/Komponenten-Dosieren-Probenehmer-DPS-1-300x200.jpg"",""https://derichs.de/wp-content/uploads/2016/09/Komponenten-Dosieren-Probenehmer-DPH-1-300x200.jpg"",""https://derichs.de/wp-content/uploads/2016/09/komponenten-dosieren-probennehmer-DPE-01-small-250x166.jpg"",""https://derichs.de/wp-content/uploads/2016/09/komponenten-dosieren-schleusen-DSZ-01-small-250x166.jpg"",""https://derichs.de/wp-content/uploads/2016/09/Komponenten-Dosieren-Schleusen-DSR-3-300x200.jpg""]",,,,sku_price,,,1,"[{""catId"":611855,""catPath"":""Measuring and Testing Technology => Dosing Devices and Systems"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=611855""}]","{""keywords"":{""3"":""Chargensystem"",""1"":""Dosierkomponenten"",""2"":""gewichtsexakt Dosierung""},""keywords_english"":{""3"":""batch system"",""1"":""dosing components"",""2"":""exact weighting dosing""}}",317,"Exact weighting and dosing is a major step in the production of your product. 
 Benefit from our many years of experience with continuous- and batch systems. 
 Discharging 
",COMPLETE,,,,1,304794
