supplier_id,url,title,cate_info_ai,keyword_ai,description,status,reason
45d2ccb1-3f54-4539-b276-a8a34878d623,https://fichter-formtec.de/maschinen/segmentformer/segmentformer-sf50/,"Segmentformer SF50 
","[{""catId"":600907,""catPath"":""Machine tools and equipment => Pressing Machines => Servo Presses"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=600907""}]","{""keywords_english"":{""2"":""Pressing Sleeves"",""1"":""Press Machine SF50"",""3"":""Crimping Sensor Housings""},""keywords"":{""2"":""Pressen von Hülsen"",""1"":""Pressautomat SF50"",""3"":""Sensorgehäuse einbördeln""}}","Segmentformer SF50 
 Der Pressautomat SF50 – SegmentFormer – eignet sich besonders zum: 
 
 Pressen / Verpressen von Hülse mit Kabel oder Schläuchen 
 Pressen / Verpressen von Gehäuse mit Steckern 
 Pressen / Verpressen von Schläuchen und Rohren 
 Pressen / Verpressen von Sensoren mit Kabel 
 
 Größerer Formbereich für mittelgroße Bauteile mit konstanter Qualität. 
 Mit der motorischen Presse erreichen Sie eine formschlüssige Verbindung unter anderem zur besseren Zugentlastung, Verdrehsicherung oder Abschirmung. 
 Für Verarbeiter von rotationssymetrischen Bauteilen stellt der Segmentformer SF50 eine konsequente Weiterentwicklung vorhandener Systeme zur Pressung von Rohren, Rohrenden, Hülsen, Gehäusen, Armaturen und vielen Anwendungen mehr dar. 
 Eine typische Anwendung ist es zum Beispiel, Anschlussleitungen in Sensorhülsen mechanisch gegen herausziehen zu sichern und gleichzeitig abzudichten. Außerdem lassen sich mit diesem Verfahren Stecker in Sensorgehäuse einbördeln und vieles mehr. Wandstärken von 1,0 mm bis zu ca. 2,0 mm bei einem Durchmesser von 3 bis 50 mm sind möglich. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://fichter-formtec.de/en/machines/segment-formers/segment-former-sf50/,"Segment Former SF50 
","[{""catId"":605481,""catPath"":""Electrical engineering => Electromechanical Machines => Crimping Machines"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=605481""}]","{""keywords_english"":{""3"":""crimping cables"",""2"":""SegmentFormer SF50"",""1"":""automatic crimping machine""},""keywords"":{""3"":""Crimpen von Kabeln"",""2"":""SegmentFormer SF50"",""1"":""automatische Crimpmaschine""}}","The SF50 automatic crimping machine – SegmentFormer – is particularly suitable for: 
 
 Crimping sleeves with cables or hoses 
 Crimping housings with connectors 
 Crimping hoses and pipes 
 Crimping sensors with cables 
 
 Larger forming range for medium-sized components with consistent quality. 
 With the motorized press, you can achieve a form-fitting connection, including improved strain relief, anti-rotation protection, or shielding. 
 For processors of rotationally symmetrical components, the Segmentformer SF50 represents a consistent further development of existing systems for crimping pipes, pipe ends, sleeves, housings, fittings and many other applications. 
 A typical application, for example, is to mechanically secure connecting cables in sensor sleeves against being pulled out and to seal them at the same time. In addition, this process can be used to flange connectors into sensor housings and much more. Wall thicknesses of 1.0 mm up to approx. 2.0 mm with a diameter of 3 to 50 mm are possible. 
 Machine structure 
 The operation of the crimping machine is very simple. The workpiece to be formed is inserted into the processing opening and usually positioned by means of a stop; it stands still while the forming jaws move axially onto the workpiece. The corresponding parameters for the processing can be stored and managed in the machine control. The user interface allows simple, logical operation. All functionally important processes are electronically monitored and the data is recorded in the control system. This ensures a high level of process reliability and reproducibility. 
 Optional components / attachments 
 The standard SegmentFormer SF50 can be equipped with various optional attachments and functions. This makes it possible, for example, to expand the machine into a semi-automatic press with process monitoring. 
 
 Force transducer integrated in the toggle lever determines forces occurring in the lever 
 Graphical output of the forces on a separate measuring device 
 OK and not OK evaluation 
 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://fichter-formtec.de/en/contract-manufacturing/surface-grinding/,"Surface Grinding Services 
","[{""catId"":601951,""catPath"":""Machining and forming => Contract Grinding"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=601951""}]","{""keywords_english"":{""2"":""FS 840 Connect"",""1"":""CNC surface grinding"",""3"":""dimensional and geometrical accuracy""},""keywords"":{""2"":""FS 840 Connect"",""1"":""CNC surface grinding"",""3"":""dimensional and geometrical accuracy""}}","Contract surface grinding 
 Do you need extremely precise components or a particularly high surface quality? 
 
 CNC contract surface grinding: Precise machining of your components for maximum dimensional and geometrical accuracy. 
 Flexible capacity utilization: Available for existing workpieces or as a supplementary manufacturing step to our services. 
 
 Contract surface grinding – Your advantages 
 
 Maximum precision & surface quality: Guarantees low roughness and excellent dimensional and geometrical accuracy of your workpieces. 
 Consistent results: State-of-the-art CNC grinding machines ensure high machining quality and precision, ideal for series production. 
 Flexible capacity utilization: Gain access to manufacturing capacities without your own investments in technology or know-how. 
 Benefit from experience: Take advantage of our expertise in surface grinding directly. 
 
 Services and possibilities of surface grinding 
 In CNC surface grinding, the grinding tool moves computer-controlled over the workpiece. For this purpose, a machining pattern is defined in advance, in which the grinding machine then precisely removes material evenly at the desired points. 
 This method is precise and efficient and is suitable for individual parts as well as for small series. Workpieces of up to 600x300x400 mm can be machined. Aluminum surface grinding, stainless steel surface grinding, but also surface grinding of steel or hardened tool steel is possible. 
 Areas of application for surface grinding 
 Surface grinding of workpieces is particularly useful in areas that require the highest accuracy of fit or for applications in which precision plays a major role, such as the automotive, aerospace, or mechanical and plant engineering industries. However, we manufacture components for every application according to your individual requirements. We manufacture these according to your drawings or create the CAD models ourselves. 
 New milestone in our production: The FS 840 Connect surface grinding machine from Geibel and Hotz 
 In modern manufacturing, the ability to create precise and uniform surfaces is essential. Surface grinding is a crucial process in metalworking, in which workpieces are machined by grinding on a flat surface. This method not only enables exact dimensioning but also excellent surface quality. However, in order to achieve the required tolerances and surface qualities, high-quality machines are necessary that guarantee extreme accuracy and reliability. 
 The FS 840 Connect surface grinding machine sets new standards in precision and efficiency. With its robust design and innovative technology, the FS 840 Connect is designed to meet even the most demanding requirements of industrial manufacturing. 
 An outstanding feature of the FS 840 Connect is its intelligent control system, which enables seamless integration into existing production lines. Thanks to state-of-the-art sensor technology and automation techniques, this surface grinding machine ensures precise grinding results, minimizes material loss and significantly increases productivity. 
 In addition, the FS 840 Connect offers a user-friendly interface that enables easy operation and maintenance. This allows even less experienced operators to work efficiently with the machine and ensure the quality of the parts produced. 
 The introduction of the FS 840 Connect marks another step in precision machining in our company. An ideal solution that values the highest quality and efficiency and optimizes our production processes. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://fichter-formtec.de/en/machines/rolling-formers/rollierformer-rf50/,"Roller former RF50 
","[{""catId"":601086,""catPath"":""Machine tools and equipment => Rolling Machines"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=601086""}]","{""keywords_english"":{""2"":""rolling machine"",""1"":""RollierFormer RF50"",""3"":""cable rolling""},""keywords"":{""2"":""rolling machine"",""1"":""RollierFormer RF50"",""3"":""cable rolling""}}","The RF50 rolling machine – RollierFormer – is particularly suitable for: 
 
 Rolling sleeves with cables or hoses 
 Rolling housings with connectors 
 Rolling hoses and pipes 
 Rolling sensors with cables 
 
 Versatile rolling machine for high-precision and tight connections at Ø 10-50 mm. 
 With the rolling machine, you can achieve a form-fitting connection, among other things, for better strain relief or tightness 
 For processors of rotationally symmetrical components, the Rollierformer RF50 represents a consistent further development of existing systems for rolling pipes, pipe ends, sleeves, housings, fittings and many other applications. 
 A typical application, for example, is to mechanically secure connecting cables in sensor sleeves against being pulled out and at the same time seal them (IP67 possible). In addition, connectors can be rolled into sensor housings and much more using this method. Wall thicknesses from 0.2 mm up to approx. 2.0 mm with a diameter of 10 to 50 mm are possible. 
 Machine structure 
 The rolling machine is very easy to operate. The workpiece to be formed is inserted into the machining opening and usually held in place by means of a collet. A major advantage over other systems is that the component stands still while the tools roll around the axis of the workpiece. The corresponding parameters for machining can be stored and managed in the machine control. The user interface allows simple, logical operation. All functionally important processes are electronically monitored and the data is recorded in the control system. This ensures a high level of process reliability and reproducibility. 
 Optional components / attachments 
 The standard RollierFormer RF50 can be equipped with various optional attachments and functions. This makes it possible, for example, to expand the machine into a semi-automatic rolling machine with process monitoring. 
 Technical data 
 
 DimensionsStandard 1,200 x 1,200 x 2,100 mm (LxWxH) - Tool dataNumber of rolling rolls 1 / 3 - Rolling rolls Hardened - Possible rolling diameters 10 – 50 mm - Max. groove width Up to 5 mm - Possible wall thicknesses 0.2 – 2 mm - Voltage supply Mains 3 x L / PE 400V / 50Hz - Power3 kVA - Electricity8.2 A - Pre-fuseMax. 16 A - Line cross-section5 x 2.5mm² - Compressed airNot required - WeightApprox. 950 kg - Cycle time Approx. 4 – 6 sec. Depending on diameter and number of grooves - Repeatability ± 0.05 mm 
 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://fichter-formtec.de/maschinen/segmentformer/segmentformer-sf25-compact/,"Segmentformer SF25-Compact 
","[{""catId"":604035,""catPath"":""Fastening technology, joining technology and fittings => Fittings => Press Fittings"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=604035""}]","{""keywords_english"":{""3"":""Pick&Place systems"",""2"":""connector sealing"",""1"":""SF25-Compact""},""keywords"":{""3"":""Pick&Place systems"",""2"":""connector sealing"",""1"":""SF25-Compact""}}","Segmentformer SF25-Compact 
 The SF25-Compact model is compact and space-saving, ideal for small workshops or mobile use. 
 With the motor press, you achieve a secure connection, such as for better extraction relief, twist protection, or shielding. 
 A typical application is to mechanically secure and seal connector lines in sensor housings. Additionally, this method can be used to insert plugs into sensor housings, and much more. Wall thicknesses of 0.2 mm to about 1.0 mm with a diameter of 3 to 25 mm are possible. 
 The SF25 compact was specifically developed for parts that are inserted from above or below into the machine's press plates. Main applications include areas with limited space and partial or fully automated systems, such as WT-supply with a single-piece station, robot supply, and Pick&Place systems. 
 Maschinenaufbau 
 Operating the machine is very simple. The workpiece to be formed is introduced into the processing opening, usually positioned with a fixture, it remains still while the form plates axially approach the workpiece. The relevant processing parameters can be stored and managed in the machine's own control through simple and logical operation. All functional processes are electronically monitored, and the data is captured in the control. 
 This can also be done by a higher-level system control. 
 Thus, high process safety and reproducibility are ensured. 
 
 
 Basismodul with mounting holes for all functional components: Grundkonsole with holder for Servomotor, Gearbox and Encoder 
 
 
 Rüstsatz in two variants available: Variante 1: Narrow version for wall thicknesses up to 1.0 mm - Variante 2: Reinforced version for wall thicknesses from 1.0 to about 2.0 mm 
 
 
 Formbacken (Formwerkzeug), Flach- oder Rundpressen, Anzahl 6/8/12/16 möglich 
 
 
 Covering the drive mechanism 
 
 
 Formhead securely held to the rear with a guard, ensuring easy part introduction. 
 
 
 Front guard available with a light curtain 
 
 
 Emergency stop stops all movements immediately. 
 
 
 VIPA Speed7 SPS with Siemens TP700 comfort panel; S7 and TIA-Portal V13 
 
 
 Datasets available on the panel (optional with barcode scanner) 
 
 
 Product-specific parameter database 
 
 
 Three access levels for machine control (operator, service, and administrator) 
 
 
 Languages freely selectable, standard is German and English, additional languages with a price 
 
 
 Circuit breaker installed in the frame 
 
 
 Inclusion of all machine components 
 
 
 Stainless steel frame welded and coated with 4 rotatable rollers, 2 with brake 
 
 
 Optional aluminum system profile 
 
 
 Documentation, hazard analysis, CE sign 
 
 
 Optionale Komponenten / Anbauten 
 The standard SegmentFormer SF25Compact can be equipped with various optional attachments and functions. This allows, for example, to extend the machine to a semi-automatic press with process monitoring. 
 
 
 Manual positioning of the positioning jig 
 
 
 Variable number of positions per dataset 
 
 
 Position checked via encoder and displayed on the OP 
 
 
 Part position detected by the positioning jig sensor 
 
 
 Machine starts automatically or with a foot switch 
 
 
 Frei programmierbarer Satzablauf (max. 30 Befehle je Datensatz) 
 
 
 Several press positions programmable in a dataset 
 
 
 Jig position driven to the set position by selection of the dataset 
 
 
 Position displayed on the OP 
 
 
 Part position detected by the positioning jig sensor 
 
 
 **Machine starts automatically or with a foot switch 
 
 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://fichter-formtec.de/en/machines/segment-formers/segment-former-sf25/,"Segment Former SF25 
","[{""catId"":600898,""catPath"":""Machine tools and equipment => Pressing Machines => Pressing Machines (Other)"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=600898""}]","{""keywords_english"":{""3"":""crimping tool"",""2"":""Segment Former"",""1"":""SF25 automatic press""},""keywords"":{""3"":""Krimpwerkzeug"",""2"":""Segment Former"",""1"":""SF25 automatische Presse""}}","The SF25 automatic press – Segment Former – is particularly suitable for: 
 
 Crimping / pressing sleeves with cables or hoses 
 Crimping / pressing housings with connectors 
 Crimping / pressing hoses and pipes 
 Crimping / pressing sensors with cables 
 
 Compact standard solution for precise forming of small workpieces. Ideal for individual parts small series. 
 With the motorized press, you can achieve a form-fitting connection, among other things, for better strain relief, anti-rotation protection or shielding 
 For processors of rotationally symmetrical components, the Segment Former SF25 represents a consistent further development of existing systems for pressing pipes, pipe ends, sleeves, housings, fittings and many other applications. 
 A typical application, for example, is to mechanically secure connecting cables in sensor sleeves against being pulled out and to seal them at the same time. In addition, this process can be used to flange connectors into sensor housings and much more. Wall thicknesses from 0.2 mm up to approx. 1.0 mm with a diameter of 3 to 25 mm are possible, depending on the material. 
 Machine structure 
 The operation of the SF25 automatic press is very simple. The workpiece to be formed is inserted into the machining opening and usually positioned by means of a stop; it stands still while the forming jaws move axially onto the workpiece. The corresponding parameters for machining can be stored and managed in the machine control. The user interface allows simple, logical operation. All functionally important processes are electronically monitored and the data is recorded in the control system. This ensures a high level of process reliability and reproducibility. 
 
 
 Basic module with mounting holes for accommodating all functional components, consisting of: Basic console with holder for servo motor, gearbox and encoder 
 
 
 Retrofit kit available in two versions: 
 
 Version 1: Narrow version for wall thicknesses up to 1.0 mm 
 Version 2: Reinforced version for wall thicknesses from 1.0 to approx. 2.0 mm 
 
 
 
 Forming jaws (forming tool), flat or round pressing, number 6/8/12/16 possible 
 
 
 Covering of the drive mechanism 
 
 
 Forming head secured on both sides by cover or protective tube 
 
 
 Also available with light grid, only insertion area or complete 
 
 
 Emergency stop stops all movements immediately 
 
 
 VIPA Speed7 PLC with operator panel Siemens TP700 comfort; S7 and TIA-Portal V13 
 
 
 Data records can be selected via the operator panel (optionally using a barcode scanner) 
 
 
 Database for product-specific parameters 
 
 
 Three access levels for machine control (operator, service and administrator) 
 
 
 Language freely selectable, standard German and English, other languages at an additional cost 
 
 
 Switch cabinet mounted in the frame 
 
 
 Accommodation of all machine components 
 
 
 Steel frame welded and coated with 4 rotating castors, 2 with locking brake 
 
 
 Optional aluminum system profile 
 
 
 Documentation, hazard analysis, CE mark 
 
 
 Optional components / attachments 
 The standard SegmentFormer SF25 can be equipped with various optional attachments and functions. This makes it possible, for example, to expand the machine into a semi-automatic press with process monitoring. 
 
 
 Position stop is moved manually to the position - one position possible per data record 
 
 
 Position queried via encoder and displayed on OP 
 
 
 Component position is sensorially detected at the position stop 
 
 
 Machine is started automatically or with a foot switch 
 
 
 Freely programmable sentence sequence (max. 30 commands per data record) 
 
 
 several pressing positions programmable in one data record 
 
 
 Stop is moved motorically to the stop position by selecting the data record 
 
 
 Position is displayed on OP 
 
 
 Component position is sensorially detected at the position stop 
 
 
 Machine is started automatically or with a foot switch 
 
 
 Force transducer integrated in the toggle lever determines 
 
 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://fichter-formtec.de/en/machines/rolling-formers/rollierformer-rf25/,"Rollierformer RF25 
","[{""catId"":601086,""catPath"":""Machine tools and equipment => Rolling Machines"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=601086""}]","{""keywords_english"":{""3"":""RF25"",""2"":""rolling machine"",""1"":""rollierformer""},""keywords"":{""3"":""RF25"",""2"":""rolling machine"",""1"":""rollierformer""}}","The RF25 rolling machine – RollierFormer – is particularly suitable for: 
 
 Rolling sleeves with cables or hoses 
 Rolling housings with connectors 
 Rolling hoses and pipes 
 Rolling sensors with cables 
 
 Compact precision machine for form-fitting and tight connections with Ø 3-25 mm. 
 With the rolling machine, you can achieve a form-fitting connection, among other things, for better strain relief or tightness. 
 For processors of rotationally symmetrical components, the Rollierformer RF25 represents a consistent further development of existing systems for rolling pipes, pipe ends, sleeves, housings, fittings and many other applications. 
 A typical application, for example, is to mechanically secure connecting cables in sensor sleeves against being pulled out and to seal them at the same time (IP67 possible). In addition, connectors can be rolled into sensor housings using this method, and much more. Wall thicknesses from 0.2 mm up to approx. 2.0 mm with a diameter of 3 to 25 mm are possible. 
 Machine structure 
 The rolling machine is very easy to operate. The workpiece to be formed is inserted into the machining opening and usually held in place by means of a collet. A major advantage over other systems is that the component stands still while the tools roll around the axis of the workpiece. The corresponding parameters for machining can be stored and managed in the machine control. The user interface allows simple, logical operation. All functionally important processes are electronically monitored and the data is recorded in the control system. This ensures a high level of process reliability and reproducibility. 
 Optional components / attachments 
 The standard RollierFormer RF25 can be equipped with various optional attachments and functions. This makes it possible, for example, to expand the machine into a semi-automatic rolling machine with process monitoring. 
 
 
 Manually with longitudinal slide for holding the clamping module. Drive by means of crank and trapezoidal thread spindle. Positioning via counting module - A standard collet is used to clamp the workpiece - Collet geometry can be adapted to the workpiece 
 
 
 Motorized with longitudinal slide for holding the clamping module. Drive by means of servo motor and trapezoidal thread spindle - A standard collet is used to clamp the workpiece - Collet geometry can be adapted to the workpiece - can be programmed for up to three rolling positions per rolling process to roll the grooves into the workpiece 
 
 
 Table top mounted on height-adjustable columns - Height adjustability up to 300mm - 4 rotating castors, 2 with locking brake 
 
 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://fichter-formtec.de/maschinen/boerdelmaschine/,"Bördelmaschine 
","[{""catId"":601088,""catPath"":""Machine tools and equipment => Beading Machines"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=601088""}]","{""keywords_english"":{""2"":""Metal Tube Flanging"",""1"":""Flanging Machine"",""3"":""Fichter Formtec""},""keywords"":{""2"":""Metallrohr Bördeln"",""1"":""Bördelmaschine"",""3"":""Fichter Formtec""}}","Die Bördelmaschine von Fichter Formtec eignet sich besonders zum: 
 
 Bördeln von Metallrohren für feste und dichte Verbindungen 
 Herstellen präziser Bördelformen nach DIN 74234 oder SAE 
 Effizienten Einsatz in Automobil-, Luftfahrt- und Lebensmittelindustrie 
 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://fichter-formtec.de/maschinen/segmentformer/segmentformer-sf25/,"Segmentformer SF25 
","[{""catId"":600907,""catPath"":""Machine tools and equipment => Pressing Machines => Servo Presses"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=600907""}]","{""keywords_english"":{""2"":""Motorized press"",""1"":""Segment former"",""3"":""Tube pressing""},""keywords"":{""2"":""Motorische Presse"",""1"":""Segmentformer"",""3"":""Rohrpressung""}}","Kompakte Standardlösung für präzises Formen kleiner Werkstücke. Ideal für Einzelteile & Kleinserien. 
 Mit der motorischen Presse erreichen Sie eine formschlüssige Verbindung unter anderem zur besseren Zugentlastung, Verdrehsicherung oder Abschirmung 
 Für Verarbeiter von rotationssymetrischen Bauteilen stellt der Segmentformer SF25 eine konsequente Weiterentwicklung vorhandener Systeme zur Pressung von Rohren, Rohrenden, Hülsen, Gehäusen, Armaturen und vielen Anwendungen mehr dar. 
 Eine typische Anwendung ist es zum Beispiel, Anschlussleitungen in Sensorhülsen mechanisch gegen herausziehen zu sichern und gleichzeitig abzudichten. Außerdem lassen sich mit diesem Verfahren Stecker in Sensorgehäuse einbördeln und vieles mehr. Wandstärken von 0,2 mm bis zu ca. 1,0 mm bei einem Durchmesser von 3 bis 25 mm sind, abhängig vom Material möglich. 
 Die Bedienung der Maschine Pressautomat SF25 ist sehr einfach. Das zu formende Werkstück wird in die Bearbeitungsöffnung eingeführt und in der Regel mittels eines Anschlages positioniert, es steht still, während die Formbacken axial auf das Werkstück zufahren. Die entsprechenden Parameter für die Bearbeitung können in der Maschinensteuerung abgelegt und verwaltet werden. Die Benutzeroberfläche erlaubt ein einfaches, logisches Bedienen. Alle funktionswichtigen Prozesse sind elektronisch überwacht und die Daten in der Steuerung erfasst. Somit ist eine hohe Prozesssicherheit und Reproduzierbarkeit gewährleistet. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://fichter-formtec.de/en/machines/segment-formers/segment-former-sf25-open/,"Segment Former SF25-Open 
","[{""catId"":600907,""catPath"":""Machine tools and equipment => Pressing Machines => Servo Presses"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=600907""}]","{""keywords_english"":{""3"":""cables with angled connectors"",""2"":""Segment Former"",""1"":""SF25-Open automatic press""},""keywords"":{""3"":""cables with angled connectors"",""2"":""Segment Former"",""1"":""SF25-Open automatic press""}}","The SF25-Open automatic press – SegmentFormer – is particularly suitable for: 
 
 Cables with angled connectors 
 Sensors with larger mounting flange 
 Sleeves with longer hose on both sides 
 Angled pipes 
 
 Open design for maximum flexibility – ideal for frequently changing molded parts. 
 With the motorized press, you can achieve a form-fitting connection, among other things, for better strain relief, anti-rotation protection or shielding 
 For processors of rotationally symmetrical components, the Segmentformer SF25open represents a consistent further development of existing systems for pressing pipes, pipe ends, sleeves, housings, fittings and many other applications. 
 A typical application, for example, is to mechanically secure connecting cables in sensor sleeves against being pulled out and to seal them at the same time. In addition, this process can be used to flange connectors into sensor housings and much more. Wall thicknesses from 0.2 mm up to approx. 1.0 mm with a diameter of 3 to 25 mm are possible, depending on the material. 
 Machine structure 
 The machine is very easy to operate. The workpiece to be formed is inserted into the machining opening. With this special form of the segment former, it is also possible to insert the workpiece laterally through an insertion slot. As a rule, the workpiece is positioned by means of a stop; it stands still while the forming jaws move axially. The corresponding parameters for machining can be stored and managed in the machine control. The user interface allows simple, logical operation. All functionally important processes are electronically monitored and the data is recorded in the control system. This ensures a high level of process reliability and reproducibility. 
 
 
 Basic module with mounting holes for accommodating all functional components, consisting of: Basic console with holder for servo motor, gearbox and encoder 
 
 
 Molding head with side slot for easy insertion of the component 
 
 
 Forming jaws (forming tool), flat or round pressing, number 6 or 8 possible 
 
 
 Covering of the drive mechanism 
 
 
 Forming head secured on both sides by cover or protective tube 
 
 
 Simple part insertion for quick assembly is guaranteed 
 
 
 Also available with light grid, only insertion area or complete 
 
 
 Emergency stop stops all movements immediately 
 
 
 VIPA Speed7 PLC with operator panel Siemens TP700 comfort; S7 and TIA-Portal V13 
 
 
 Data records can be selected via the operator panel (optionally via barcode scanner) 
 
 
 Database for product-specific parameters 
 
 
 Three access levels for machine control (operator, service and administrator) 
 
 
 Language freely selectable, standard in German and English, other languages at an additional cost 
 
 
 Control cabinet mounted in the frame 
 
 
 Acceptance of all machine components 
 
 
 Steel frame welded and coated with 4 rotating rollers, 2 with locking brake 
 
 
 Optional made of aluminum system profile 
 
 
 Documentation, hazard analysis, CE mark 
 
 
 Optional components / attachments 
 The standard SegmentFormer SF25open can be equipped with various optional attachments and functions. This makes it possible, for example, to expand the machine into a semi-automatic press with process monitoring. 
 
 
 Position stop is moved manually to the position - one position possible for each data record 
 
 
 Position queried via encoder and displayed on OP 
 
 
 Component position is sensorially detected at the position stop 
 
 
 Machine is started automatically or with a foot switch 
 
 
 Freely programmable sentence sequence (max. 30 commands per data record) - several pressing positions programmable in one data record 
 
 
 Stop is moved motorically to the stop position by selecting the data record 
 
 
 Position is displayed on OP 
 
 
 Component position is sensorially detected at the position stop 
 
 
 Machine is started automatically or with a foot switch 
 
 
 Force transducer integrated in the toggle lever determines forces occurring in the lever 
 
 
 Graphical output of the forces on a separate measuring device 
 
 
 OK and not OK 
 
 
",COMPLETE,
