id,gmt_modified,gmt_create,supplier_id,host,url,title,product_main_image,product_image_list,price,min_price,max_price,price_type,currency,pricing_unit,moq,cate_info_ai,keyword_ai,task_id,description,status,reason,main_image_object_key,image_list_object_key,final_state,page_record_id
6346,2025-12-03 04:06:57,2025-12-03 04:06:50,b7852a64-6831-4ec0-b515-cf233571cd35,www.freva.de,https://www.freva.de/branchen/fleisch-und-wurstverarbeitung.html,"Freva Hygienetop 
",https://www.freva.de/images/footer-icon-anfrage.png,"[""https://www.freva.de/branchen/images/freva-landing-fleischverarbeitung-mitarbeiterin.jpg"",""https://www.freva.de/branchen/images/freva-landing-fleischverarbeitung-wurst.jpg""]",,,,sku_price,,,1,"[{""catId"":615326,""catPath"":""Construction => Building Structures => Clean Rooms"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=615326""}]","{""keywords"":{""2"":""Lebensmittelsicherheit"",""3"":""Hygienelösungen"",""1"":""Hygienetop""},""keywords_english"":{""2"":""food safety"",""3"":""hygiene solutions"",""1"":""Hygienetop""}}",315,"Sie planen einen Neubau, eine Sanierung, eine Erweiterung Ihrer Produktionsstätte? 
 Für lebensmittelverarbeitende Betriebe stehen Hygiene und Lebensmittelsicherheit an oberster Stelle. Das gesamte betriebliche Hygienekonzept ist auf die sichere Produktion der Lebensmittel ausgerichtet mit dem Ziel, Produkte von höchster Qualität herzustellen. 
 Ob Kühl- oder Tiefkühlräume, ob Produktions- oder Lagerräume: Unsere Freva Wand- und Deckenpaneele bieten optimale Hygienelösungen auch für Ihr Unternehmen. 
 Unsere Produktempfehlungen: 
 Freva Hygienetop 
 Freva Kombipaneel 
 Freva Renoflex 
 Freva Antibac 
 Oder senden Sie uns einfach eine Anfrage per Mail. 
",COMPLETE,,,,1,304424
6347,2025-12-03 04:07:07,2025-12-03 04:06:59,b7852a64-6831-4ec0-b515-cf233571cd35,www.freva.de,https://www.freva.de/lieferprogramm/hygienische-wand-und-deckensysteme/renoflex.html,"Freva RenoFlex Renovierungssystem 
",https://www.freva.de/img/lieferprogramm/hygienische-wand-und-deckesysteme/freva-renoflex-detail.jpg,"[""https://www.freva.de/img/lieferprogramm/hygienische-wand-und-deckesysteme/freva-hygienetop-hartverfugung-epu25.jpg""]",,,,sku_price,,,1,"[{""catId"":615474,""catPath"":""Construction => Renovation => Interior Renovation"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=615474""}]","{""keywords"":{""3"":""wartungsfreie Hartverfugung"",""1"":""Renovierungssystem Lebensmittelbetriebe"",""2"":""Freva RenoFlex Paneele""},""keywords_english"":{""3"":""maintenance-free hard jointing"",""1"":""Renovation System Food Industry"",""2"":""Freva RenoFlex Panels""}}",315,"Das Renovierungssystem Freva RenoFlex für den hygienischen Innenausbau von Lebensmittelbetrieben kann in den Stärken 20 oder 40 mm gefertigt werden. Für die sichtseitige Kaschierung der Paneele stehen verschiedene GFK-Deckschichten zur Auswahl. Die Montage erfolgt per Stecksystem mittels Kunststoff-Befestigungsleiste, die auch zur verdeckten Anbringung auf dem Untergrund dient. Besonderes Merkmal von RenoFlex ist die wartungsfreie Hartverfugung, wodurch im sichtbaren Bereich des Paneelsystems gänzlich auf Profile oder Weichfugen verzichtet werden kann. 
 Die Produktvorteile auf einen Blick: 
 
 WIRTSCHAFTLICH: Nur kurzzeitige Betriebsstörungen dank schneller und einfacher Montage 
 PLATZSPAREND: Wenig Raumverlust aufgrund der geringen Paneelstärke 
 GLATTE FLÄCHEN: Unebenheiten an Wand und Decke werden ausgeglichen 
 HYGIENISCH: Leichte Reinigung, wartungsfreie Hartverfugung ohne Einsatz von Profilen im sichtbaren Bereich 
 INDIVIDUELL: Maßgeschneiderte Lösungen für jedes Bauvorhaben 
 
",COMPLETE,,,,1,304453
6348,2025-12-03 04:07:07,2025-12-03 04:07:00,b7852a64-6831-4ec0-b515-cf233571cd35,www.freva.de,https://www.freva.de/lieferprogramm/hygienische-wand-und-deckensysteme/reinraumpaneele.html,"Freva GFK-Reinraumpaneele 
",https://www.freva.de/img/lieferprogramm/hygienische-wand-und-deckesysteme/freva-gfk-reinraumpaneele-decke.jpg,"[""https://www.freva.de/img/lieferprogramm/hygienische-wand-und-deckesysteme/freva-gfk-reinraumpaneele-hygienetop-hartverfugung-klebeband-waende.jpg""]",,,,sku_price,,,1,"[{""catId"":602613,""catPath"":""Building materials and supplies => Building Boards => Sandwich Panels"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=602613""}]","{""keywords"":{""2"":""HygieneTop-Hartverfugung"",""3"":""antibakterielle Deckschicht"",""1"":""GFK-Reinraumpaneele""},""keywords_english"":{""2"":""HygieneTop hard sealing"",""3"":""antibacterial coating"",""1"":""GFK cleanroom panels""}}",315,"Freva GFK-Reinraumpaneele sind in Sandwichbauweise hergestellte Wand- und Deckenpaneele für den hygienischen Innenausbau in Reinräumen. Im kontinuierlichen Fertigungsverfahren werden – je nach Anforderung und Kundenwunsch – Paneele in verschiedenen Dicken und mit unterschiedlichen Deckschichten gefertigt. Merkmal dieses Wand- und Deckensystems ist die hygienische Hartverfugung nach unserem System Freva HygieneTop. Die speziell entwickelte Fugenmasse EPU 25 ermöglicht es, Fugenübergänge dauerhaft zu versiegeln und somit gänzlich auf Profile oder Weichfugen im sichtbaren Bereich zu verzichten. 
 Die Produktvorteile auf einen Blick: 
 MONTAGEFREUNDLICH: 
Einfacher Einbau mit Nut und Federsystem, geringes Elementgewicht 
BEFESTIGUNG: 
Alle Befestigungselemente befinden sich im verdeckten Bereich 
HYGIENISCH: 
Leichte Reinigung, minimaler Fugenanteil dank HygieneTop-Hartverfugung 
METALLFREI: 
Ausschließliche Verwendung von Kunststoffmaterialien 
OBERFLÄCHEN: 
Porenfreie GFK/GELCOAT-Deckschicht – auch mit antibakterieller Ausstattung 
INDIVIDUELL: 
Maßgeschneiderte Lösungen für jedes Bauvorhaben 
",COMPLETE,,,,1,304431
6349,2025-12-03 04:07:09,2025-12-03 04:07:02,b7852a64-6831-4ec0-b515-cf233571cd35,www.freva.de,https://www.freva.de/lieferprogramm/hygienische-wand-und-deckensysteme/renodirect.html,"Freva Renovierungssystem RenoDirect 
",https://www.freva.de/img/lieferprogramm/hygienische-wand-und-deckesysteme/freva-renodirect-verklebung-wand-montage-01.jpg,"[""https://www.freva.de/img/lieferprogramm/hygienische-wand-und-deckesysteme/freva-renodirect-detail.jpg"",""https://www.freva.de/img/lieferprogramm/hygienische-wand-und-deckesysteme/freva-renodirect-verklebung-spezialkleber.jpg""]",,,,sku_price,,,1,"[{""catId"":602747,""catPath"":""Building materials and supplies => Wall Claddings => Wall Panels"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=602747""}]","{""keywords"":{""3"":""Freva RenoDirect"",""1"":""Hygienische Wandverkleidung"",""2"":""Direktverklebung Paneele""},""keywords_english"":{""3"":""Freva RenoDirect"",""1"":""Hygienic wall cladding"",""2"":""Direct bonding panels""}}",315,"Hygienische Wandverkleidung per Direktverklebung – unser dünnstes Paneel für den hygienischen Innenausbau 
 Das Renovierungssystem Freva RenoDirect hat eine Elementstärke von ca. 12 mm. Für die sichtseitige Kaschierung der Paneele stehen verschiedene GFK-Deckschichten zur Auswahl. Die Montage erfolgt durch die vollflächige Direktverklebung mit anschließender HygieneTop-Fugenversiegelung oder Abdeckung der Fugen durch Profile. Wir empfehlen den Einsatz einer zum jeweiligen Untergrund passenden Grundierung aus unserem Zubehörprogramm. 
 Die Produktvorteile auf einen Blick: 
 || NUR KURZZEITIGE BETRIEBSSTÖRUNGEN dank schneller und einfacher Montage
| PLATZSPAREND: Paneelstärke nur ca. 12 mm
| DIREKTVERKLEBUNG: Montage komplett ohne Schrauben möglich
| HYGIENISCH: Leichte Reinigung, auch mit Hochdruckreiniger
| INDIVIDUELL: Maßgeschneiderte Lösungen für jedes Bauvorhaben 
 Einsatzbereiche: 
 
 Wandsanierung in Kühlräumen mit vorhandener, technisch intakter Dämmung (z. B. alte Stahlblechpaneele, Fliesen) 
 Wandsanierung in Lagerräumen sowie Produktions- und Verarbeitungsräumen ohne benötigte Dämmung 
 
 Downloads 
 https://www.freva.de/img/icons/icon-produktinformation.jpg 
 Freva Renovierungssysteme 
 PDF, 5.0 MB 
 https://www.freva.de/img/icons/icon-produktinformation.jpg 
 Grundierung 1203 
 für glatte Untergründe 
 PDF, 1,5 MB 
 https://www.freva.de/img/icons/icon-produktinformation.jpg 
 Grundierung 1210 
 für saugende Untergründe 
 PDF, 1,5 MB 
",COMPLETE,,,,1,304411
6350,2025-12-03 04:07:09,2025-12-03 04:07:02,b7852a64-6831-4ec0-b515-cf233571cd35,www.freva.de,https://www.freva.de/branchen/kaesereien-molkereien.html,"Hygienische Decken- und Wandsysteme für Käsereien und Molkereien 
",https://www.freva.de/branchen/images/freva-landing-molkerei-pruefer.jpg,"[""https://www.freva.de/branchen/images/freva-landing-molkerei-becken.jpg""]",,,,sku_price,,,1,"[{""catId"":615326,""catPath"":""Construction => Building Structures => Clean Rooms"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=615326""}]","{""keywords"":{""2"":""Käsereien und Molkereien"",""3"":""Freva Wand- und Deckenpaneele"",""1"":""Hygienische Decken- und Wandsysteme""},""keywords_english"":{""2"":""Cheese dairies and dairies"",""3"":""Freva wall and ceiling panels"",""1"":""Hygienic ceiling and wall systems""}}",315,"Sie planen einen Neubau, eine Sanierung, eine Erweiterung Ihrer Produktionsstätte oder Kühl-/Reiferäume? 
 Für lebensmittelverarbeitende Betriebe stehen Hygiene und Lebensmittelsicherheit an oberster Stelle. Das gesamte betriebliche Hygienekonzept ist auf die sichere Produktion der Lebensmittel ausgerichtet mit dem Ziel, Produkte von höchster Qualität herzustellen. 
 Ob Reiferäume oder Kühlräume, ob Verarbeitungs- oder Lagerräume: Unsere Freva Wand- und Deckenpaneele bieten optimale Hygienelösungen auch für Ihr Unternehmen. 
 Unsere Produktempfehlungen: 
 Freva Hygienetop 
 Freva Kombipaneel 
 Freva Renoflex 
 Freva Antibac 
",COMPLETE,,,,1,304426
6351,2025-12-03 04:07:09,2025-12-03 04:07:02,b7852a64-6831-4ec0-b515-cf233571cd35,www.freva.de,https://www.freva.de/branchen/direktvermarkter-hoflaeden-imkereien.html,"Hygienische Decken- und Wandsysteme für Direktvermarkter, Hofläden und Imkereien 
",https://www.freva.de/branchen/images/freva-landing-direktvermarkter-gemuese.jpg,"[""https://www.freva.de/branchen/images/freva-landing-direktvermarkter-kaesetheke.jpg""]",,,,sku_price,,,1,"[{""catId"":602627,""catPath"":""Building materials and supplies => Building Boards => Ceiling Panels"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=602627""}]","{""keywords"":{""2"":""Lebensmittelverarbeitung"",""3"":""Freva"",""1"":""Hygienepaneele""},""keywords_english"":{""2"":""Food processing"",""3"":""Freva"",""1"":""Hygiene panels""}}",315,"Sie planen einen Neubau, eine Sanierung, eine Erweiterung Ihrer Geschäftsräume oder Produktionsstätte? 
 Für lebensmittelverarbeitende Betriebe stehen Hygiene und Lebensmittelsicherheit an oberster Stelle. Das gesamte betriebliche Hygienekonzept ist auf die sichere Produktion der Lebensmittel ausgerichtet mit dem Ziel, Produkte von höchster Qualität herzustellen. 
 Ob Kühl- oder Verarbeitungsräume, ob Produktions- oder Lagerräume: Unsere Freva Wand- und Deckenpaneele bieten optimale Hygienelösungen auch für Ihr Unternehmen. 
 Unsere Produktempfehlungen: 
 FREVA GFK-Dämmpaneele 
 FREVA HYGIENETOP 
 Freva Renoflex 
 FREVA RENOKOMPAKT 
",COMPLETE,,,,1,304429
6352,2025-12-03 04:07:10,2025-12-03 04:07:03,b7852a64-6831-4ec0-b515-cf233571cd35,www.freva.de,https://www.freva.de/lieferprogramm/stall-daemmsysteme/,"Freva GFK-Dämmpaneele 
",https://www.freva.de/img/lieferprogramm/uebersichten/freva-stallwandsystem-gfk-frevastruktur-schweinestall.jpg,"[""https://www.freva.de/img/lieferprogramm/uebersichten/freva-stallwandsystem-kombipaneel.jpg"",""https://www.freva.de/img/lieferprogramm/uebersichten/freva-leichtdaemmsystem-stall-decke-pvc.jpg"",""https://www.freva.de/img/lieferprogramm/uebersichten/freva-kanalbauplatten-luwftungskanaele-stallbau.jpg"",""https://www.freva.de/img/lieferprogramm/uebersichten/freva-zubehoerprogramm-befestigungsklammer-stalldaemmung.jpg""]",,,,sku_price,,,1,"[{""catId"":602754,""catPath"":""Building materials and supplies => Wall Claddings => Insulating Panels"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=602754""}]","{""keywords"":{""3"":""Renovierungssystem"",""1"":""GFK-Dämmpaneele"",""2"":""Hygienesysteme""},""keywords_english"":{""3"":""renovation system"",""1"":""GFRP insulation panels"",""2"":""hygiene systems""}}",315,"Hygienische Wand- und Deckensysteme Freva 
 
 Freva GFK-Dämmpaneele 
 Freva HygieneTop 
 Freva Renovierungssystem RenoKompakt 
 Freva Renovierungssystem RenoFlex 
 Freva Renovierungssystem RenoDirect 
 Freva KombiPaneel schwerentflammbar 
 Freva KombiPaneel 
 FrevaStruktur 
 Freva AntiBac 
 Freva GFK-Reinraumpaneele 
 
 Zubehörprogramm 
 
 Stall-Dämmsysteme Freva Stallwandsystem „EPS“ 
 Stall-Dämmsysteme Freva Stallwandsystem „KombiPaneel“ 
 Freva Leichtdämmsystem 
 Freva Kanalbauplatten 
 
 Projekte 
 Lebensmittelverarbeitung 
 
 Fleisch- & Wurstverarbeitende Betriebe 
 Käsereien & Molkereien 
 Back-/Teigwaren und Konditoreiprodukte 
 Großküchen, Großkantinen und Gastronomie 
 Direktvermarkter, Hofläden und Imkereien 
 Getränkeproduktion, Brauereien, Mostereien 
 Verarbeitung von Fisch und Meeresfrüchten 
 Verarbeitung von Obst und Gemüse 
 
 Reinräume 
 
 Lebensmittelverarbeitung 
 Fleisch- & Wurstverarbeitende Betriebe 
 Käsereien & Molkereien 
 Back-/Teigwaren und Konditoreiprodukte 
 Großküchen, Großkantinen und Gastronomie 
 Direktvermarkter, Hofläden und Imkereien 
 Getränkeproduktion, Brauereien, Mostereien 
 Verarbeitung von Fisch und Meeresfrüchten 
 Verarbeitung von Obst und Gemüse 
 Weitere Anwendungsbereiche Reinräume 
 
 Kontaktdaten 
 
 Telefone: +49 (0)5621 965679-0 
 
",COMPLETE,,,,1,304437
6353,2025-12-03 04:07:15,2025-12-03 04:07:09,b7852a64-6831-4ec0-b515-cf233571cd35,www.freva.de,https://www.freva.de/lieferprogramm/stall-daemmsysteme/zubehoerprogramm.html,"Freva Zubehörprogramm 
",https://www.freva.de/img/lieferprogramm/stalldaemmsysteme/freva-zubehoerprogramm-befestigungsklammer-stallbau-decke.jpg,"[""https://www.freva.de/img/lieferprogramm/stalldaemmsysteme/freva-zubehoerprogramm-schraubenkombination.jpg""]",,,,sku_price,,,1,"[{""catId"":608178,""catPath"":""Hygiene and cosmetic products => Hygiene Products => Hygiene Products (Other)"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=608178""}]","{""keywords"":{""3"":""Renovierungssysteme"",""1"":""Freva Systeme"",""2"":""Hygienesysteme""},""keywords_english"":{""3"":""Renovation Systems"",""1"":""Freva Systems"",""2"":""Hygiene Systems""}}",315,"This text provides a list of products and services related to Freva systems, particularly focusing on hygiene and renovation systems. It also mentions the application areas for these products. However, there are no specific product specifications or variants listed, nor is there a detailed description of the products. 
",COMPLETE,,,,1,304416
6354,2025-12-03 04:07:40,2025-12-03 04:07:17,b7852a64-6831-4ec0-b515-cf233571cd35,www.freva.de,https://www.freva.de/lieferprogramm/hygienische-wand-und-deckensysteme/,"FREVA GFK-DÄMMPANEELE SYSTEM H-PROFIL 
",https://www.freva.de/img/icons/original-icon-filter-daemmsystem-60.png,"[""https://www.freva.de/img/icons/original-icon-filter-renosystem40.png"",""https://www.freva.de/img/icons/original-icon-filter-alle.png""]",,,,sku_price,,,1,"[{""catId"":602754,""catPath"":""Building materials and supplies => Wall Claddings => Insulating Panels"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=602754""}]","{""keywords"":{""3"":""Renodirect"",""1"":""GFK-Dämmpaneele"",""2"":""Hygienetop""},""keywords_english"":{""3"":""Renodirect"",""1"":""GFRP Insulation Panels"",""2"":""Hygienetop""}}",315,"FREVA GFK-DÄMMPANEELE SYSTEM H-PROFIL 
 FREVA HYGIENETOP WARTUNGSFREIE HARTVERFUGUNG 
 FREVA RENOVIERUNGSSYSTEM RENOKOMPAKT SYSTEM H-PROFIL 
 FREVA RENOVIERUNGSSYSTEM RENOFLEX SYSTEM HYGIENETOP 
 FREVA RENOVIERUNGSYSTEM RENODIRECT DIREKTVERKLEBUNG 
 FREVA KOMBIPANEEL Schwerentflammbar 
 FREVA KOMBIPANEEL GFK-BESCHICHTETE STAHLBLECHPANEELE 
 FREVA STRUKTUR STRUKTURIERTE GFK-DECKSCHICHT 
 FREVA ANTIBAC ANTIBAKTERILLE GFK-DECKSCHICHT 
 FREVA GFK-Reinraumpaneele METALLFREI 
 FREVA ZUBEHÖRPROGRAMM PASSENDES MONTAGEZUBEHÖR 
",COMPLETE,,,,1,304449
6355,2025-12-03 04:07:26,2025-12-03 04:07:19,b7852a64-6831-4ec0-b515-cf233571cd35,www.freva.de,https://www.freva.de/branchen/getraenkeproduktion-brauereien-mostereien.html,"Hygienische Decken- und Wandsysteme für die Getränkeproduktion, Brauereien, Mostereien 
",https://www.freva.de/branchen/images/freva-landing-getraenke-braumeister.jpg,"[""https://www.freva.de/branchen/images/freva-landing-getraenke-faesser.jpg""]",,,,sku_price,,,1,"[{""catId"":615326,""catPath"":""Construction => Building Structures => Clean Rooms"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=615326""}]","{""keywords"":{""2"":""Lebensmittelverarbeitung"",""3"":""Freva Wand- und Deckenpaneele"",""1"":""Hygienische Decken- und Wandsysteme""},""keywords_english"":{""2"":""Food processing"",""3"":""Freva wall and ceiling panels"",""1"":""Hygienic ceiling and wall systems""}}",315,"Hygienische Decken- und Wandsysteme für Lebensmittelverarbeitung 
 Sie planen einen Neubau, eine Sanierung, eine Erweiterung Ihrer Produktion? 
 Für lebensmittelverarbeitende Betriebe stehen Hygiene und Lebensmittelsicherheit an oberster Stelle. Das gesamte betriebliche Hygienekonzept ist auf die sichere Produktion der Lebensmittel ausgerichtet mit dem Ziel, Produkte von höchster Qualität herzustellen. 
 Ob Kühlräume oder Abfüllbereiche, ob Produktions- oder Lagerräume: Unsere Freva Wand- und Deckenpaneele bieten optimale Hygienelösungen auch für Ihr Unternehmen. 
 Unsere Produktempfehlungen: 
 
 FREVA GFK-Dämmpaneele 
 FREVA HYGIENETOP 
 FREVA KOMBIPANEEL 
 FREVA RENOFLEX 
 FREVA RENOKOMPAKT 
 
",COMPLETE,,,,1,304428
