supplier_id,url,title,cate_info_ai,keyword_ai,description,status,reason
45d2ccb1-3f54-4539-b276-a8a34878d623,https://hermetec.de/produkte/handschranken-wegesperren-schiebeschranken/,"Handschranken / Wegesperren / Schiebeschranken 
","[{""catId"":614177,""catPath"":""Traffic engineering => Road Barriers => Barrier Gates"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=614177""}]","{""keywords_english"":{""3"":""Sliding barriers"",""2"":""Path blockers"",""1"":""Manual barriers""},""keywords"":{""3"":""Schiebeschranken"",""2"":""Wegesperren"",""1"":""Handschranken""}}","Mit unseren mechanischen Wegesperren und Gattersperren werden Wege und Straßen zuverlässig für Fahrzeuge aller Art gesperrt. Durch Höhenbegrenzungssperren erfolgt eine Filterung von Fahrzeugen bestimmten Höhen. Handschranken oder Schiebeschranken sind lieferbar bis 10,0 m Sperrbreite. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://hermetec.de/edelstahllager-von-hermetec-gesichert/,"Edelstahllager von hermetec gesichert 
","[{""catId"":611896,""catPath"":""Metal and metal products => Metal Materials => Steel => Stainless Steel"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=611896""}]","{""keywords_english"":{""1"":""stainless steel warehouse"",""2"":""central warehouse Remscheid"",""3"":""Oberste Beulmann""},""keywords"":{""1"":""Edelstahllager"",""2"":""Zentrallager Remscheid"",""3"":""Oberste Beulmann""}}","Remscheid zählt in der Welt des Edelstahls zu den international bedeutendsten Handelsplätzen. Die Firma Oberste Beulmann beliefert aus einem Zentrallager in Remscheid Kunden in ganz Deutschland und Europa. Mit Niederlassungen in Spanien, Italien und in den Niederlanden wurden weitere strategische Punkte ausgewählt, die es den europäischen Kunden ermöglichen, schnell und zuverlässig jede benötigte Art Edelstahl von Oberste-Beulmann zu beziehen. Mit 2 großen automatischen freitragenden Schiebetoren und 400 m Sicherheitszaun wurde das neue Gelände abgesichert. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://hermetec.de/produkte/tore/teleskoptore/,"Teleskoptore 
","[{""catId"":603083,""catPath"":""Construction components => Gates => Sliding Gates"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=603083""}]","{""keywords_english"":{""3"":""telescopic gate"",""2"":""sliding gate system"",""1"":""telescopic gates""},""keywords"":{""3"":""Teleskoptor"",""2"":""Schiebetoranlage"",""1"":""Teleskoptore""}}","Die optimale Lösung bei verkürztem Rückfahrraum 
 Eingeschränkte Rücklaufräume stellen besondere Anforderungen an eine Schiebetoranlage. Teleskop-Schiebetoranlagen in freitragender Ausführung sowie mit Laufschiene sind die Lösung. Sie bieten eine hohe Funktionssicherheit und sind mehrflügelig teleskopierbar. Von 3-teilig bis 5-teilig ist je nach Anforderung eine Lösung möglich. Bei der Verwendung von einem 5-teiligen Teleskoprollentor reduziert sich z.B. der Aufschieberaum auf bis zu 1/4 der Durchfahrt. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://hermetec.de/kommunale-einrichtungen-durch-hermetec-gesichert/,"Kommunale Einrichtungen durch hermetec gesichert 
","[{""catId"":603135,""catPath"":""Construction components => Fences => Wire Mesh Fences"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=603135""}]","{""keywords_english"":{""1"":""Sliding Gate"",""2"":""Mesh Fence"",""3"":""Double Swing Gates""},""keywords"":{""1"":""Schiebetor"",""2"":""Gittermattenzaun"",""3"":""Doppeldrehtore""}}","Über einen großen namhaften Generalunternehmer hat hermetec die Kreisstraßenmeisterei in Kürten gesichert. Zur Ausführung kamen fürs Hauptgebäude ein funkgesteuertes freitragendes Schiebetor sowie ein Gittermattenzaun in 200 cm Höhe. Des Weiteren wurde im hinteren Bereich das Regenrückhaltebecken ebenfalls durch einen Gittermattenzaun sowie div. Doppeldrehtore eingezäunt. Zusätzlich hat die Stadt Monheim ihren neuen Wertstoffhof sichern lassen, hier war wichtig das der Zaun zusätzlich abgewinkelt sein musste und die Zaunanlage eine Höhe von etwa 250 cm erreichen sollte. Neben der Zaunanlage kamen zur Ausführung: ein aufeinander zulaufendes Schiebetor sowie eine Drehtoranlage. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://hermetec.de/produkte/zaeune/sichtschutzzaeune/,"Sichtschutzzäune 
","[{""catId"":603121,""catPath"":""Construction components => Fences => Privacy Fences"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=603121""}]","{""keywords_english"":{""1"":""Privacy fence systems"",""2"":""Plastic strips"",""3"":""Natural stone steel mesh fences""},""keywords"":{""1"":""Sichtschutzzaunsysteme"",""2"":""Kunststoff-Streifen"",""3"":""Naturstein Stahlmattenzäune""}}","hermetec bietet Ihnen eine breite Produktpalette hochwertiger Sichtschutzzaunsysteme an. Die ISO-zertifizierten Kunststoff-Streifen halten dank einer speziellen Legierung, wie sie auch im Fensterbau verwendet wird, allen Witterungseinflüssen stand. Sie bewahren ihre glatte Oberfläche und büßen auch nach Jahren nichts von ihrer farblichen Strahlkraft ein. Nicht mal Graffiti-Schmierereien schaden der unempfindlichen Oberfläche – sie können einfach abgewischt werden. Sichtschutz mit Naturstein und Stahlmattenzäunen eigenen sich hervorragend als langlebiger Sichtschutz. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://hermetec.de/hermetec-sichert-orthomol/,"hermetec sichert orthomol 
","[{""catId"":615280,""catPath"":""Construction => Building Structures => Halls => Industrial Halls"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=615280""}]","{""keywords_english"":{""1"":""sliding gates"",""2"":""access control"",""3"":""panic gates""},""keywords"":{""1"":""Schiebetore"",""2"":""Zugangskontrolle"",""3"":""Paniktore""}}","im Dezember 2020 wurde das neue Produktionsgebäude ein rund 7000 Quadratmeter großer Komplex fertiggestellt. Dafür investiert der 1991 gegründete pharmazeutische Vertrieb einen zweistelligen Millionenbetrag. Auch neue Arbeitsplätze wurden geschaffen. Orthomol, 1991 aus einer Garage heraus gegründet und seit vielen Jahren in Langenfeld ansässig. Durch den Umzug von Abfüll- und Verpackungsmaschinen in den Neubau wurden und werden in der bisherigen Produktionshalle dringend benötigte Lagerflächen für weitere Hochregale frei. Abgesichert wurden die beiden Zufahrten mit 2 freitragenden Schiebetoren welche automatisch über die Zugangskontrolle angesteuert werden. Zusätzlich wird das Gelände mit einer automatischen Schrankenanlage mit Kotrollterminal für PKWs und xxl LKWs gesichert. Für den Notfall wurden 2 Paniktore in die vorhandene Zaunanlage integriert. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://hermetec.de/produkte/uebersteigschutz/,"Übersteigschutz 
","[{""catId"":602889,""catPath"":""Construction components => Protective Walls => Protective Walls (Other)"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=602889""}]","{""keywords_english"":{""3"":""Protective device"",""2"":""Variations"",""1"":""Fall protection""},""keywords"":{""3"":""Schutzvorrichtung"",""2"":""Variationen"",""1"":""Übersteigschutz""}}","Übersteigschutz ist, wie Sie den Fotos entnehmen können in verschiedenen Variationen möglich. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://hermetec.de/produkte/schrankenanlagen/,"Magnetic.Access Schranken 
","[{""catId"":614186,""catPath"":""Traffic engineering => Road Barriers => Access Barriers"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=614186""}]","{""keywords_english"":{""1"":""Barrier systems"",""2"":""Vehicle separation"",""3"":""Magnetic.Access""},""keywords"":{""1"":""Schrankenanlagen"",""2"":""Fahrzeugvereinzelung"",""3"":""Magnetic.Access""}}","Zuverlässige und schnelle Fahrzeugvereinzelung ist nur mit dem Einsatz von Schrankenanlagen möglich. Diese Produkte können flexibel mit Tor- und Zaunanlagen kombiniert werden. 
 Magnetic.Access Schranken sind komplette, aber kostenorientierte Schrankenlösungen mit einem hohen Mass an Leistung und Qualität. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://hermetec.de/produkte/zaeune/maschendrahtzaeune/,"Maschendrahtzäune 
","[{""catId"":603135,""catPath"":""Construction components => Fences => Wire Mesh Fences"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=603135""}]","{""keywords_english"":{""3"":""barbed wire holder"",""2"":""corrosion protection"",""1"":""chain link fence""},""keywords"":{""3"":""Stacheldrahthalter"",""2"":""Korrosionsschutz"",""1"":""Maschendrahtzaun""}}","Typ O 
 fosten: Stahlrohr 60,3 mm, Wandstärke 1,75 mm. Auf dem Pfostenkopf ist eine Kunststoffabdeckkappe montiert, optional kann ein Stacheldrahthalter, gerade schräg zur Aufnahme von 2 oder 3 Reihen Stacheldrähten montiert werden. Korrosionsschutz verzinkt nach DIN 17162 optional verzinkt und zusätzlich kunststoffbeschichtet in den Farben: moosgrün RAL 6005, tannengrün RAL 6009, oliv-grün RAL 6014, steingrau RAL 7030 
 Optional kann am oberen Ende des Geflechts ein horizontales, durchlaufendes Stahlrohr 41,5 mm, mittels Obergurthalter, Korrosionsschutz wie Pfosten, montiert werden. Hieran wird das Geflecht angeknüpft. 
 Als Zulage zur Zaunanlage. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://hermetec.de/hermetec-sichert-krombacher-besucherzentrum/,"hermetec sichert Krombacher- Besucherzentrum 
","[{""catId"":603103,""catPath"":""Construction components => Gates => Gate Systems"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=603103""}]","{""keywords_english"":{""3"":""Krombacher visitor center"",""2"":""grid mat fence"",""1"":""electric swing gate system""},""keywords"":{""3"":""Besucherzentrum Krombacher"",""2"":""Gittermattenzaun"",""1"":""elektrische Drehtoranlage""}}","Bei der führenden Premium-Marke Deutschlands wurde das Besucherzentrum mit dazugehörigem Busparkplatz neu gesichert. Eine elektrische Drehtoranlage weist den Besucherbussen den Weg auf das Firmengelände. Die Besucherleitung wurde durch dies optimiert. Ein passender Gittermattenzaun sichert das Gelände zu den angrenzenden Nachbargrundstücken ab. 
",COMPLETE,
