supplier_id,url,title,cate_info_ai,keyword_ai,description,status,reason
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.jet-software.com/en/jet-security-bs2000-osd-english/,"Identity & Access Management for BS2000/OSD 
","[{""catId"":613863,""catPath"":""Software => Software (Other)"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=613863""}]","{""keywords_english"":{""1"":""Identity and Access Management"",""2"":""BS2000/OSD"",""3"":""centralized logging""},""keywords"":{""1"":""Identitäts- und Zugriffsmanagement"",""2"":""BS2000/OSD"",""3"":""zentralisierte Protokollierung""}}","Identity & Access Management for BS2000/OSD. Product description 
 
 Pool management of the data stations under one name 
 Summary of the knowledge of groups 
 Dynamic changes in access rights 
 Optional behavior with LOGON-false tests 
 Simplification of management by summary 
 Optional logging of (also invalid) log attempts 
 Central and audit-proof logging of all input 
 
 Our software has been successfully active for over 39 years in german federal and state authorities, private and large banks, social and private insurance, international service providers, medium-sized companies and large enterprises. Here you will find a brief overview. 
 For further information you can find here a detailed brochure, the link opens a PDF-file. 
 Please contact us for further questions or for a non-binding and free test version via the contact form, by phone or by e-mail. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.jet-software.com/en/jet-security-unix-linux-english/,"Identity & Access Management for Linux/UNIX 
","[{""catId"":613699,""catPath"":""Safety and rescue technology => Security Technology => Access Control"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=613699""}]","{""keywords_english"":{""1"":""Identity and Access Management"",""2"":""Linux/UNIX"",""3"":""Centralized Logging""},""keywords"":{""1"":""Identitäts- und Zugriffsverwaltung"",""2"":""Linux/UNIX"",""3"":""Zentralisierte Protokollierung""}}","Identity & Access Management for Linux/UNIX 
 Product description 
 
 Pool management of the data stations under one name 
 Summary of the knowledge of groups 
 Dynamic changes in access rights 
 Optional behavior with LOGON-false tests 
 Simplification of management by summary 
 Optional logging of (also invalid) log attempts 
 Central and audit-proof logging of all input 
 
 Our software has been successfully active for over 39 years in german federal and state authorities, private and large banks, social and private insurance, international service providers, medium-sized companies and larg enterprises. Here you will find a brief overview. 
 For further information you can find here a detailed brochure, the link opens a PDF-file. 
 Please contact us for further questions or for a non-binding and free test version via the contact form, by phone or by e-mail. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.jet-software.com/en/data-integration-fast-and-easy-iri-etl-tools-elt/,"IRI Voracity ELT Platform 
","[{""catId"":616216,""catPath"":""IT solutions => Programming => Database Programming"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=616216""}]","{""keywords_english"":{""1"":""ELT Platform"",""2"":""Fast Data Extract"",""3"":""Data Transformation""},""keywords"":{""1"":""ELT Platform"",""2"":""Fast Data Extract"",""3"":""Data Transformation""}}","Overview 
 In ELT (extract, load, transform) operations, database extracts are fed into a staging database which performs the transformations. 
 Extraction 
 Using native drivers and specialized parallel extraction techniques, IRI FACT (Fast Extract) rapidly unloads data from tables in: Oracle, DB2, Sybase, MySQL, SQL Server, Altibase, Greenplum, and Teradata. 
 FACT produces flat files containing the selected data with incredible speed. FACT uses SQL query syntax to help you get the data you need. Built-in formatting options support your target's formatting requirements. 
 Loading 
 By pre-sorting the extracts, you can dramatically improve the performance of any relational database load utility. Any of the high-performance sort utilities in IRI CoSort can pre-sort the flat files, along with web logs, COBOL index files, and other data sources bound for your data warehouse database or other applications. 
 Transformation 
 In ELT operations, an RDBMS usually performs the transformations. Built-in ER diagramming, database profiling, and graphical SQL editing tools in the IRI Workbench IDE for Voracity, built on Eclipse, facilitate SQL operations. Consider also the chance to ""lighten the load"" of transformations before or after loading. The SortCL program in Voracity or CoSort performs all the same data transformations that SQL does. But SortCL does them much faster, in a single I/O pass outside the database. 
 SortCL scripts are also smaller and simpler, and use central metadata that is standard across all supported IRI data sources. SortCL can transform the data in the flat-file extracts, or in the tables themselves. Both FACT and CoSort are available separately, or as part of the IRI Data Manager software suite or IRI Voracity data management platform with visual workflow. You can design, run, and manage the operations of all IRI software in the same free IRI Workbench GUI. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.jet-software.com/en/sortcl-program/,"SortCL 
","[{""catId"":613922,""catPath"":""Software => Application Software => Data Analytics Software"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=613922""}]","{""keywords_english"":{""3"":""big data integration"",""2"":""data transformation software"",""1"":""data manipulation program""},""keywords"":{""3"":""big data integration"",""2"":""data transformation software"",""1"":""data manipulation program""}}","SortCL is the powerful data manipulation program and popular user interface driving almost every IRI software product. Short for Sort Control Language, SortCL is the name of IRI's: 
 
 award-winning fourth generation data definition and manipulation language (4GL) 
 standalone data handling executable that follows those 4GL instructions 
 internal, callable library routine that the executable (or your 3GL program) calls internally to process data 
 
 SortCL scripts and jobs describe and consolidate data mappings and manipulations. They support many data source and target formats (including custom reports) in IRI CoSort and its spin-off products: 
 
 IRI NextForm, for data and DB migration and replication 
 IRI FieldShield, and IRI DarkShield for PII classification, masking, and auditing 
 IRI RowGen, for synthetic test data generation and population 
 IRI Voracity, which includes all of the above, supporting and combining multiple data profile/search, integration (ETL), migration, governance, and analytic use cases. The Hadoop-enabled edition of Voracity can also run several SortCL programs interchangeably in MapReduce 2, Spark, Spark Stream, Storm, and Tez. 
 
 SortCL is therefore what makes CoSort and Voracity a one-stop, one-I/O ""super tool"" for data transformation, conversion, cleansing, mapping, and reporting. SortCL's extensive data movement and manipulation capabilities -- detailed in the tabs above, and listed in this diagram under the CoSort logo -- can run in a single job and pass through huge volumes of data. 
 SortCL performs the same tasks for Voracity licensees, who can see them illustrated in modern transform mapping diagrams. ETL and solution architects with big data appreciate its ability to combine data integration, remapping, cleansing, masking, and BI operations, and the dramatic differences it makes in information delivery and compliance outcomes: 
 No Experience Necessary 
 SortCL uses an open, explicit metadata to define, manipulate and reformat data in more than 150 disparate file and database sources. SortCL syntax is self-documenting; anyone can read, recognize, and modify SortCL programs with ease. 
 SortCL uses simple English statements based originally on VMS sort parms, and also familiar SQL, C, and PCRE syntax. Unlike cryptic ETL, 3GL, and MapReduce programs, no training is needed to understand what a SortCL script will do. 
 But for those who cannot or simply will not learn another language, there's a powerful GUI to save them from it. IRI Workbench is a graphical integrated development environment (IDE), built on Eclipse,™ for creating, running, sharing, and modifying SortCL jobs, and their ""data definition file (DDF)"" source and target layouts. 
 Did You Know? 
 SortCL was introduced in 1992. It remains so widely adopted because it is uniquely explicit, open, and powerful. SortCL has met its design goals to be: 
 
 modular, so you can keep adding functions into the same I/O pass 
 extensible enough for complex data transformations and reporting 
 clear so that anyone can create, read, re-use, and expand its jobs familiar to JCL users, SQL-savvy DBAs, and DW/BI data architects 
 faster than SQL and ETL tools, without the DB or server overhead 
 executed (not compiled!) in real-time, batch, CLI, API, and GUI ops 
 portable, so its jobs run on all Unix, Linux, and Windows platforms 
 integrated easily into new applications, SaaS uses, or ASP models 
 
 SortCL job scripts perform, speed, and/or combine: big data transformation, conversion, protection, and BI in the world's largest production environments. 
 Metadata Interoperability 
 Quickly find and re-use SortCL metadata in multiple IRI products and projects to meet your data processing, protection, presentation, and prototyping requirements. Use SortCL job scripts and DDF layouts across the IRI ecosystem, and manage their use and lineage directly in Eclipse or available cloud repositories like Git, CVS, and SVN. 
 SortCL DDF is also compatible with the Erwin (formerly AnalytiX DS) Mapping Manager, and the Meta Integration Model Bridge (MIMB) from Meta Integration Technology, Inc. Convert the metadata already used in your BI, CRM, database, ETL, and modeling tools, into the metadata used in all IRI software. This preserves your investment in existing metadata, and allows you to more quickly leverage the benefits of IRI software running with (or instead of) those applications. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.jet-software.com/en/sort-replacement-jcl-sort/,"CoSort Sort Control Language (SortCL) for MVS and VSE JCL Sort Operations 
","[{""catId"":613866,""catPath"":""Software => System Software => Utilities"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=613866""}]","{""keywords_english"":{""1"":""CoSort Sort Control Language"",""2"":""JCL Sort Operations"",""3"":""Metadata Conversion Utilities""},""keywords"":{""1"":""CoSort Sort Control Language"",""2"":""JCL Sort Operations"",""3"":""Metadata Conversion Utilities""}}","Overview 
 bin/sort 
 JCL SORT 
 Micro Focus COBOL 
 Natural 
 SAS 
 UniKix 
 Challenges 
 You need to re-host, and eventually expand upon, your legacy sort jobs when migrating to another platform. MVS (z/OS) and VSE JCL sort steps will not work in a Unix shell or Windows command line environment. 
 Parm conversion is necessary, and there are multiple price-performance considerations. You thus need: 
 
 functional equivalence 
 lower operational costs 
 equal or better sorting performance 
 a more modern application syntax 
 support for more data transformation and reporting functionality 
 
 Solutions 
 IRI CoSort users have been successfully converting JCL sort operations to Unix, Linux, and Windows systems for more than 30 years. 
 Free metadata conversion utilities (mvs2scl and vse2scl) in the CoSort package translate z/OS (MVS) and VSE JCL parms written for IBM DF-SORT (ICEMAN) CA-SORT, or SYNCSORT, into CoSort Sort Control Language (SortCL) program job scripts. 
 SortCL can accomplish all the functions of mainframe sort software -- and many of the reporting and replication tasks of utilities like File-AID, ICETOOL, and IEBGENER -- on 'open systems' ... usually faster, and certainly cheaper. 
 Beyond rehosoting efforts, there are many application modernization benefits and more data management possibilities. Users of the larger IRI Voracity platform, powered by CoSort, can leverage a complete range of capabilities in data discovery, integration, migration, governance, and analytics. 
 The IRI CoSort package -- and its Sort Control Language (SortCL) program in particular -- is the oldest, and still industry-preferred destination for sort parms written for z/OS (MVS) and VSE JCL sort software, first propagated by IBM in DF-SORT. 
 CoSort includes free sort card conversion utilities called MVS2SCL and VSE2SCL. These utilities translate the relevant sort (select, sum, etc.) steps from a JCL stream into a functionally-equivalent SortCL job specification file that will run on Unix, Linux, and Windows. Metadata is converted and accommodations are made for multiple output and data types. 
 These advanced sort parm conversion tools also set up job scripts that can leverage the full range of CoSort data transformation, conversion, reporting, and protection functionality for all structured data sources off the mainframe. 
 The conversion wizard shown below demonstrates the conversion of one or more mainframe sort decks to SortCL job scripts. You can browse to identify the location of the parms, and then automatically convert them for use in SortCL. 
 The middle window shows advanced options available for these conversions. The bottom window shows from left to right: project explorer files (including the source and target job scripts), an editor displaying the source job script, a display of the target job script, and a tree view of the components of the target job script. 
 https://www.jet-software.com/wp-content/uploads/2018/07/legacy_script_conversion.jpg 
 Related Solutions 
 
 Data Transformation 
 Data Integration 
 
 Product Links 
 
 IRI CoSort (Transformation) 
 IRI CoSort > SortCL Program 
 
 Blog Articles 
 
 MVS2SCL Converts z/OS JCL to SortCL 
 VSE2SCL Converts z/OS JCL to SortCL 
 
 Other Resources 
 
 Partners > Experts > Legacy Migrations 
 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.jet-software.com/en/data-masking-static-data-masking-twiddle/,"ASCII De-ID: One of several data masking function dialogs in the IRI Workbench GUI for FieldShield, built on Eclipse.™ 
","[{""catId"":616254,""catPath"":""IT solutions => Data Destruction"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=616254""}]","{""keywords_english"":{""3"":""IRI Workbench"",""2"":""FieldShield data masking"",""1"":""ASCII De-ID""},""keywords"":{""3"":""IRI Workbench"",""2"":""FieldShield data masking"",""1"":""ASCII De-ID""}}","Anonymize 
 Custom 
 Encode 
 Encrypt 
 Hash 
 Pseudonymize 
 Randomize 
 Redact 
 Scramble 
 Twiddle 
 Shift 
 Tokenize 
 Challenges 
 You need to remove the personally identifiable characteristics of data. At the same time, that data needs to be individualized so it can flow safely de-identified through different departments and, where necessary, be re-identified. 
 De-identified data should also resemble its original format. Its length, data type, or even a real-looking but different value is needed for ongoing operations and testing. Field encryption does not accomplish this goal when the ciphertext length exceeds the original field length, and data realism is lost. 
 The format-preserving encryption (FPE), or format-preserving scramble functions, on the other hand, can be desirable options, though in some cases may be overkill or time-consuming. 
 Solutions 
 The IRI FieldShield data masking product (as well as the IRI Voracity data management platform which includes FieldShield and DarkShield) includes many static-data masking functions, including the ability to ""roll your own."" Among the built-in functions to de-identify ASCII data is a character-level twiddling or bit manipulation routine to replace values (formerly referred to as the ASCII de-ID and re-ID function) You can use this less secure data scrambling function when speed is of the essence, and you simply want to obfuscate the column value in a unique and recoverable way. 
 https://www.jet-software.com/wp-content/uploads/2018/05/de-id.jpg 
 ASCII De-ID: One of several data masking function dialogs in the IRI Workbench GUI for FieldShield, built on Eclipse.™ 
 Like the other field-level de-identification methods in FieldShield, this function can be applied to less sensitive, but perhaps quasi-identifying data, to help you comply with data privacy regulations, while leaving your non-sensitive data available for further processing. This use of this function, like all the others, gets recorded into FieldShield's XML audit log to help you verify compliance. 
 See the other functions tabbed across the this section if you are looking for other ways to de-identify data. See the HIPAA page on PHI de-identifcation, and the dynamic data masking capabilties. 
 If you need safe, realistic test data, use FieldShield-compatible IRI RowGen software in the IRI Data Protector suite to create test database, file, and report targets. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.jet-software.com/en/fact-english/,"IRI FACT 
","[{""catId"":613922,""catPath"":""Software => Application Software => Data Analytics Software"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=613922""}]","{""keywords_english"":{""1"":""parallel query technology"",""2"":""data warehousing operations"",""3"":""database migration""},""keywords"":{""1"":""parallel query technology"",""2"":""data warehousing operations"",""3"":""database migration""}}","FACT speeds unloads up to 7x with parallel query technology. Performance scales linearly in volume, allowing you to extract billions of rows in minutes. 
 Many DBs, One UnloaderFACT works with Oracle, MySQL, DB2 UDB, Sybase, SQL Server, et al. Create simple job scripts by hand, or automatically in the IRI Workbench GUI, built on Eclipse™. 
 Data Ready for EveryoneFACT produces flat files that any application can use. Plug into and feed ETL operations and offline reorgs, archive your data, migrate your databases, and more. 
 Accept cookies to view the content. 
 FACT Use Cases 
 Unloading Oracle ""We have used FACT for almost 10 years to speed Oracle table unloads. We tried multiple alternatives and nothing could beat FACT's extraction speed."" 
 Faster Data Movement ""FACT helps us move data between massive DB sources and targets efficiently. We see FACT as an integral performance piece of our data warehousing operations."" 
 The Big E in ETL ""FACT is an essential component of our banking application because it, along with CoSort, runs faster and cheaper than any legacy ETL technology can."" 
 Do You Need FACT? Find Out! 
 Consider FACT if you are ... 
 
 Are you a data warehouse ETL / ELT architect, or DBA needing faster extraction? 
 Do you experience unload, query, or load bottlenecks with large transaction tables? 
 Are you responsible for DB archive, replication, migration, or subsetting operations? 
 Upgrading or leaving Oracle, DB2, Sybase, MySQL, SQL Server, Altibase, or Tibero? 
 Noticing slower query response times from unordered rows or fragmented table space? 
 
 Speed Multiple Databases and Applications 
 Fast Extract Tables from: 
 Oracle DB2 UDB Sybase MySQL SQL Server Altibase Greenplum Teradata Tibero 
 FACT is Critical for: 
 Data Archive Data Migration Data Protection Data Replication DW ETL DW ELT ODSOffline ReorgsOffline Reporting 
 What Others Are Reading 
 Unload Big Data from Oracle Among the key issues for companies who need to unload big data from Oracle, DB2, Sybase and SQL Server are speed, scalability, and simplicity. Read now. 
 DB Reorgs - Why They Matter Over time, data in large RDBMS tables eventually become fragmented. Reorgs can save table space and improve query performance. Read now. 
 ETL vs. ELT: We Posit, You Judge The decision to transform data inside or outside the database has significant speed, support, and spend consequences. Read now. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.jet-software.com/en/db-operations-mysql/,"Speed and Secure MySQL 
","[{""catId"":613921,""catPath"":""Software => Application Software => Database Software"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=613921""}]","{""keywords_english"":{""1"":""MySQL Unloads"",""2"":""MySQL Reorgs"",""3"":""MySQL Test Data""},""keywords"":{""1"":""MySQL Unloads"",""2"":""MySQL Reorgs"",""3"":""MySQL Test Data""}}","Overview 
 Cassandra 
 DB2 UDB 
 MongoDB 
 MySQL/MariaDB 
 Oracle 
 PostgreSQL 
 SAP HANA 
 Snowflake 
 SQL Server 
 Sybase 
 Teradata 
 Challenges 
 You may face one or more of these time-consuming issues working with MySQL: 
 
 Data discovery: profiling, classification, ERDs 
 Unloading and loading large tables 
 Routine utility operations (reorgs) 
 Complex queries 
 Migration or replication 
 Masking sensitive data 
 Generating smart, safe test data 
 
 Specific performance diagnoses and tuning also take time and may affect other users. Finally, stored SQL procedures may also be programmed inefficiently, require optimization, then still take too long to run. 
 Solutions 
 Speed MySQL Unloads 
 IRI FACT (Fast Extract) to speed MySQL unloads. Use SQL syntax in FACT's CLI or GUI to dump table data to flat files. 
 Specify SELECT * from the table so you do not encumber the unload with qualifiers like distinct, order by, and group by. But once that data are in the flat file, use the SortCLprogram in IRI CoSort to de-dupe, sort, join, group (and report on) the extracts far faster ... in parallel, outside the database. 
 Speed MySQL Loads 
 IRI CoSort to pre-sort flat files for bulk bcp imports. 
 Create the clustered index first and pre-sort the input files (on the primary index key) to shorten the create index step. Use the SORTED_DATA option when creating indexes to reflect that CoSort bypassed the slower sort in bcp. 
 Speed MySQL Reorgs and Queries 
 Offline Reorg wizard in the IRI Workbench to combine and automate the combination of the above fast extraction, sorting, and re-loading operations for classic (offline) MySQL reorgs, which facilitate the maintenance of your tables in optimal query order. 
 Externalize SQL Transformations 
 IRI CoSort to relieve the database of processing overhead. Leverage file system I/O, multi-threading, and the proven data transformation power and consolidation of the CoSort SortCL program. 
 Migrate and Replicate MySQL Databases 
 IRI NextForm-Database edition to acquire, re-map, re-format, and build/populate new tables during migrations to and from MySQL. You can also use IRI NextForm or the SortCL program in IRI CoSort to re-map and convert data in MySQL, produce custom reports, copies, and federated views of data. 
 Mask Data in MySQL Columns 
 IRI FieldShield to mask sensitive data in MySQL, like personally identifiable information (PII) or protected health information (PHI), FieldShield applies masking, encryption, and other de-identifying functions to one or more columns at a time. Use FieldShield to comply with privacy laws like HIPAA, PCI DSS, FERPA, and GDPR. 
 Generate MySQL Test Data 
 IRI RowGen to rapidly populate MySQL operations with safe test data. RowGen uses your data models to automatically generate the test data for an entire database with referential integrity. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.jet-software.com/en/bi-analytics-bi-tool-acceleration-birt/,"BIRT Integration with IRI CoSort 
","[{""catId"":613882,""catPath"":""Software => Application Software => Business Software => Business Intelligence Software"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=613882""}]","{""keywords_english"":{""1"":""BIRT Integration"",""2"":""CoSort Data Preparation"",""3"":""Eclipse Reporting Tool""},""keywords"":{""1"":""BIRT Integration"",""2"":""CoSort Data Preparation"",""3"":""Eclipse Reporting Tool""}}","BI Business Intelligence Reporting Tool (BIRT) is the free, open source reporting system built on Eclipse™. Millions of developers use BIRT worldwide. 
 BIRT is also the foundation of the OpenText BIRT iHub, a commercial extension for advanced dashboards, scorecards, predictive analytics, and other sophisticated data visualizations and rich internet applications. 
 IRI collaborated with OpenText to combine IRI CoSort data preparation with free or commercial BIRT visualizations in Eclipse. BIRT works directly with the CoSort SortCL program in the same Eclipse GUI to produce powerful reports from immediate fit-for-purpose data sets. 
 IRI's innovative data integration technology enables its users to prepare big data for BIRT either statically or dynamically. This dynamic integration provides for seamless metadata exchange and data flows for end-to-end data preparation and presentation -- from SortCL to BIRT. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.jet-software.com/en/bi-analytics-bi-tool-acceleration-microstrategy/,"Accelerate MicroStrategy 
","[{""catId"":613882,""catPath"":""Software => Application Software => Business Software => Business Intelligence Software"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=613882""}]","{""keywords_english"":{""3"":""SortCL performance"",""2"":""data transformation"",""1"":""MicroStrategy BI""},""keywords"":{""3"":""SortCL performance"",""2"":""data transformation"",""1"":""MicroStrategy BI""}}","Accelerate MicroStrategy 
 Transform Data Outside the BI Layer for Speed 
 Overview 
 BIRT 
 BOBJ 
 Cognos 
 Cubeware 
 Datadog 
 Excel 
 iViz 
 Knime 
 MSTR 
 OBIEE/DV 
 Power BI 
 QlikView 
 R 
 Splunk 
 Spotfire 
 Tableau 
 MicroStrategy delivers visual information on cumulative financial performance, strategy management, and business intelligence, typically for analytic purposes. The SortCL program in the IRI Voracity platform or constituent IRI CoSort product transforms disparate, structured data into CSV and other popular 'feed' file formats outside the BI layer. 
 When SortCL sorts, joins, and aggregates raw datasets in a single job and I/O pass ahead of MicroStrategy, users can get their BI results in half the time. 
 In a recent benchmark, it took a MicroStrategy user 193 seconds to produce a report requiring sort, join, and aggregate transformations. SortCL ran the same transformations externally in 23 seconds. Its data was available to multiple applications. The same user needed another 77 seconds to run the same report using SortCL data, making the new total runtime 100 seconds. 
 https://www.jet-software.com/wp-content/uploads/2018/04/sortjoinagg1.jpg 
 For more information on the benchmark and how CoSort interacts with MicroStrategy, klick here. 
",COMPLETE,
