supplier_id,url,title,cate_info_ai,keyword_ai,description,status,reason
45d2ccb1-3f54-4539-b276-a8a34878d623,https://koeberlein-seigert.com/zh/%e7%bb%84%e4%bb%b6/%e7%89%b9%e5%88%ab%e8%b5%9e%e5%8a%a9%e5%95%86/,"特殊进料部件和传输高度的特殊解决方案 
","[{""catId"":606329,""catPath"":""Conveyor technology => Conveyor Systems"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=606329""}]","{""keywords_english"":{""1"":""special performance parts"",""2"":""rotating plastic drum"",""3"":""steep conveyor""},""keywords"":{""1"":""特殊性能零件"",""2"":""旋转塑料滚筒"",""3"":""陡峭输送机""}}","特别赞助商 
 Köberlein & Seigert 为具有特殊性能的零件提供解决方案。 
 例如，使用滚筒输送机可以输送橡胶制成的防滑部件。待分拣的零件通过一个两侧敞开且内部具有导流元件的旋转塑料滚筒输送到下游组件（类似于混凝土搅拌机的工作原理）。 
 我们计划中的另一位特别赞助商是 d陡峭的输送机，特别适合将零件输送到更高的水平。在增加高度的同时实现了符合人体工程学的低填充高度。 
 我们产品的优势 
 [LIST] - 特殊进料部件和传输高度的特殊解决方案 - 节省部分的喂料 - 紧凑的设计 - 定制 [END LIST] 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://koeberlein-seigert.com/service/wartung/,"Wartung Ihrer Maschinen 
","[{""catId"":617242,""catPath"":""Repair, maintenance and modernization => Maintenance Services => Machinery and equipment servicing"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=617242""}]","{""keywords_english"":{""1"":""Koeberlein & Seigert feeder system"",""2"":""regular maintenance"",""3"":""preventive measures""},""keywords"":{""1"":""Köberlein & Seigert Zuführanlage"",""2"":""regelmäßige Wartung"",""3"":""präventive Maßnahmen""}}","Unsere Anlagen sind generell wartungsarm und langlebig, dennoch kann eine regelmäßige Wartung unerwartete Produktionsausfälle vermeiden und hält die sichere und zuverlässige Funktion Ihrer Köberlein & Seigert Zuführanlage für lange Zeit aufrecht. 
 Warum Wartung wichtig ist: 
 Gemeinsam mit Ihnen bestimmen wir die Art der Wartung – abgestimmt auf die eingesetzte Technik und die Anforderungen an die Anlage. Dabei ist das Ziel, durch präventive Maßnahmen Anlagenausfälle zu vermeiden, die Kosten zu verringern sowie die Verfügbarkeit der Anlage zu optimieren. 
 Schreiben Sie direkt mit unseren Experten oder senden Sie uns eine Serviceanfrage per Formular. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://koeberlein-seigert.com/loesungen/zufuehrtechnik/,"Zuführtechnik 
","[{""catId"":613077,""catPath"":""Robotics, process and automation technology => Feeding Technology"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=613077""}]","{""keywords_english"":{""3"":""Bulk Parts"",""2"":""Step Conveying Technology"",""1"":""Feeding Technology""},""keywords"":{""3"":""Massenteile"",""2"":""Stufenfördertechnologie"",""1"":""Zuführtechnik""}}","Die Zuführung von Massenteilen für die industrielle Produktion ist unser Kerngeschäft. Dabei basieren unsere Lösungen im Kern auf der von uns entwickelten und seit Jahrzehnten bewährten Stufenfördertechnologie. 
 Im Vergleich zu anderen Zuführtechnologien sind Stufenförderer im Hinblick auf Leistungsfähigkeit, die Langlebigkeit und den schonenden Produkttransport deutlich überlegen. 
 Stufenförderer tragen zudem aufgrund der deutlich geringeren Geräuschentwicklung – im Gegensatz zu Fördertöpfen – erheblich zu den immer weiter steigenden Anforderungen an den Arbeitsschutz bei. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://koeberlein-seigert.com/service/umbauten-modernisierung/,"Maschinenumbau und Erweiterungen 
","[{""catId"":617293,""catPath"":""Repair, maintenance and modernization => Machinery Conversions"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=617293""}]","{""keywords_english"":{""3"":""functional extensions"",""2"":""feeding systems"",""1"":""machine retrofitting""},""keywords"":{""3"":""Funktionserweiterungen"",""2"":""Zuführeinrichtungen"",""1"":""Maschinenumbau""}}","Maschinenumbau ist Vertrauenssache! 
 Unser kompetentes Fachpersonal kennt Ihre Maschinen und weiß, wie selbst älteste Zuführeinrichtungen auf den neusten Stand gebracht werden können. Auch Funktionserweiterungen oder Umbauten auf andere Zuführteile lassen sich in den meisten Fällen mit unserem Baukastensystem schnell und kostengünstig realisieren. 
 Sprechen Sie für den Umbau Ihrer Maschine direkt mit unseren Experten. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://koeberlein-seigert.com/service/remote-service/,"Remote Service 
","[{""catId"":617271,""catPath"":""Repair, maintenance and modernization => Technical Service => Technical Service (Other)"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=617271""}]","{""keywords_english"":{""1"":""Remote Access"",""2"":""System Diagnostics"",""3"":""Software-Based Functions""},""keywords"":{""1"":""Fernzugriff"",""2"":""Systemdiagnose"",""3"":""Softwarebasierte Funktionen""}}","Sollte es während des Betriebes einmal zu Problemen an der Anlage kommen, können wir Störungen in vielen Fällen bereits per Fernzugriff beheben. 
 Unsere Software-Experten können sich (falls installiert) direkt mit dem betroffenen System verbinden. Softwarebasierte Funktionen werden per Fernzugriff überprüft, Fehlerursachen identifiziert und ggf. sofort beseitigt sowie eine zuverlässige Systemdiagnose erstellt. 
 Für Fragen zum Remote Service und den Voraussetzungen hierzu sprechen Sie bitte direkt mit unseren Service-Experten. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://koeberlein-seigert.com/komponenten/stufenfoerderer/,"Stufenförderer 
","[{""catId"":613077,""catPath"":""Robotics, process and automation technology => Feeding Technology"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=613077""}]","{""keywords_english"":{""1"":""step conveyor"",""2"":""low-vibration storage"",""3"":""electromechanical drive""},""keywords"":{""1"":""Stufenförderer"",""2"":""vibrationsarme Bevorratung"",""3"":""elektromechanischer Antrieb""}}","Vorteile unseres Produktes 
 
 Vibrationsarme Bevorratung - Schieberbreite bis 1.000 mm - Übergabehöhe bis 3.000 mm - Fördergeschwindigkeit bis zu 10 Meter pro Minute - Niedrige ergonomische Einfüllhöhen auch bei hohen Auslaufhöhen - Variable Schieberdicke und -breite - Verschleißarme Schieber - Elektromechanischer Antrieb - Sehr leiser und ruhiger Lauf - Geräuschentwicklung deutlich niedriger als bei Schwingtöpfen - Gegenläufiges Schiebersystem - Wenige Förderstufen notwendig - Kompakte Bauweise - Individuelle Höhenanpassung 
 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://koeberlein-seigert.com/komponenten/,"Komponentenübersicht 
","[{""catId"":613077,""catPath"":""Robotics, process and automation technology => Feeding Technology"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=613077""}]","{""keywords_english"":{""3"":""Automation"",""2"":""Components"",""1"":""Feeding Technology""},""keywords"":{""3"":""Automatisierung"",""2"":""Komponenten"",""1"":""Zuführtechnik""}}","Auf dieser Seite finden Sie eine Übersicht über unsere Komponenten zur Zuführtechnik. 
 Automatisierte Zuführung, Vereinzelung, Prüfung und lagerichtige Bereitstellung von Massenteilen ist unsere Kernkompetenz. Unser Komponentenspektrum reicht von Teilebereitstellung und -bevorratung über Fördertechnik bis hin zu „Griff in die Kiste“ und Palettiersystemen. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://koeberlein-seigert.com/en/component/fan-blower-technology/,"Fan blower technology 
","[{""catId"":606329,""catPath"":""Conveyor technology => Conveyor Systems"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=606329""}]","{""keywords_english"":{""3"":""Preformed hoses"",""2"":""Compact conveyor solutions"",""1"":""Fan blower technology""},""keywords"":{""3"":""Preformed hoses"",""2"":""Compact conveyor solutions"",""1"":""Fan blower technology""}}","Köberlein & Seigert also offers special conveyor solutions for restricted spaces as part of its custom feed device range, with ultra-compact feeding devices. Köberlein & Seigert fan blower technology ensures the smooth and efficient transfer of parts even under such complex conditions. 
 Following sorting and separation, a current of air moves the feed parts through a tube from the feed device to a catching station. The air flow is generated either by a fan or by a compressor. This method requires very little space at the point of feeding, as sorting takes place elsewhere. For the tubing system, Köberlein & Seigert uses durable materials and preformed hoses that are tailored to the shape of the feed part. 
 Advantages of our product 
 
 Compact 
 Multiple preformed hoses can be connected to the same stepfeeder so that one feed device to be used for multiple systems 
 Gentle handling of feed parts 
 Suitable for difficult-to-access areas 
 Easily covers long distances 
 Fan technology uses significantly less energy than compressed air technology 
 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://koeberlein-seigert.com/komponenten/einblastechnik/,"Zublastechnik 
","[{""catId"":613077,""catPath"":""Robotics, process and automation technology => Feeding Technology"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=613077""}]","{""keywords_english"":{""1"":""Pneumatic Conveying Technology"",""2"":""Feeding Systems"",""3"":""Part Conveying""},""keywords"":{""1"":""Zublastechnik"",""2"":""Zuführeinrichtungen"",""3"":""Teileförderung""}}","Köberlein & Seigert bietet im Rahmen seiner maßgeschneiderten Zuführeinrichtungen auch Lösungen an, die eine besondere Förderung der Teile in beengten Platzverhältnissen erfordern. In diesem Fall muss die Zuführung besonders platzsparend sein. Mit Hilfe der Zublastechnik von Köberlein & Seigert gelingt die Teileförderung auch unter diesen besonderen Bedingungen problemlos. 
 Nach der lageorientierten Sortierung und Vereinzelung werden die Zuführteile in einem Schlauch mittels Luftstrom von der Zuführeinrichtung zu einer entfernten Fangstation transportiert. Der Luftstrom wird entweder durch ein Gebläse oder einen Kompressor erzeugt. Durch dieses Prinzip wird direkt an der Zuführstelle nur wenig Platz in Anspruch genommen, da die Sortierung der Zuführteile außerhalb des Prozesses stattfindet. Bei der Schlauchinstallation setzt Köberlein & Seigert auf langlebige Materialien sowie die Verwendung von Formschläuchen optimal angepasst an die Form des Zuführteils. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://koeberlein-seigert.com/en/services/repairs/,"Repairs to your machine 
","[{""catId"":617083,""catPath"":""Repair, maintenance and modernization => Repair => Machine Repairs => Machine Repairs (Other)"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=617083""}]","{""keywords_english"":{""1"":""machineservice"",""2"":""spareparts"",""3"":""repair""},""keywords"":{""1"":""Maschinenservice"",""2"":""Ersatzteile"",""3"":""Reparatur""}}","Köberlein & Seigert feeding technology is robust and durable. If a repair is nonetheless required, our service team will soon be on hand to get your plant up and running again. 
 Our replacement and repair service is there to help: on request, our service team will remove worn or defective parts and install new parts. For replacement and wearing parts likely to involve a longer delivery or production time, we give you a storage recommendation with the plant documentation to ensure your replacement part supply even for parts with long lead times. 
 Write our experts or send us a repair inquiry using our form. 
",COMPLETE,
