supplier_id,url,title,cate_info_ai,keyword_ai,description,status,reason
45d2ccb1-3f54-4539-b276-a8a34878d623,https://koi-company.de/gewindemuffe-mit-ig-1-1/2-beidseitig,"Gewindemuffe mit IG 1 1/2"" beidseitig 
","[{""catId"":604032,""catPath"":""Fastening technology, joining technology and fittings => Fittings => Threaded Fittings"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=604032""}]","{""keywords_english"":{""3"":""Change external thread"",""2"":""Internal thread 1 1/2 inch"",""1"":""Threaded coupling""},""keywords"":{""3"":""Wechsel Außengewinde"",""2"":""Innengewinde 1 1/2 Zoll"",""1"":""Gewindemuffe""}}","Muffe mit beidseitigem 1 1/2 Zoll Innengewinde zum einfachen Wechsel eines Außengewindes auf ein Innengewinde in 1 1/2 Zoll. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://koi-company.de/luftschlauch-adapter-9-mm-16-mm,"Luftschlauch Adapter 9 mm - 16 mm 
","[{""catId"":613232,""catPath"":""Pipe and hose technology => Pipe Connectors"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=613232""}]","{""keywords_english"":{""1"":""Air hose adapter"",""2"":""9 mm to 16 mm"",""3"":""Air hose switch""},""keywords"":{""1"":""Luftschlauch Adapter"",""2"":""9 mm auf 16 mm"",""3"":""Luftschlauch Wechsel""}}","Mit diesem Adapter können Sie wahlweise von einem 9mm auf einen 16mm Luftschlauch wechseln. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://koi-company.de/deckel-fuer-den-oase-biotec-screenmatic2-140000-filter,"Deckel für den Oase BioTec ScreenMatic² 140000 Filter 
","[{""catId"":606231,""catPath"":""Filter and sieve technology => Filters => Liquid Filters => Pond Filters"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=606231""}]","{""keywords_english"":{""1"":""Lid for Oase BioTec ScreenMatic² 140000"",""2"":""Oase BioTec Filter Lid"",""3"":""Oase Filter Cover""},""keywords"":{""1"":""Deckel für Oase BioTec ScreenMatic² 140000"",""2"":""Filterdeckel Oase BioTec"",""3"":""Oase Filter Cover""}}","Deckel für den Oase BioTec ScreenMatic² 140000 Filter 
 Artikelnummer: DOBS 
 Sofort verfügbar, Lieferzeit: 1-4 Werktage** 
 1 Deckel für den Oase BioTec ScreenMatic² 140000 Filter Wir haben noch 3 Deckel für den Oase BioTec ScreenMatic² 140000 Filter auf Lager. 1 Stück ist neuwertig mit minimalen Kratzern / Beschädigungen. Bei 2 Stück fehlt das silberne Marken-Emblem von Oase. Bei einem Deckel ist ein Riss und bei einem anderen ist eine Abschürfung (siehe den Fotos). Gerne darf sich von den verfügbaren Deckeln der Beste vor Ort ausgesucht werden. Nur Selbstabholung in 63505 Langenselbold, kein Versand möglich. 
 product-detail-price: 39,00 €* 
 Preise inkl. MwSt. zzgl. Versandkosten 
 Zum Merkzettel hinzufügen 
 icon icon-bell-bell icon-md icon-price-alert icon-price-alert-added: icon icon-bell-crossed icon-md icon-price-alert icon-price-alert-not-added: product-price-alert-btn-content text-price-alert-not-added product-price-alert-btn-content-md: Preisalarm aktivierenproduct-price-alert-btn-content text-price-alert-remove product-price-alert-btn-content-md: Preisalarm deaktivieren 
 Zum Vergleich hinzufügen 
 Angaben zur Produktsicherheit: 
 Hersteller: Oase, Tecklenburger Straße 161, 48477 Hörstel-Riesenbeck 
 Email: info@oase-livingwater.com 
 Gratisversand ab 100€ Warenwert 
 KOI Company Qualitätsversprechen 
 Kompetente Beratung vom Fachmann 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://koi-company.de/genesis-trommelfilter-1000-schwerkraftversion,"Genesis Trommelfilter 1000 Schwerkraftversion 
","[{""catId"":606226,""catPath"":""Filter and sieve technology => Filters => Liquid Filters => Drum Filters"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=606226""}]","{""keywords_english"":{""3"":""Gravity version"",""2"":""Pond filter"",""1"":""Drum filter""},""keywords"":{""3"":""Schwerkraftversion"",""2"":""Teichfilter"",""1"":""Trommelfilter""}}","Der neue GENESIS EVO Trommelfilter verbindet neueste Technologie mit altbewährter Filtermechanik, die wortwörtlich automatisch zu einem klaren Teich bis zu 100.000L führen.In Verbindung mit der Blue Stream Control 30.000L oder Green Stream Control 80.000L Pumpe erzielen Sie eine hocheffiziente Filtration bei geringstem Aufwand Ihrerseits.Mit dem neuen Steuergerät von Genesis lassen sich die Reinigungsintervalle und die Intensitäten exakt auf Ihren Bedarf einstellen und sind jederzeit anpassbar. Der intelligente Drucksensor überwacht stets den Wasserstand im Filter und löst bedarfsorientiert die Spülungen aus. Die integrierten Notüberläufe verhindern zu jeder Zeit einen Wasserverlust der Teichanlage. Der Trommelfilter verwendet zur Reinigung des Gewebebandes lediglich das bereits gefilterte Wasser. 
 Diese Pumpe ist mit einem Nettopreis versehen. Haben Sie bitte Verständnis, dass wir Ihnen beim Kauf des Filters keinen Treuebonus oder Fischgutschein gewähren können.Dieser Artikel wird auf einer Palette (mit Spedition) geliefert. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://koi-company.de/anarex-bio-/liter-2-5-l,"Anarex-Bio® 
","[{""catId"":603326,""catPath"":""Supplies for agriculture, forestry, fishing, horticulture => Pet Supplies => Animal Care Products"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=603326""}]","{""keywords_english"":{""1"":""Anarex-Bio®"",""2"":""Koi Company"",""3"":""bacterial balance""},""keywords"":{""1"":""Anarex-Bio®"",""2"":""Koi Company"",""3"":""bakterielles Gleichgewicht""}}","Anarex-Bio® ist nur noch bei Koi Company oder von uns autorisierten Händlern erhältlich. 
 Handeln Sie nicht erst, nachdem es zu spät ist: Anarex-Bio® hilft Ihnen bei der Vorbeugung von Krankheiten, stellt das bakterielle Gleichgewicht in Ihrem Teich wieder her und unterstützt außerdem die Heilung Ihrer Fische, falls es schon zu Erkrankungen gekommen ist. Weitere Informationen erhalten Sie hier: www.anarex-bio.de 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://koi-company.de/aquari-krilloel-250ml,"Aquari Krillöl 250ml 
","[{""catId"":610101,""catPath"":""Food and beverage => Dietary Supplements => Omega-3 Oil & Fish Oil"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=610101""}]","{""keywords_english"":{""1"":""Aquari Krill Oil"",""2"":""Omega-3 Fatty Acids"",""3"":""Antioxidants""},""keywords"":{""1"":""Aquari Krillöl"",""2"":""Omega3-Fettsäuren"",""3"":""Antioxidantien""}}","Aquari Krillöl wird nur aus reinem Krill hergestellt. Es ist die ideale Quelle für bioaktive Peptide mit einem niederen Molekulargewicht und freien Aminosäuren, die eine hohe Verdaulichkeit und Assimilation gewährleisten. 
 Krillöl enthält Antioxidantien wie Astaxanthin, Canthaxantin, Beta-Carotin, Omega3-Fettsäuren und Vitamin E. 
 Vorteile: Es ist in der Lage, die Zellteilung gesünder und effizienter durchzuführen. Darüber hinaus wird das Krillöl perfekt vom Fischkörper aufgenommen. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://koi-company.de/aloe-vera-250ml,"Aloe Vera 250ml 
","[{""catId"":611606,""catPath"":""Medicine and health => Health Products => Aloe Vera Products"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=611606""}]","{""keywords_english"":{""3"":""Feed Additives"",""2"":""Koi Nutrition"",""1"":""Aloe Vera Gel""},""keywords"":{""3"":""Futterzusatzstoffe"",""2"":""Koi Ernährung"",""1"":""Aloe Vera Gel""}}","Aloe Vera-Gelcompound ist reich an Aminosäuren, Proteinen, Enzymen, Mineralien, Spurenelementen, Fettsäuren und Vitaminen. Die ungesättigten Omega-3-Fettsäuren regen den Stoffwechsel an und vitalisieren den gesamten Organismus. Die Vitaminvielfalt ist außergewöhnlich. Neben den wichtigsten Vitaminen A/B1/B2/B3/B6/B9/B12/C/E und Cholin, finden wir eine Reihe von Polysacchariden, die das so wichtige Immunsystem kräftig unterstützen und Selbstheilungskräfte mobilisieren. Aloe Vera ist ein Pflanzensaft und auch bei niedrigen Temperaturen sehr gut verdaulich. 
 Wir empfehlen 2 - 3 mal pro Woche Aloe Vera als Trägeremulsion und Haftgrund unserer Futterzusatzstoffe auf eine Tagesration Pellets aufzutragen. Die mit Aloe Vera befeuchteten Pellets werden durch unsere speziell präparierten Zusatzstoffe Spirulina, Krill, Knoblauch-Ginseng, Insectus oder Blütenstaub ummantelt und können nicht abspülen. Die Aloe Vera-Emulsion und die Futterzusatzstoffe nehmen die Koi so in voller Konzentration auf. 
 Vorbeugen ist besser als heilen 
 Unter diesem Slogan hat die Firma Koi Solutions eine ganze Produktpalette zusammengestellt, um eine optimale Versorgung der Koi zu garantieren. Naturnahe, gesunde Ernährung beseitigt die meisten hausgemachten Probleme. Die Naturstoffe sind so präpariert, dass sie den angefeuchteten Futterpellet, ob sinkend oder schwimmend, ummanteln und im Wasser nicht abspülen. 1/4l Pellets erhalten dadurch den Nährwert eines ganzen Liters. Die Vorteile liegen auf der Hand: 
 
 Die Wasserwerte verbessern sich durch geringere Ausscheidungen. 
 Die Kondition und das Immunsystem werden aktiviert. 
 Die Koi wachsen sichtbar besser. 
 Leuchtende Farben und seidiger Glanz kommen wieder zurück. 
 
 Speziell für Koi Company hat die Firma Koi Solutions eine Sondergröße hergestellt, mit halbem Inhalt, damit Sie öfters eine frische Verpackung benutzen oder eine andere Sorte wählen können. 
 Bitte bedenken Sie, immer ein Pulver mit einer Flüssigkeit als Kombination zu benutzen. 
 Gratisversand ab 100€ Warenwert 
 KOI Company Qualitätsversprechen 
 Kompetente Beratung vom Fachmann 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://koi-company.de/schlauchtuelle-38mm-mit-1-1/2-aussengewinde,"Schlauchtülle 38mm mit 1 1/2"" Außengewinde 
","[{""catId"":604009,""catPath"":""Fastening technology, joining technology and fittings => Fittings => Hose Connectors => Hose Connectors (Other)"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=604009""}]","{""keywords_english"":{""1"":""Hose nozzle 38mm"",""2"":""1 1/2\"" male thread"",""3"":""pool connections""},""keywords"":{""1"":""Schlauchtülle 38mm"",""2"":""1 1/2\"" Außengewinde"",""3"":""Poolanschlüsse""}}","Schlauchtülle 38mm (Poolschlauch) mit 1 1/2"" Außengewinde passend für die meisten Poolanschlüsse 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://koi-company.de/aquaforte-profi-teichheizer-edelstahl-1kw-3kw/leistung-1-kw,"AquaForte Profi Teichheizer Edelstahl 1kW - 3kW 
","[{""catId"":603684,""catPath"":""Supplies for agriculture, forestry, fishing, horticulture => Horticultural Supplies => Pond Construction Supplies => Pond Accessories"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=603684""}]","{""keywords_english"":{""3"":""Overheat Protection"",""2"":""Adjustable Thermostat"",""1"":""Pond Heater Stainless Steel""},""keywords"":{""3"":""Überhitzungsschutz"",""2"":""regelbarer Thermostat"",""1"":""Teichheizer Edelstahl""}}","Preisgünstiger Teichheizer im Edelstahlgehäuse mit 1.000 Watt, 2.000 Watt oder 3.000 Watt Leistung. 
 Der Teichheizer schaltet automatisch nach Erreichen der eingestellten Temperatur ab. Zusätzlich besitzt der Heizer einen Überhitzungsschutz.Dieses Modell ist mit einem regelbaren Thermostat (0-40°C) ausgestattet. Das Heizelement und der Temperaturfühler sind aus Edelstahl. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://koi-company.de/aquaforte-ez-clean-druckfilter-sets-poolfilter,"AquaForte Filterset EZ Clean 400 8,1m³/h 400 W 
","[{""catId"":606231,""catPath"":""Filter and sieve technology => Filters => Liquid Filters => Pond Filters"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=606231""}]","{""keywords_english"":{""1"":""Pool Filter Set"",""2"":""self-priming pump"",""3"":""Aqualoon filter balls""},""keywords"":{""1"":""Pool Filterset"",""2"":""selbstansaugende Pumpe"",""3"":""Aqualoon Filterbälle""}}","Diese Pool Filtersets werden inklusive Schwimmbadpumpe mit integriertem Vorfilter geliefert. Die Pumpe hat einen GFCI (FI-Schutz) Stecker und ist selbstansaugend. Der Filter ist mit Aqualoon Filterbällen gefüllt. Die Filter-Bälle bestehen aus 100% starpazierfähigem Polyethylen mit einer langen Lebensdauer. Es werden Partikel bis 1 micron aus dem Wasser gefiltert. Macht das Wasser noch reiner und hygienischer und besitzen eine niedrige Rückspülfrequenz. Der Filter läuft mit äußerst geringem Druckverlust. Die Bälle werden je nach Schmutzaufkommen wöchentlich oder alle 2 Wochen in der Waschmaschine gereinigt. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://koi-company.de/aquaforte-rohr-vorfilter-dirty-harry,"AquaForte Rohr-Vorfilter ""Dirty Harry"" 
","[{""catId"":606264,""catPath"":""Filter and sieve technology => Filters => Prefilters"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=606264""}]","{""keywords_english"":{""1"":""pipe pre-filter"",""2"":""sight glass"",""3"":""prevent algae formation""},""keywords"":{""1"":""Rohr-Vorfilter"",""2"":""Sichtglas"",""3"":""Algenbildung vermeiden""}}","Produktbeschreibung 
 Der Rohr-Vorfilter fängt grobe Schmutzteile und Schmutzstoffe auf, so dass diese nicht in der Pumpe bzw. im Filter landen. Durch das praktische Sichtglas ist der Verschmutzungsgrad immer leicht einzusehen. 
 Ideal für gepumpte Systeme um den Hauptfilter zu entlasten. Hierzu sollten mehrere Rohr-Vorfilter genutzt werden um diese bei Bedarf sauber zu machen. 
 Das transparente Sichtglas sollte vor der Sonneneinstrahlung geschützt aufgestellt werden, damit keine Algenbildung am Sichtglas entsteht. 
 Bei der Nutzung im Schwerkraftsystem sollte aufgrund des Durchmessers der Rohr-Vorfilter kurz vor der Pumpe montiert werden, damit genügend Durchfluss gewährleistet wird. 
 Dem Rohr-Vorfilter liegt eine Stufenschlauchtülle für Schlauch in 25/32/40 mm bei sowie eine Kupplungs-Klebeverbindung für 50/63 mm Rohr oder 1 1/2 Zoll Innengewinde . 
",COMPLETE,
