id,gmt_modified,gmt_create,supplier_id,host,url,title,product_main_image,product_image_list,price,min_price,max_price,price_type,currency,pricing_unit,moq,cate_info_ai,keyword_ai,task_id,description,status,reason,main_image_object_key,image_list_object_key,final_state,page_record_id
5682,2025-12-02 11:08:39,2025-12-02 11:08:33,b7852a64-6831-4ec0-b515-cf233571cd35,www.koton.com,https://www.koton.com/pamuklu-uzun-kollu-bisiklet-yaka-kaskorse-crop-tisort-ekru-4051311-1/,"Pamuklu Uzun Kollu Bisiklet Yaka Kaşkorse Crop Tişört 
",https://ktnimg2.mncdn.com/products/2025/08/13/3122521/b7b18ca5-99c6-4af5-a74c-ff1691aa38a0.jpg,"[""https://ktnimg2.mncdn.com/products/2025/08/13/3122521/4ecf94d4-da01-4e24-bc0a-5108b1bb90d6.jpg"",""https://ktnimg2.mncdn.com/products/2025/08/13/3122537/b226218d-c55a-4510-ad90-670c85b4811f.jpg""]",,,,sku_price,,,1,"[{""catId"":604616,""catPath"":""Clothing and accessories => Children's Clothing => Children's Clothing (Other)"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=604616""}]","{""keywords_english"":{""1"":""Ribbed T-Shirt"",""2"":""Long Sleeve Crop"",""3"":""Kids T-Shirt""},""keywords"":{""1"":""Kaşkorse Tişört"",""2"":""Uzun Kollu Crop"",""3"":""Çocuk Tişört""}}",304,"Kaşkorse dokusuyla öne çıkan tişört, bisiklet yaka tasarımı ve uzun kol detayları ile konfor sunuyor. Yan kısımlarındaki büzgü detayları tişörte sevimli bir görünüm kazandırıyor. Pamuklu yapısı gün boyu rahatlık sağlarken, crop kesimi ile modern bir görünüm sunuyor. Çocuklar için günlük giyime uygun ideal bir parça olarak öne çıkıyo! 
",COMPLETE,,,,1,280149
5683,2025-12-02 11:08:43,2025-12-02 11:08:35,b7852a64-6831-4ec0-b515-cf233571cd35,www.koton.com,https://www.koton.com/basic-tisort-polo-yaka-dugmeli-dar-kesim-beyaz-3690483-2/,"Basic Tişört Polo Yaka Düğmeli Dar Kesim 
",https://ktnimg2.mncdn.com/products/2024/04/13/2632626/d0c292f5-5a4f-4dae-a643-7765433297f2_size870x1142.jpg,"[""https://ktnimg2.mncdn.com/products/2024/04/13/2632626/f5416d14-5a1a-4d94-8f01-13f31727b3b3_size870x1142.jpg"",""https://ktnimg2.mncdn.com/products/2024/04/13/2632626/ef17c997-d485-4822-b473-a8e2f4170f7d_size870x1142.jpg"",""https://ktnimg2.mncdn.com/products/2024/04/13/2632626/bdf40cca-1865-4ba8-a159-6087a439e304_size870x1142.jpg"",""https://ktnimg2.mncdn.com/products/2024/04/13/2632626/a92c8e7b-a56f-4be2-8712-afcba2e299de_size870x1142.jpg""]",,399.99,399.99,sku_price,TRY,,1,"[{""catId"":604365,""catPath"":""Clothing and accessories => Polos"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=604365""}]","{""keywords_english"":{""3"":""Buttoned T-shirt"",""2"":""Polo Collar"",""1"":""Basic T-shirt""},""keywords"":{""3"":""Düğmeli Tişört"",""2"":""Polo Yaka"",""1"":""Basic Tişört""}}",304,"Golf sahasından ofis ve günlük stile geçiş yapan basic polo yaka düğmeli tişört yükselişe geçen parçalar arasında! 
 Dış : %100 PAMUK 
 Model Bilgileri : Jean: 30/32 Modelin Bedeni: L Boy: 186 / Bel: 72 / Göğüs: 91 / Kalça: 93 
 Hopi, Tosla, GarantiPay ve benzeri birçok alternatif ödeme yöntemi  ile ödeyebilirsiniz. 
",COMPLETE,,,,1,279647
5685,2025-12-02 11:08:55,2025-12-02 11:08:48,b7852a64-6831-4ec0-b515-cf233571cd35,www.koton.com,https://www.koton.com/dik-yaka-uzun-kollu-yarim-fermuarli-pamuklu-sweatshirt-bordo-4061825-1/,"Dik Yaka Uzun Kollu Yarım Fermuarlı Pamuklu Sweatshirt 
",https://ktnimg2.mncdn.com/products/2025/10/17/3143040/819db109-6d80-4307-92a3-460aa23664f6.jpg,"[""https://ktnimg2.mncdn.com/products/2025/10/17/3143046/1ce5030a-5ff0-42f6-b5c3-f9dab03709e1.jpg"",""https://ktnimg2.mncdn.com/products/2025/10/17/3143061/4c1f479e-cb47-4f2b-ad4f-6e81e184c0e5.jpg""]",,,,sku_price,,,1,"[{""catId"":604618,""catPath"":""Clothing and accessories => Children's Clothing => Children's Jackets"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=604618""}]","{""keywords_english"":{""1"":""High neck sweatshirt"",""2"":""Cotton children's sweatshirt"",""3"":""Half-zip sweatshirt""},""keywords"":{""1"":""Dik yaka sweatshirt"",""2"":""Pamuklu çocuk sweatshirt"",""3"":""Yarım fermuarlı sweatshirt""}}",304,"Dik yaka, fermuarlı sweatshirt çocuklar için rahatlık sunuyor. Dokulu tasarımı ve pamuklu dokusuyla dikkat çekiyor. Yarım fermuar detayı, giyip çıkarmayı kolaylaştırırken, pamuklu yapısı konfor sağlıyor ve rahat kesimiyle çocuklar için ideal seçeneklerden biri haline geliyor. 
 Koton erkek çocuk giyim koleksiyonu, rahatlığı ve şıklığı bir araya getiriyor! Koton erkek çocuk koleksiyonu ile miniklerin dünyasını renklendirin! 
 Dış : %100 PAMUK 
 Hopi, Tosla, GarantiPay ve benzeri birçok alternatif ödeme yöntemi ile ödeyebilirsiniz. 
",COMPLETE,,,,1,279961
5688,2025-12-02 11:09:08,2025-12-02 11:09:01,b7852a64-6831-4ec0-b515-cf233571cd35,www.koton.com,https://www.koton.com/uzun-kollu-cepli-dik-yaka-fermuarli-polar-sweatshirt-ekru-4077742-1/,"Uzun Kollu Cepli Dik Yaka Fermuarlı Polar Sweatshirt 
",https://ktnimg2.mncdn.com/products/2025/10/13/3141072/39339458-2ad7-4e3b-af51-a214ef909290.jpg,"[""https://ktnimg2.mncdn.com/products/2025/10/13/3141072/6cbefeca-a6c7-4216-8357-3e9819b86aa9.jpg"",""https://ktnimg2.mncdn.com/products/2025/10/13/3141072/802af5cb-0b4b-4798-b618-f775d7a47bed.jpg""]",,559.99,559.99,sku_price,TRY,,1,"[{""catId"":604620,""catPath"":""Clothing and accessories => Baby Clothing => Baby Clothing (Other)"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=604620""}]","{""keywords_english"":{""1"":""Polar Sweatshirt"",""2"":""pocketed zippered"",""3"":""stand-up collar""},""keywords"":{""1"":""Polar Sweatshirt"",""2"":""cepli fermuarlı"",""3"":""dik yaka""}}",304,"Polar sweatshirt, yumuşacık dokusuyla miniklere konfor ve sıcaklık sunuyor. Fermuarlı tasarımı sayesinde kolayca giyilip çıkarılabiliyor. Dik yakası ve uzun kolları ile soğuk havalarda ekstra koruma sağlıyor. 
 Koton bebek koleksiyonu, miniklerin konfor ve şıklığını bir arada sunuyor! 
 Ürünlerimiz kimyasallara karşı test edilerek, tüm güvenlik kurallarına uygun olarak üretilir. Ürünlerimizde sağlığa zararlı boyalar ve ağır metaller, tehlikeli yutulabilecek küçük ve keskin parçalar, kordon ve bağcıklar bulunmamaktadır. 
 Dış : %100 POLİESTER 
",COMPLETE,,,,1,280078
5691,2025-12-02 11:09:20,2025-12-02 11:09:12,b7852a64-6831-4ec0-b515-cf233571cd35,www.koton.com,https://www.koton.com/50yevaran-kampanyali-urunler/?attributes_filterable_gender=Kız%20Çocuk&attributes_filterable_gender=Erkek%20Çocuk&attributes_filterable_category=Tişört,"Dinozor Baskılı Uzun Kollu Bisiklet Yaka Pamuklu Tişört 
",https://ktnimg2.mncdn.com/products/2025/07/03/3107026/fbf7fe45-63eb-4acd-a0df-92145739a6db.jpg,"[""https://ktnimg2.mncdn.com/products/2025/07/03/3107026/5156233b-7cdf-4b39-afc0-ea8a447352d8_size24x24_cropCenter.jpg""]",,,,sku_price,,,1,"[{""catId"":604361,""catPath"":""Clothing and accessories => T-Shirts"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=604361""}]","{""keywords_english"":{""3"":""Crew Neck"",""2"":""Long Sleeve"",""1"":""Dinosaur Print""},""keywords"":{""3"":""Bisiklet Yaka"",""2"":""Uzun Kollu"",""1"":""Dinozor Baskılı""}}",304,"Erkek Çocuk Dinozor Baskılı Uzun Kollu Bisiklet Yaka Pamuklu Tişört 
 359,99 TL 
 2.500 TL ve ÜZERİNE %40 + KASIM20 KODUYLA EK %20 İNDİRİM 
",COMPLETE,,,,1,279371
5693,2025-12-02 11:09:35,2025-12-02 11:09:27,b7852a64-6831-4ec0-b515-cf233571cd35,www.koton.com,https://www.koton.com/uzun-kollu-cepli-fermuarli-ici-pelus-astarli-yakasi-suni-kurklu-kislik-kase-ceket-ekru-4066261/,"Kaşe Kürk Yaka Mont 
",https://ktnimg2.mncdn.com/products/2025/10/11/3132769/c44b45b7-521d-4af8-bbab-762bd8a23611_size870x1142.jpg,"[""https://ktnimg2.mncdn.com/products/2025/10/11/3132769/3f0eb03e-7545-4781-993b-4c7b9cac83ef_size870x1142.jpg"",""https://ktnimg2.mncdn.com/products/2025/10/11/3132769/c5c00889-e4f0-4f35-9f1a-e5d29efe9d9c_size870x1142.jpg"",""https://ktnimg2.mncdn.com/products/2025/10/11/3132769/0f732cac-ca8a-49e8-a2fd-5c47e8d768eb_size870x1142.jpg"",""https://ktnimg2.mncdn.com/products/2025/10/11/3132769/59c5a4fe-fd5c-4c48-a46b-1f99dffac22f_size870x1142.jpg"",""https://ktnimg2.mncdn.com/products/2025/10/11/3132769/4d40738d-9d96-4089-9f61-7eaaea45eb95_size870x1142.jpg"",""https://ktnimg2.mncdn.com/products/2025/10/11/3132769/05c256eb-c199-4366-8b1f-577b8fe74a63_size870x1142.jpg""]",,3299.99,3299.99,sku_price,TL,,1,"[{""catId"":604433,""catPath"":""Clothing and accessories => Jackets => Coats"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=604433""}]","{""keywords_english"":{""3"":""Double Flap Pocket Coat"",""2"":""Slim Fit Coat"",""1"":""Coat with Faux Fur Collar""},""keywords"":{""3"":""Fleto Çift Cep Mont"",""2"":""Slim Fit Mont"",""1"":""Kaşe Kürk Yaka Mont""}}",304,"Kaşe ceket, suni kürk yaka tasarımı ve fermuar detaylarıyla tarzınıza farklı bir dokunuş katıyor. Slim fit kesimi sayesinde vücudunuzu mükemmel bir şekilde sarıyor ve modern bir görünüm sunuyor. İçi peluş astarlı astarı soğuk hava koşullarında konfor sağlıyor. Kaşe mont hem sıcaklık hem de şıklık sunarak gardırobunuzun vazgeçilmez bir parçası oluyor. Fleto çift cepleriyle pratik bir kullanım sunan kaşe mont, günlük kombinlerinizin favorisi olacak. 
 Stil Önerisi 
 Yakası suni kürklü kaşe mont, günlük stilinizi tamamlamak için mükemmel bir seçim. Klasik bir jean ve basic bir tişörtle kombinleyerek rahat ve şık bir görünüm elde edebilirsiniz. Soğuk günlerde kapüşonlu bir sweatshirt ile katmanlayarak ekstra sıcaklık sağlayabilir, spor ayakkabılarla tamamlayarak modern ve cool bir tarz yakalayabilirsiniz. 
 Ürün Özellikleri 
 Kolon Tipi: Uzun Kol, Yaka Tipi: Peluş Yaka, Fit: Slim Fit, Cep Tipi: Fleto Çift Cep, Kullanım Alanı: Günlük Giyim, Ofis Giyim 
 Koton'un kaliteli ve trend dış giyim tasarımları trend kombinler yaratıyor. Koton mont koleksiyonu ile stilinize yeni bir soluk getirin! 
",COMPLETE,,,,1,279771
5695,2025-12-02 11:09:35,2025-12-02 11:09:28,b7852a64-6831-4ec0-b515-cf233571cd35,www.koton.com,https://www.koton.com/uzun-kollu-dugmeli-kemer-detayli-cepli-kruvaze-yaka-trenckot-ekru-4042334-3/,"Uzun Kollu Düğmeli Kemer Detaylı Cepli Kruvaze Yaka Trençkot 
",https://ktnimg2.mncdn.com/products/2025/10/11/3108460/c85f5e61-e04d-4122-9907-acefc000c234_size870x1142.jpg,"[""https://ktnimg2.mncdn.com/products/2025/10/11/3108460/0769a399-2335-4182-b37a-6750085f9925_size870x1142.jpg"",""https://ktnimg2.mncdn.com/products/2025/10/11/3108460/da31a10a-1a50-46e2-b515-8e2ba6e165ab_size870x1142.jpg"",""https://ktnimg2.mncdn.com/products/2025/10/11/3108460/6456cf06-92ca-43b6-b366-64c405711342_size870x1142.jpg"",""https://ktnimg2.mncdn.com/products/2025/10/11/3108460/737101cc-54e3-4426-b86f-afc76229e794_size870x1142.jpg"",""https://ktnimg2.mncdn.com/products/2025/10/11/3108460/d3447c53-fd96-4b75-863a-13f5bf701dc7_size870x1142.jpg"",""https://ktnimg2.mncdn.com/products/2025/10/11/3108460/ff7c2923-fe74-4cb4-82db-5904f392d921_size870x1142.jpg""]",,,,sku_price,,,1,"[{""catId"":604433,""catPath"":""Clothing and accessories => Jackets => Coats"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=604433""}]","{""keywords_english"":{""3"":""Buttoned Belted"",""2"":""Notch Lapel"",""1"":""Trench Coat""},""keywords"":{""3"":""Düğmeli Kemerli"",""2"":""Kruvaze Yaka"",""1"":""Trençkot""}}",304,"Trençkot, klasik ve zarif tasarımı ile stilinizi tamamlıyor. Uzun boyu ve kruvaze kesimi ile dikkat çeken bu parça, her mevsim kullanılabilir olmasıyla ön plana çıkıyor. Ceket yaka detayı ve uzun kollu yapısı, trençkota şıklık katarken düğmeli kapanışı kullanışlılık sağlıyor. Ayrıca, kemer detayı ve cep detayları, hem fonksiyonel hem de estetik bir görünüm yaratıyor. Bu trençkot, her ortamda rahatlıkla tercih edilebilecek bir tasarıma sahip olup, hem iş hem de günlük yaşamda farkınızı ortaya koymanıza yardımcı oluyor. Astarlı yapısı ile konforlu ve sıcak bir deneyim sunuyor. 
 Stil Önerisi
Trençkot, şık çizginizle ideal bir parça olacaktır. İş günlerinde kalem etek ve beyaz bir gömlekle kombinleyerek modern bir ofis stili elde edebilirsiniz. Günlük kullanımlarda ise slim fit pantolonlar ve topuklu botlarla tamamlayarak, sofistike ve rahat bir görünüm sağlayabilirsiniz. Minimal aksesuarlar ve çanta ile görünümünüzü mükemmelleştirebilirsiniz. 
 Koton trençkot modelleriyle stilinizi her daim şık tutun. Zarif ve fonksiyonel detaylarıyla trençkotlar, gardırobunuzun vazgeçilmez parçası olacak! 
",COMPLETE,,,,1,279897
5697,2025-12-02 11:09:42,2025-12-02 11:09:34,b7852a64-6831-4ec0-b515-cf233571cd35,www.koton.com,https://www.koton.com/pamuklu-cepli-uzun-kollu-kravat-detayli-basic-gomlek-beyaz-4036882-1/,"Pamuklu Cepli Uzun Kollu Kravat сделаlı Basic Gömlek 
",https://ktnimg2.mncdn.com/products/2025/10/11/3085334/9ed7d927-e45e-4f24-a744-44f124c7f5d5_size870x1142.jpg,"[""https://ktnimg2.mncdn.com/products/2025/10/11/3085334/bb0d82f5-2d67-4c41-bb1f-2702e5a760af_size870x1142.jpg"",""https://ktnimg2.mncdn.com/products/2025/10/11/3085334/d8298a49-3abe-468f-9d19-fcdef820841e_size870x1142.jpg"",""https://ktnimg2.mncdn.com/products/2025/10/11/3085334/0e518947-3b57-445d-8976-8fb3974e1b9e_size870x1142.jpg"",""https://ktnimg2.mncdn.com/products/2025/10/11/3085334/b6b960a9-a390-4003-8386-46c0ecc56876_size870x1142.jpg""]",,559.99,559.99,sku_price,TRY,,1,"[{""catId"":604616,""catPath"":""Clothing and accessories => Children's Clothing => Children's Clothing (Other)"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=604616""}]","{""keywords_english"":{""1"":""cotton shirt"",""2"":""tie detail"",""3"":""for children""},""keywords"":{""1"":""pamuklu gömlek"",""2"":""kravat detaylı"",""3"":""çocuklar için""}}",304,"Karavat detaylı basic gömlek, çocuklar için ideal bir seçim sunuyor. Uzun kollu yapısı ve klasik yaka tasarımıyla özel günlerde kullanıma uygun olan parça, pamuklu kumaşı sayesinde gün boyu konfor sağlıyor. Tek cepli detayı ile hem işlevsel hem de şık bir seçenek oluşturuyor. 
 Koton erkek çocuk modelleri her mevsim şıklığı ve rahatlığı bir arada sunuyor! Çocukların enerjisine uyum sağlayan tasarımlarıyla Koton Kids koleksiyonu miniklerin favorisi oluyor! 
 Dış : %100 PAMUK 
 Hopi, Tosla, GarantiPay ve benzeri birçok alternatif ödeme yöntemi ile ödeyebilirsiniz. 
",COMPLETE,,,,1,280067
5699,2025-12-02 11:09:51,2025-12-02 11:09:44,b7852a64-6831-4ec0-b515-cf233571cd35,www.koton.com,https://www.koton.com/uzun-kollu-cizgili-polo-yaka-triko-kazak-ekru-cizgili-4048565/,"Uzun Kollu Çizgili Polo Yaka Triko Kazak 
",https://ktnimg2.mncdn.com/products/2025/08/06/3117633/1d69c2c3-6ddd-49f7-8197-031a90d09127_size870x1142.jpg,"[""https://ktnimg2.mncdn.com/products/2025/08/06/3117635/52246073-f88e-4f71-8e0b-1104fc06d9d3_size870x1142.jpg"",""https://ktnimg2.mncdn.com/products/2025/08/06/3117635/dbf2ac17-3250-4340-aea8-c594baec0444_size870x1142.jpg""]",,659.99,659.99,sku_price,TL,,1,"[{""catId"":604368,""catPath"":""Clothing and accessories => Sweaters => Sweaters (Other)"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=604368""}]","{""keywords_english"":{""1"":""Polo Neck Knit Sweater"",""2"":""Long Sleeve Baby Sweater"",""3"":""Striped Pattern Baby Sweater""},""keywords"":{""1"":""Polo Yaka Triko Kazak"",""2"":""Uzun Kollu Bebek Kazak"",""3"":""Çizgili Desenli Bebek Kazak""}}",304,"Triko kazak, yumuşak yapısıyla bebeklere konfor sunuyor. Polo yaka tasarımı ve çizgili deseni ile öne çıkan parça, rahat kesimi sayesinde miniklere hareket özgürlüğü sağlıyor. Soğuk havalarda sıcaklık sağlayan kazak, bebeklerin günlük kombinlerine rahatlıkla eşlik ediyor. 
 Ürün Özellikleri 
 Kol Tipi: Uzun KolYaka Tipi: Gömlek YakaKullanım Alanı: Günlük Giyim 
 Koton erkek bebek giyim koleksiyonu, kaliteli ve sevimli tasarımlarıyla miniklerin favorisi oluyor! Miniklerin dolabını Koton'un şık ve rahat parçaları ile tamamlayın! 
 Bebeğiniz bu kıyafet ile güvende! Ürünlerimiz kimyasallara karşı test edilerek, tüm güvenlik kurallarına uygun olarak üretilir. Ürünlerimizde sağlığa zararlı boyalar ve ağır metaller, tehlikeli yutulabilecek küçük ve keskin parçalar, kordon ve bağcıklar bulunmamaktadır. 
 Dış : %73 AKRİLİK, %27 POLİESTER 
",COMPLETE,,,,1,280022
5700,2025-12-02 11:09:56,2025-12-02 11:09:49,b7852a64-6831-4ec0-b515-cf233571cd35,www.koton.com,https://www.koton.com/triko-cizgili-eldiven-lacivert-4044413/,"Triko Çizgili Eldiven 
",https://ktnimg2.mncdn.com/products/2025/11/20/3157765/21fb3eb1-e57c-4fbc-ad94-424ba954d7d7.jpg,"[""https://ktnimg2.mncdn.com/products/2025/11/20/3157765/df34557b-b068-4770-a4a9-5a226bab0426.jpg"",""https://ktnimg2.mncdn.com/products/2025/11/20/3157765/0b6b7798-6e72-48ad-b453-b306e9ee925c.jpg""]",,149.99,149.99,sku_price,TRY,,1,"[{""catId"":604552,""catPath"":""Clothing and accessories => Gloves"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=604552""}]","{""keywords_english"":{""3"":""Cold Weather Gloves"",""2"":""Children's Gloves"",""1"":""Knit Striped Gloves""},""keywords"":{""3"":""Soğuk Hava Eldiven"",""2"":""Çocuk Eldiven"",""1"":""Triko Çizgili Eldiven""}}",304,"Triko eldiven, sıcak tutan yapısı ve çizgili deseniyle soğuk havalarda sıcak bir seçim sunuyor. Esnek ve dayanıklı yapısıyla elleri rahat ettiriyor. Çocukların günlük aktivitelerinde kullanabileceği pratik ve kullanışlı bir aksesuar olarak öne çıkıyor. 
 Ürün Özellikleri 
 Stil: Çizgili
Kullanım Alanı: Günlük Giyim, Soğuk Hava 
 Koton erkek çocuk koleksiyonu, rahatlığı ve kaliteyi bir araya getiriyor! Sevimli tasarımlar, miniklerin enerjisine eşlik ediyor! 
 Hopi, Tosla, GarantiPay ve benzeri birçok alternatif ödeme yöntemi ile ödeyebilirsiniz. 
",COMPLETE,,,,1,279489
