supplier_id,url,title,cate_info_ai,keyword_ai,description,status,reason
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.legrom.de/en/spare-parts-for-textile-machinery/spindle-brakes/,"Twin-shoe brake system with centred clamping of the spindle 
","[{""catId"":611029,""catPath"":""Machine parts => Drive Systems => Brakes => Brakes (Other)"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=611029""}]","{""keywords_english"":{""3"":""Legrom spindle brake"",""2"":""centred clamping spindle"",""1"":""twin-shoe brake system""},""keywords"":{""3"":""Legrom spindle brake"",""2"":""centred clamping spindle"",""1"":""twin-shoe brake system""}}","The twin-shoe brake system with centred clamping of the spindle protects the material. Generously dimensioned brake shoes enable the achievement of short braking times and a long service life. As with most of our spindle brakes, our new easyclick knee brake also permits easy and speedy changing of brake shoes through click and snap connections. 
 Longlife, the spindle brake from Legrom – the specialist for spindle brakes 
 Over 10 years functional life according to the Legrom test method 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.legrom.de/en/legrom-vario-system-en/outlineflex/,"OUTLINEFLEX – the grinding nozzle adapted to the contour 
","[{""catId"":602373,""catPath"":""Valve technology => Nozzles"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=602373""}]","{""keywords_english"":{""1"":""OUTLINEFLEX grinding nozzle"",""2"":""adaptable contour nozzle"",""3"":""LEGROM patented innovation""},""keywords"":{""1"":""OUTLINEFLEX grinding nozzle"",""2"":""adaptable contour nozzle"",""3"":""LEGROM patented innovation""}}","The OUTLINEFLEX grinding nozzle is a patented global innovation by LEGROM. It solves the problem of finding a suitable grinding nozzle profile for various applications. The nozzle is designed to be adaptable to the contour of the grinding tool, ensuring optimal cooling lubricant supply and improved heat dissipation. Features include higher grinding quality, enhanced cutting performance, and easy machine adaptation. The nozzle is available as a blank or custom-shaped according to CAD data, offering benefits such as higher productivity, lower heat development, and longer grinding wheel service life. Additionally, it helps in configuring machines for energy efficiency. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.legrom.de/ersatzteile-textilmaschinen/open-end/,"Ersatzteile für die Schlafhorst Spinnboxen SE7 bis SE12 
","[{""catId"":600566,""catPath"":""Textile machinery => Textile Machine Accessories"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=600566""}]","{""keywords_english"":{""1"":""Spare parts Schlafhorst Spinnboxes"",""2"":""Clutch worm wheels high strength"",""3"":""Scrapers for spinning trolley wear-resistant""},""keywords"":{""1"":""Ersatzteile Schlafhorst Spinnboxen"",""2"":""Kupplungsschneckenräder hohe Festigkeit"",""3"":""Schaber Anspinnwagen verschleißfest""}}","LEGROM liefert Ersatzteile für die Schlafhorst Spinnboxen SE7 bis SE12 für den Anspinnwagen und Spulapparat. 
 Unsere Kupplungsschneckenräder werden aus einem High-Tech Werkstoff mit hoher Festigkeit und exzellenter Schmierstoffwirkung hergestellt. Dadurch erreichen wir eine verlängerte Lebensdauer und eine höhere Prozess-Sicherheit. 
 Bei unseren Reflektoren werden durch hochpräzise Fertigungsverfahren höchste Reflektionswerte garantiert. 
 Unsere Schaber für den Anspinnwagen bieten wir auch in verschleißfester Qualität mit verlängerter Lebensdauer. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.legrom.de/en/spare-parts-for-textile-machinery/vortex/,"New from LEGROM: components for vortex spinning machines 
","[{""catId"":600566,""catPath"":""Textile machinery => Textile Machine Accessories"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=600566""}]","{""keywords_english"":{""1"":""vortex spinning machines components"",""2"":""spindle holders"",""3"":""synchronous belt pulleys""},""keywords"":{""1"":""vortex spinning machines components"",""2"":""spindle holders"",""3"":""synchronous belt pulleys""}}","New from LEGROM: components for vortex spinning machines. We are continually expanding and optimising our range, so that you will enjoy an even greater range of options in future. 
 We can provide you with spindle holders and synchronous belt pulleys made of a high-tech material with a high level of strength, reduced weight, energy saving and improved running characteristics. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.legrom.de/produktion/montage-produktveredelung/,"Nicht genannt 
","[{""catId"":609107,""catPath"":""Plastics and plastic products => Plastic Parts => Finished Plastic Parts"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=609107""}]","{""keywords_english"":{""3"":""Ultrasonic welding"",""2"":""Laser marking"",""1"":""Plastic parts processing""},""keywords"":{""3"":""Ultraschallschweißen"",""2"":""Lasermarkierung"",""1"":""Kunststoffteile Weiterverarbeitung""}}","Eine weitere Besonderheit von LEGROM ist die Weiterverarbeitung von Kunststoffteilen. Hier bieten wir durch die gezielte Einbindung spezieller Sublieferanten hochpräzise, aber dennoch sehr wirtschaftliche Beschriftungs-, Schweiß- und Fügeverfahren an. Dabei wird die Veredelung der Kunststoffteile entweder in den Spritzprozess integriert oder als separater Prozess in die Baugruppenmontage in die Logistik eingebunden. 
 Unsere Techniken im Einzelnen: 
 
 Lasermarkierung 
 Bedrucken (Tampondruck, Siebdruck) 
 Heißprägen 
 Lackieren 
 Ultraschallschweißen 
 Montage kompletter Baugruppen 
 Integration von Fremdleistungen 
 Entwicklung von Prüfvorrichtungen mit elektronischen Komponenten 
 
 Die ständige Innovation und der technische Fortschritt bei LEGROM machen das Zusammenfügen einzelner Kunststoffkomponenten oder die Montage komplexer Baugruppen zur Selbstverständlichkeit. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.legrom.de/legrom-vario-system/outlineflex/,"OUTLINEFLEX – die konturangepasste Schleifdüse 
","[{""catId"":602373,""catPath"":""Valve technology => Nozzles"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=602373""}]","{""keywords_english"":{""1"":""contour-adjusted grinding nozzle"",""2"":""coolant system"",""3"":""grinding tool profile""},""keywords"":{""1"":""konturangepasste Schleifdüse"",""2"":""Kühlschmierstoff-System"",""3"":""Schleifwerkzeugprofil""}}","Die konturangepasste Schleifdüse OUTLINEFLEX sorgt mit ihren durchdachten Parametern für eine Optimierung des Kühlschmierstoff-Systems. Mit der an das Schleifwerkzeugprofil angepassten Düsenform und einem entsprechend der Durchflussmenge dimensionierten Öffnungsquerschnitt ergibt sich eine konturnahe gleichmäßige Kühlschmiermittelzufuhr. Gleichzeitig wird die Wärmeabfuhr wesentlich verbessert. Weitere Anwendervorteile sind die höhere Schleifqualität und eine erhebliche Steigerung der Zerspanleistung. Zudem lässt sich der bedienerfreundlich konstruierte Düsenrohling einfach und schnell an die Maschine adaptieren‚ ohne die Schleifscheibenoberfläche zu beschädigen. In Kombination mit dem variablen Segmentschlauchsystem VARIO von Legrom oder anderen Systemen wird OUTLINEFLEX fast jeder Anwendung gerecht. 
 OUTLINEFLEX ermöglicht einen exakt einstellbaren Spalt zwischen Schleifscheibe und Düsenrohling. So können die Strömungsverhältnisse im Schleifspalt, der Kontaktvolumenstrom und der Druck im Schleifspalt direkt beeinflusst werden. Hohe Kühlschmierstoff-Volumenströme ohne positiven Einfluss auf die Kühlwirkung in der Kontaktzone lassen sich detektieren und eliminieren. Mit der konturangepassten Düse, die sehr dicht an der Schleifscheibe anliegt, kann das die Schleifscheibe umgebende Luftpolster fast komplett abgelenkt und dadurch die benötigte Menge an Kühlschmierstoff deutlich reduziert werden, da keine Verwirbelung entsteht. Da ausnahmslos reiner Kühlschmierstoff in die Kontaktfläche eingebracht wird, erhöht sich dabei noch zusätzlich die Schleifprozessqualität. 
 Die Reduzierung des Kühlmittel-Volumenstroms kann zudem dazu genutzt werden, dass Maschinen mit geringerer Motor-/Pumpenleistung und somit energiesparender ausgestattet werden können. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.legrom.de/products/it/k-72124-stampaggio-per-iniezione-termoplastica,"Schraubenschlüssel 1/2"" 12-punkte 
","[{""catId"":614836,""catPath"":""Tools and production supplies => Screwing Tools => Wrenches"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=614836""}]","{""keywords_english"":{""3"":""12-point"",""2"":""1/2\"""",""1"":""Wrench""},""keywords"":{""3"":""12-punkte"",""2"":""1/2\"""",""1"":""Schraubenschlüssel""}}","Produktbeschreibung 
 Für 4 Personen geeignet, eine gute Anschaffung. 
 Dieses Produkt wurde unter strengeren Qualitätssicherungskriterien entwickelt. 
 Bestell-100% Zufrieden! 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.legrom.de/products/pt,"Sistema de Mangueira de Segmento LEGROM 
","[{""catId"":613186,""catPath"":""Pipe and hose technology => Hoses => Plastic Hoses => Plastic Hoses (Other)"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=613186""}]","{""keywords_english"":{""1"":""Segment Hose System"",""2"":""Technical Injection Parts"",""3"":""Plastic Cages for Bearings""},""keywords"":{""1"":""Sistema de Mangueira de Segmento"",""2"":""Peças Técnicas de Injeção"",""3"":""Gaiolas Plásticas para Rolamentos""}}","A LEGROM é uma empresa internacional, fundada no final da década de 40. Com muitos anos de experiência na produção de ferramentas de injecção de precisão e peças técnicas de plástico, fornecemos os nossos produtos com o maior respeito pelos prazos de entrega a nível mundial para as mais diversas áreas, com destaque para: Peças de substituição para máquinas têxteis Desenvolvimento e produção de peças técnicas de injecção, com destaque para a engenharia mecânica Gaiolas plásticas para a indústria de rolamentos de roletes feitas de plásticos técnicos e resistentes a altas temperaturas. LEGROM VARIO sistema de mangueira de segmentoO nosso sucesso resulta do desempenho, eficiência e know-how dos nossos colaboradores, que se caracterizam por um fascínio pelo detalhe, precisão e qualidade. Juntos encontramos uma solução em todas as áreas técnicas.a nossa capacidade de realizar tarefas complexas de uma forma específica para o cliente, inovadora e orientada para os custos faz de nós o seu parceiro competente.mais de 70 anos de experiência falam por nós! 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.legrom.de/en/spare-parts-for-textile-machinery/open-end/,"Spare Parts for Schlafhorst SE7 to SE12 Spin Boxes 
","[{""catId"":611081,""catPath"":""Machine parts => Gears => Worm Gears"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=611081""}]","{""keywords_english"":{""1"":""Spare parts Schlafhorst SE7-SE12"",""2"":""Worm gear wheel"",""3"":""Wear-resistant scrapers""},""keywords"":{""1"":""Ersatzteile Schlafhorst SE7-SE12"",""2"":""Wurmrad Zahnrad"",""3"":""Verschleißfeste Abstreifschaber""}}","LEGROM provides spare parts for Schlafhorst SE7 to SE12 spin boxes for the piecing carriage and winding head. 
 Our worm gear wheels are manufactured from high-tech material with excellent strength and lubricating properties. This means they enjoy a long service life and achieve a high degree of process reliability. 
 High-precision production processes guarantee the highest reflective values for our reflectors. 
 We also provide our scrapers for the piecing carriage in wear-resistant quality with an extended service life. 
 Our exceptionally high-quality dirt conveying belts are also made in Germany and available in 40mm, 59mm and 115mm widths for SE-7/8, SE-9/10, SE-11/12 - We have a comprehensive range for the spin box: worm gear wheels, flange bearings, rotor cases, fiber channels, oil containers, oil wicks, cover plates, channel plates, reflectors, condensers, rotor brakes, locking rollers… - Our range for the winding head: large drive sleeve, small drive sleeve, Optidrive drive sleeve, toothed wheel, take-up rollers, cots, adapters with accessories… - We can provide the following specially for the piecing carriage: scrapers, coupling cones, butterfly valves, drive pulleys for drive rollers, motors… 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.legrom.de/products/fa,"قالب تزریقی پلاستیکی 
","[{""catId"":615233,""catPath"":""Tools and production supplies => Foundry Supplies => Moulds for Foundries => Injection Moulds"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=615233""}]","{""keywords_english"":{""1"":""plastic injection mold"",""2"":""textile machinery spare parts"",""3"":""mechanical engineering plastic cages""},""keywords"":{""1"":""قالب تزریقی پلاستیکی"",""2"":""لوازم یدکی ماشین آلات نساجی"",""3"":""قفس های پلاستیکی مهندسی مکانیک""}}","LEGROM یک شرکت بین المللی فعال است که در اواخر دهه 1940 تاسیس شد. با تجربه طولانی در تولید ابزارهای قالب گیری تزریقی دقیق و قطعات پلاستیکی فنی ، ما با تمرکز بر توسعه قطعات یدکی ماشین آلات نساجی و تولید قطعات قالب تزریق فنی ، با تمرکز بر روی قفس های پلاستیکی مهندسی مکانیک برای صنعت بلبرینگ غلتکی ساخته شده از پلاستیک های فنی و مقاوم در برابر درجه حرارت بالا ، محصولات با بالاترین زمان تحویل را در وسیع ترین زمینه های جهان ارائه می دهیم.. سیستم شلنگ بخش LEGROM VARIO موفقیت ما نتیجه عملکرد ، کارآیی و تخصص کارمندان ما است که مجذوب جزئیات ، دقت و کیفیت هستند. ما با هم راه حل هایی را در همه زمینه های فنی پیدا می کنیم. توانایی ما در انجام کارهای پیچیده به شیوه ای مشتری مدار ، نوآورانه و هزینه محور ، ما را به شریک شایسته شما تبدیل می کند. بیش از 70 سال تجربه نماینده ما است! 
",COMPLETE,
