supplier_id,url,title,cate_info_ai,keyword_ai,description,status,reason
45d2ccb1-3f54-4539-b276-a8a34878d623,https://motoreducteurfrance.com/produit/moteurs-asynchrones-triphases/,"Moteurs triphasés série T 
","[{""catId"":602133,""catPath"":""Drive technology => Motors => Electric Motors => Three-phase Motors"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=602133""}]","{""keywords_english"":{""3"":""high energy performance"",""2"":""aluminum structure"",""1"":""Three-phase series T motors""},""keywords"":{""3"":""performances énergétiques élevées"",""2"":""structure aluminium"",""1"":""Moteurs triphasés série T""}}","Polyvalents, fiables et robustes, les moteurs triphasés de la série T sont conçus pour répondre aux exigences des applications industrielles les plus courantes. Grâce à leur structure en aluminium, ces moteurs offrent une excellente dissipation thermique tout en conservant une légèreté avantageuse pour l’intégration et la maintenance. 
 Disponibles en versions à 2, 4, 6 ou 8 pôles, ils s’adaptent facilement aux différentes plages de vitesses requises, tout en garantissant une excellente performance énergétique. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://motoreducteurfrance.com/produit/reducteur-en-acier-inoxydable/,"Réducteur en acier inoxydable – Série SMN 
","[{""catId"":602171,""catPath"":""Drive technology => Gearboxes => Worm Gears"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=602171""}]","{""keywords_english"":{""3"":""SMN series"",""2"":""Worm gear reducer"",""1"":""Stainless steel reducer""},""keywords"":{""3"":""Série SMN"",""2"":""Réducteur à vis sans fin"",""1"":""Réducteur en acier inoxydable""}}","🧼 Réducteur à vis sans fin inox – Série SMN 
 Conçu pour répondre aux exigences les plus strictes en matière d’hygiène, le réducteur à vis sans fin SMN en acier inoxydable est idéal pour les environnements sensibles tels que l’agroalimentaire, la pharmaceutique ou les zones soumises à des lavages fréquents. 
 Sa conception robuste, compacte et sans aspérités minimise les zones de rétention, empêchant l’accumulation de saletés et facilitant le nettoyage, même à haute pression. 
 ⚙️ Caractéristiques techniques : 
 
 Corps monobloc en acier inoxydable AISI 316L : haute résistance à la corrosion et aux produits chimiques 
 Technologie à vis sans fin : transmission silencieuse et compacte 
 Étanchéité renforcée (IP66/IP69K) : parfaitement adapté aux nettoyages intensifs (jet haute pression) 
 Sans peinture ni revêtement : aucune particule ne peut s’écailler ou contaminer 
 Montage universel : plusieurs options de bride, arbre plein ou creux, pieds intégrés 
 Lubrification de qualité alimentaire disponible (NSF-H1) 
 
 ✅ Avantages principaux : 
 
 🅰️ Hygiène optimale : idéal pour les normes HACCP et IFS 
 🅰️ Haute résistance à l’eau, aux acides et aux solutions alcalines 
 🅰️ Design hygiénique sans recoins ni arêtes vives 
 🅰️ Durée de vie étendue, même dans des conditions extrêmes 
 🅰️ Compatible avec des moteurs inox ou des motoréducteurs pour environnement propre 
 
 🧪 Applications typiques : 
 
 Industries agroalimentaires 
 Installations pharmaceutiques 
 Équipements de transformation de produits laitiers, viandes ou légumes 
 Machines de conditionnement sous atmosphère contrôlée 
 Zones à atmosphère corrosive (salines, chimiques) 
 
 💬 En résumé : Le réducteur SMN en inox combine propreté, robustesse et fiabilité, tout en répondant aux exigences d’hygiène les plus élevées. Il constitue un choix stratégique pour tous les environnements où la propreté n’est pas une option mais une obligation. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://motoreducteurfrance.com/produit/reducteur-a-vis-sans-fin-en-acier-inoxydable/,"Réducteur à vis sans fin en acier inoxydable – Série KS210 
","[{""catId"":602171,""catPath"":""Drive technology => Gearboxes => Worm Gears"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=602171""}]","{""keywords_english"":{""1"":""Stainless steel reducer"",""2"":""KS210 series"",""3"":""IP69K protection rating""},""keywords"":{""1"":""Réducteur en acier inoxydable"",""2"":""Série KS210"",""3"":""Indice de protection IP69K""}}","🧼 Réducteur à vis sans fin en acier inoxydable – Série KS210 
 Le KS210 est un réducteur à vis sans fin en acier inoxydable spécialement conçu pour les applications nécessitant une hygiène maximale et une résistance accrue à la corrosion. Sa conception entièrement fermée, compacte et dépourvue d’angles morts, en fait une solution idéale pour les environnements soumis à des lavages fréquents ou à des contraintes chimiques sévères. 
 ⚙️ Caractéristiques techniques :
[LIST] - Boîtier monobloc en acier inoxydable AISI 316L, usiné avec précision - Indice de protection IP69K : résistant aux lavages à haute pression et à la vapeur - Roulements protégés par joints hautes performances - Lubrification certifiée alimentaire NSF-H1 disponible - Arbre de sortie plein ou creux – versions personnalisables sur demande - Rapports de réduction disponibles : large plage selon les besoins applicatifs - Montage polyvalent : pieds, brides ou bras de réaction [END LIST]
✅ Points forts du KS210 :
[LIST] - ✅ Haute résistance à la corrosion : parfait pour milieux acides, salins ou alcalins - ✅ Design hygiénique : aucune rétention d’eau, nettoyage rapide - ✅ Aucune peinture ni revêtement : 100 % inox, pas d’écaillage ni de contamination - ✅ Durée de vie prolongée, même en conditions extrêmes - ✅ Entretien minimal : compatible avec un fonctionnement continu [END LIST] 
 🏭 Applications typiques :
[LIST] - Machines de transformation alimentaire (viande, lait, fruits, légumes) - Équipements en industrie pharmaceutique ou cosmétique - Convoyeurs en zone humide ou stérile - Installations CIP/SIP (Clean-in-Place / Sterilize-in-Place) - Environnements marins ou industriels corrosifs [END LIST]
💬 En résumé : Le réducteur KS210 est la solution idéale pour les professionnels qui recherchent une transmission robuste, propre et durable, parfaitement adaptée aux environnements sanitaires et corrosifs. Grâce à son design hygiénique en inox, il offre une sécurité maximale pour les processus sensibles. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://motoreducteurfrance.com/produit/moteurs-a-courant-continu/,"Moteurs à courant continu à aimants permanents – Basse tension 
","[{""catId"":602131,""catPath"":""Drive technology => Motors => Electric Motors => DC Motors"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=602131""}]","{""keywords_english"":{""1"":""DC motor"",""2"":""low voltage"",""3"":""permanent magnets""},""keywords"":{""1"":""moteur à courant continu"",""2"":""basse tension"",""3"":""aimants permanents""}}","Les moteurs à courant continu basse tension à aimants permanents sont conçus pour offrir une excellente compacité, une réponse rapide au démarrage et une fiabilité éprouvée, même dans des conditions d’utilisation sévères. Grâce à leur construction robuste et leur conception sans balais excitables, ils conviennent parfaitement aux applications nécessitant un contrôle simple, une alimentation basse tension et une grande robustesse. 
 ⚙️ Caractéristiques techniques :
[LIST] - Tensions disponibles : 12 V, 24 V, 36 V, 48 V DC - Plages de puissance : de quelques dizaines de watts à plusieurs centaines de watts - Aimants permanents haute qualité : couple élevé dès le démarrage - Structure compacte et légère - Montage possible avec ou sans réducteur - Ventilation naturelle ou forcée selon configuration [END LIST]
✅ Avantages des moteurs CC basse tension :
[LIST] - ✅ Couple élevé à bas régime, idéal pour les démarrages fréquents - ✅ Réponse rapide et fonctionnement stable - ✅ Faible consommation en veille - ✅ Commandes simples via régulateurs PWM ou hacheurs DC - ✅ Pas de champs d’excitation à générer → plus d’efficacité, moins de chaleur - ✅ Adaptés à des environnements embarqués ou isolés [END LIST] 
 🏭 Applications typiques :
[LIST] - Systèmes mobiles alimentés par batteries (robots, AGV, véhicules utilitaires) - Machines agricoles ou industrielles autonomes - Automatismes de portes, portails, barrières - Installations en zone ATEX avec alimentation sécurisée - Petits convoyeurs, pompes, ventilateurs DC [END LIST]
💬 En résumé : Les moteurs à courant continu basse tension à aimants permanents sont une solution fiable, compacte et économique pour toutes les installations nécessitant souplesse de contrôle, puissance immédiate et fonctionnement sur batterie ou en milieu sécurisé. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://motoreducteurfrance.com/produit/moteurs-avec-onduleur-integre/,"Moteurs avec onduleur intégré – Série Neridrive 
","[{""catId"":602132,""catPath"":""Drive technology => Motors => Electric Motors => AC Motors"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=602132""}]","{""keywords_english"":{""1"":""three-phase asynchronous motor"",""2"":""integrated inverter"",""3"":""sensorless vector control""},""keywords"":{""1"":""moteur asynchrone triphasé"",""2"":""onduleur intégré"",""3"":""contrôle vectoriel sans capteur""}}","Les moteurs électriques Neridrive sont une solution tout-en-un qui intègre un variateur de fréquence (onduleur) directement monté sur le moteur. Cette conception innovante permet une gestion optimisée de la vitesse et du couple sans avoir recours à une armoire de commande externe. 
 Grâce à leur compacité, leur facilité d’installation et leur connectivité avancée, les moteurs Neridrive sont parfaitement adaptés aux besoins de l’automatisation moderne, des chaînes de production flexibles et de l’Industrie 4.0. 
 🔧 Caractéristiques principales : 
 
 Moteur asynchrone triphasé avec onduleur intégré 
 Installation simplifiée : aucun câblage complexe entre variateur et moteur 
 Réglage de la vitesse, du démarrage et du freinage via le clavier intégré ou une interface externe 
 Protection thermique et électrique intégrée 
 Conforme aux normes CEI, CE, RoHS 
 
 🧠 Fonctions intelligentes : 
 
 Contrôle vectoriel sans capteur (Sensorless Vector Control) pour une régulation de couple précise 
 Mode de fonctionnement avec frein moteur, rampes d’accélération/décélération personnalisables 
 Entrées/sorties configurables pour une intégration simple dans des automates ou systèmes de commande 
 
 🧩 Applications typiques : 
 
 Convoyeurs à vitesse variable 
 Pompes et ventilateurs 
 Machines d’emballage ou d’assemblage 
 Applications décentralisées ou à espace réduit 
 Modernisation de machines existantes sans armoire électrique 
 
 ✅ Les avantages Neridrive : 
 
 Gain de place : tout est intégré sur le moteur 
 Réduction des coûts d’installation et de câblage 
 Flexibilité maximale dans les installations modulaires 
 Maintenance simplifiée grâce à une conception robuste et accessible 
 
 💬 En résumé : Les moteurs Neridrive représentent une solution moderne, fiable et performante pour toutes les installations nécessitant un contrôle précis de la vitesse et une simplification de l’architecture électrique. Idéal pour l’automatisation intelligente, ils combinent performance énergétique, simplicité de mise en œuvre et robustesse industrielle. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://motoreducteurfrance.com/produit/moteurs-brushless/,"Moteurs Brushless – Série BR 
","[{""catId"":602142,""catPath"":""Drive technology => Motors => Electric Motors => Brushless Motors"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=602142""}]","{""keywords_english"":{""3"":""High Efficiency Industrial Motors"",""2"":""BR Series"",""1"":""Brushless Motors""},""keywords"":{""3"":""Moteurs Industriels Haute Efficacité"",""2"":""Série BR"",""1"":""Moteurs Brushless""}}","Les moteurs brushless de la série BR sont conçus pour offrir une précision maximale, un fonctionnement silencieux et une haute efficacité énergétique. Grâce à l’absence de balais, ces moteurs garantissent une longévité accrue et un besoin de maintenance réduit, ce qui les rend idéaux pour les applications industrielles exigeant fiabilité, contrôle précis de la vitesse et couple constant. 
 Ils sont parfaitement adaptés aux systèmes d’automatisation, aux machines-outils, aux équipements médicaux ou d’emballage, ainsi qu’à toute application nécessitant des cycles rapides et répétés sans perte de performance. 
 ⚙️ Caractéristiques principales :
[LIST] - Technologie brushless (sans balais) pour une durée de vie supérieure - Haute densité de puissance dans un format compact - Très faible inertie pour une réactivité optimale - Fonctionnement silencieux, sans étincelles ni frottements - Contrôle précis de la vitesse et du couple, même à bas régime - Refroidissement naturel ou par ventilation forcée selon modèle [END LIST]
🔧 Options et personnalisations :
[LIST] - Capteur encoder incrémental ou absolu - Possibilité de frein de sécurité intégré - Arbre avec clavette, lisse ou personnalisable - Boîtier en aluminium ou acier, selon contraintes d’environnement - Intégration possible avec des variateurs ou servocontrôleurs dédiés [END LIST] 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://motoreducteurfrance.com/produit/motoreducteur-a-vis-sans-fin/,"Motoreducteur à vis sans-fin 
","[{""catId"":602114,""catPath"":""Drive technology => Motors => Gear Motors => Worm Gear Motors"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=602114""}]","{""keywords_english"":{""3"":""Hollow output shaft"",""2"":""Bronze wheel"",""1"":""Worm gear motor""},""keywords"":{""3"":""Arbre de sortie creux"",""2"":""Roue en bronze"",""1"":""Motoreducteur à vis sans-fin""}}","Nos motoréducteurs à roue et vis sont composés de trois éléments principaux : un carter robuste, une vis sans fin de haute précision, et une roue en bronze de qualité supérieure. 
 Les carters, réalisés en aluminium injecté, offrent un excellent compromis entre légèreté et solidité, permettant une utilisation optimale même pour des applications exigeantes. La vis sans fin est conçue en acier cémenté et trempé avec des flancs de denture rectifiés, tandis que la roue est fabriquée en bronze centrifugé coulé sur un moyeu en acier, assurant fiabilité et rendement optimal.L’usinage précis et le choix des matériaux permettent d’obtenir un fonctionnement silencieux et des performances élevées. 
 L’arbre de sortie creux s’adapte facilement à différents types de montages, et un arbre plein optionnel est également disponible.Tous les modèles bénéficient de joints d’étanchéité de qualité, de roulements premium et d’une finition aluminium moderne. 
 Montage du motoréducteur 
 Pour garantir une installation et un fonctionnement irréprochables, il est conseillé de fixer le motoréducteur sur une surface plane, afin de limiter toute vibration ou contrainte mécanique.En cas d’applications soumises à des démarrages fréquents ou à des charges irrégulières, l’ajout d’accouplements élastiques, d’embrayages ou de limiteurs de couple est recommandé.Si une mise en peinture est prévue, veillez à bien protéger les joints pour préserver leur étanchéité.La réalisation des pièces d’accouplement doit respecter les tolérances ISO recommandées. 
 Fonction irréversible 
 La conception à vis sans fin rend ce type de motoréducteur naturellement non réversible dans la plupart des conditions, c’est-à-dire qu’il ne peut pas être entraîné via son arbre de sortie.Toutefois, des facteurs externes tels que vibrations ou variations de charge peuvent affecter cette caractéristique. Pour garantir une irréversibilité totale, il est préférable d’ajouter un système de freinage externe adapté.En général, on considère qu’une irréversibilité est atteinte lorsque le rendement du réducteur est inférieur à 0,55 (voir documentation technique). 
 Lubrification et entretien 
 Nos motoréducteurs sont lubrifiés en usine avec des huiles de haute qualité, enrichies d’additifs anti-usure et antioxydants, assurant une protection durable des composants internes.Cette lubrification permanente dispense de tout entretien régulier : il n’est donc pas nécessaire de réaliser de vidange ou de contrôle particulier pendant l’utilisation normale du produit. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://motoreducteurfrance.com/produit/servomoteurs-a-courant-continu/,"Servomoteurs à courant continu à aimants permanents 
","[{""catId"":602129,""catPath"":""Drive technology => Motors => Electric Motors => Servo Motors"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=602129""}]","{""keywords_english"":{""1"":""DC servomotors"",""2"":""permanent magnets"",""3"":""precise speed control""},""keywords"":{""1"":""servomoteurs à courant continu"",""2"":""aimants permanents"",""3"":""contrôle de vitesse précis""}}","Les servomoteurs à courant continu à aimants permanents de Drive Systems sont spécialement conçus pour les applications de positionnement, de contrôle de vitesse précis et de régulation dynamique. Leur technologie combine la réactivité du courant continu avec la précision d’un système de retour, pour une gestion fine du mouvement dans des environnements industriels ou robotiques. 
 ⚙️ Caractéristiques techniques :
[LIST] - Alimentation en courant continu (DC) : typiquement 12 V, 24 V, 48 V - Aimants permanents de haute qualité : couple constant et réponse rapide - Retour de position intégré (tacho, codeur ou capteurs Hall selon modèle) - Excellente linéarité du couple par rapport au courant - Faible inertie : très bonne accélération/décélération - Construction robuste, disponible avec ou sans ventilation forcée - Compatibilité avec réducteurs planétaires ou à vis sans fin [END LIST]
✅ Avantages clés :
[LIST] - ✅ Contrôle précis de la vitesse et de la position - ✅ Temps de réponse rapide, idéal pour les cycles courts et répétés - ✅ Faible ondulation de couple → mouvements réguliers - ✅ Couple élevé dès le démarrage - ✅ Idéal pour les systèmes servo ouverts ou fermés (boucle de rétroaction) - ✅ Longue durée de vie, peu de maintenance [END LIST] 
 🏭 Applications typiques :
[LIST] - Machines de conditionnement ou impression - Systèmes robotisés ou manipulateurs - Automatisation industrielle de précision - Portiques XY et axes linéaires motorisés - Distributeurs automatiques, testeurs, équipements médicaux [END LIST]
💬 En résumé : Ces servomoteurs DC sont une solution fiable, réactive et précise pour les tâches exigeant vitesse, positionnement et contrôle dynamique, avec la robustesse du courant continu et la souplesse d’intégration dans tout système d’automatisation. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://motoreducteurfrance.com/produit/kits-de-ventilation-forcee/,"Kits de ventilation forcée – Refroidissement actif des moteurs électriques 
","[{""catId"":608566,""catPath"":""Refrigeration, air conditioning, ventilation and heating technology => Ventilation Technology => Fans => Industrial Fans"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=608566""}]","{""keywords_english"":{""1"":""forced ventilation"",""2"":""motor cooling"",""3"":""frequency converter compatibility""},""keywords"":{""1"":""ventilation forcée"",""2"":""refroidissement moteur"",""3"":""compatibilité variateurs de fréquence""}}","🧩 À quoi sert une ventilation forcée ? 
 Lorsqu’un moteur est piloté par un variateur de fréquence, sa vitesse peut être fortement réduite. Mais à basse vitesse, le ventilateur intégré du moteur (auto-ventilation) tourne aussi plus lentement, ce qui réduit l’efficacité du refroidissement. C’est là qu’intervient la ventilation forcée. 
 Le kit de ventilation forcée est un ventilateur externe, motorisé indépendamment, qui maintient un flux d’air constant, même à vitesse zéro, garantissant ainsi la stabilité thermique du moteur. 
 ⚙️ Caractéristiques techniques : 
 
 Compatible avec les moteurs en carcasse aluminium (séries T et TH) - Tensions disponibles : 230 V monophasé ou 400 V triphasé - Indice de protection IP55 : adapté aux environnements industriels - Raccordement électrique simple, par boîtier intégré - Conception compacte, parfaitement adaptable sur moteur en place 
 
 ✅ Avantages principaux : 
 
 Refroidissement optimal à basse vitesse ou en arrêt prolongé 
 Protection du moteur contre la surchauffe 
 Indispensable pour les applications avec variation de vitesse 
 Amélioration de la durée de vie du moteur 
 Facilité d’installation sur moteur existant 
 
 🔧 Applications typiques : 
 
 Machines avec démarrages/arrêts fréquents - Convoyeurs, ascenseurs, machines textiles - Environnements avec variation de charge importante - Utilisation avec variateurs de fréquence ou onduleurs 
 
 💬 En résumé : Le kit de ventilation forcée est une solution simple et efficace pour garantir la fiabilité thermique des moteurs à vitesse variable. Il est fortement recommandé dans toute application où le refroidissement naturel est insuffisant. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://motoreducteurfrance.com/2024/02/02/alfavert-onduleur-integre/,"🔧 ALFAVERT : Le Moteur Innovant avec Onduleur Intégré 
","[{""catId"":602128,""catPath"":""Drive technology => Motors => Electric Motors => Electric Motors (Other)"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=602128""}]","{""keywords_english"":{""3"":""Electromagnetic Compatibility"",""2"":""Integrated Inverter"",""1"":""Innovative Motor""},""keywords"":{""3"":""Compatibilité Électromagnétique"",""2"":""Onduleur Intégré"",""1"":""Moteur Innovant""}}","Découvrez le nouveau moteur ALFAVERT, équipé d’une carte onduleur intégrée directement dans la boîte à bornes. Cette innovation technologique transforme les performances du moteur monophasé de façon simple, économique et efficace. 
 Pensé pour optimiser à la fois l’espace et l’efficacité énergétique, le moteur ALFAVERT se distingue par : 
 
 ✅ Un encombrement réduit 
 ✅ Un rendement élevé 
 ✅ Une réduction significative du bruit et des vibrations 
 ✅ Des filtres EMC intégrés pour une parfaite compatibilité électromagnétique 
 
 Grâce à sa carte onduleur, l’ALFAVERT permet de régler la vitesse, la fréquence, l’accélération, la décélération, le couple et le courant de sortie avec une grande précision. La configuration s’effectue via un firmware paramétrable, avec communication Modbus intégrée. 
 De nombreuses options sont disponibles, notamment : 
 
 🛠 Carte d’extension interne pour des applications spécifiques 
 🔧 4 interrupteurs DipSwitch permettant de sélectionner jusqu’à 16 modes de fonctionnement prédéfinis 
 🎛 Ajout d’un commutateur ou d’un potentiomètre, directement monté sur la boîte à bornes ou en version déportée 
 
",COMPLETE,
