supplier_id,url,title,cate_info_ai,keyword_ai,description,status,reason
45d2ccb1-3f54-4539-b276-a8a34878d623,https://netzsave.co.uk/product/special-light-lw-5-25/,"Special Light LW 5/25 
","[{""catId"":604985,""catPath"":""Lighting technology => Lights => Special Lights"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=604985""}]","{""keywords_english"":{""3"":""LW 5/25"",""2"":""Special Light"",""1"":""Light LW 5/25""},""keywords"":{""3"":""LW 5/25"",""2"":""Special Light"",""1"":""Light LW 5/25""}}","Special Light LW 5/25 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://netzsave.co.uk/custom-made-parts/,"Custom-made parts 
","[{""catId"":706603,""catPath"":""Metal and metal products => Custom Metal Fabrications => Custom Metal Fabrications (Other)"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=706603""}]","{""keywords_english"":{""3"":""cleaning elements"",""2"":""protective nets"",""1"":""custom-made parts""},""keywords"":{""3"":""Reinigungselemente"",""2"":""Schutznetze"",""1"":""Spezialanfertigungen""}}","Custom-made parts 
 Do you have a new idea, a special request or a special application? 
 As an expert in the field of protective nets and cleaning elements, we are in constant contact with our customers. For taper cleaners, we also work in close cooperation with leading tool manufacturers. 
 Special workpieces and processes require special solutions which we are prepared and qualified to implement. 
 In addition, products and processing techniques are changing increasingly faster and more frequently, requiring new developments in our fields of expertise. This is something we are very interested in and we implement new requirements with flexibility and comprehensive know-how. 
 Give us a call or get in touch by email. 
 Our experts are always there for you! 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://netzsave.co.uk/product/eco-mw-100/,"Eco – standard line MW 100 
","[{""catId"":602128,""catPath"":""Drive technology => Motors => Electric Motors => Electric Motors (Other)"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=602128""}]","{""keywords_english"":{""3"":""MW 100"",""2"":""standard line"",""1"":""Eco""},""keywords"":{""3"":""MW 100"",""2"":""standard line"",""1"":""Eco""}}","Eco – standard line MW 100 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://netzsave.co.uk/product/tkc-cleaner/,"TKC cleaner 
","[{""catId"":612915,""catPath"":""Cleaning and care products => Cleaning Products => Machine Cleaners"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=612915""}]","{""keywords_english"":{""1"":""TKC cleaner"",""2"":""cylindrical tool adapters"",""3"":""different diameters""},""keywords"":{""1"":""TKC cleaner"",""2"":""cylindrical tool adapters"",""3"":""different diameters""}}","TKC cleaner are cleaning cylindrical tool adapters and bores for different diameters. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://netzsave.co.uk/product/strong-slip-prevention-fwr-1180-r/,"Strong – heavy line slip prevention FWR 1180 R 
","[{""catId"":611146,""catPath"":""Machine parts => Friction Linings"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=611146""}]","{""keywords_english"":{""3"":""FWR 1180 R"",""2"":""heavy line slip prevention"",""1"":""strong""},""keywords"":{""3"":""FWR 1180 R"",""2"":""heavy line slip prevention"",""1"":""strong""}}","Strong – heavy line slip prevention FWR 1180 R 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://netzsave.co.uk/product/eco-mw-150/,"Eco – standard line MW 150 
","[{""catId"":602112,""catPath"":""Drive technology => Motors => Motors (Other)"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=602112""}]","{""keywords_english"":{""3"":""MW 150"",""2"":""standard line"",""1"":""Eco""},""keywords"":{""3"":""MW 150"",""2"":""standard line"",""1"":""Eco""}}","Eco – standard line MW 150 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://netzsave.co.uk/products/protective-nets/,"Protective net sleeves 
","[{""catId"":614403,""catPath"":""Packaging material => Packaging Products => Packaging Nets"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=614403""}]","{""keywords_english"":{""1"":""Polyethylene net sleeves"",""2"":""Surface protection"",""3"":""Elastic packaging""},""keywords"":{""1"":""Polyethylene net sleeves"",""2"":""Surface protection"",""3"":""Elastic packaging""}}","Our polyethylene net sleeves offer effective surface protection against any external influences such as scratches or dents. Due to the synthetic material, surface protection nets have a high degree of elasticity and adapt optimally to the shape of the product. The net packaging is therefore suitable for protecting a wide variety of surfaces, corners and edges. 
 Buy various versions of plastic net sleeves online 
 NETZSAVE offers you a wide range of net sleeve packaging, differing in material thickness, size and diameter. In addition, the protective net sleeves have different colours (orange, yellow, blue, red, green, black and white) which represent different expansion ranges (5 – 600 mm) and thicknesses and are also intended as a form of identification. 
 In order to be able to offer you a suitable packaging for every need, we have arranged different product classes. 
 Standard Line - Eco 
 norm protection 
 For light to medium weight products 
 • Aluminium elements • Light metal profiles • Brackets • Fittings • Wooden products 
 Strong Line - Thick 
 premium protection 
 For medium to heavy and sensitive products 
 • Solid material Stee • Metal profiles • Heavy brackets • Glassware • Ceramic 
 Highend Line - Extra 
 optimum protection 
 For heavy and highly sensitive products 
 • Drive shafts • Piston rods • Machine components • Containers • Wood • Freshly polished / painted products 
 Special Line - Light 
 special protection 
 For light products and furniture components 
 • Furniture feet • Furniture frames • Components that should not receive any external scratches or dents 
 For heavy furniture elements or complex geometries with sensitive edges we recommend the “Eco” product line of net sleeves. 
 Application sectors for packaging nets 
 Protective net sleeves are used in many industries, such as the automotive, furniture and foodstuff industries, paint shops, sanitary facilities and in machine construction. They ensure optimum protection during production, internal logistics and storage. The net sleeves are also used as transport and final packaging. 
 Benefits of protective net sleeves 
 In addition to space-saving storage, net sleeve packaging offers many other advantages over other packaging methods. 
 Elastic and flexible fit 
 The packaging nets are formed of rhombic polyethylene mesh, making the material highly elastic and adaptable. This means that the sleeves can be easily slipped over the product being protected and, after use removed without residue. 
 Simple application and easy handling 
 To use the packaging material, cut the desired length of netting from the net sleeve roll. To make sure you don’t cut it too short, you can place the protective net sleeve over the product to be protected and then cut the sleeve to length. This simple and safe procedure reduces the risk of injury to the user. 
 Robust materia 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://netzsave.co.uk/product/extra-hw-10/,"Extra – highend line HW 10 
","[{""catId"":608254,""catPath"":""Industrial supplies => Wheels"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=608254""}]","{""keywords_english"":{""3"":""HW 10"",""2"":""highend"",""1"":""Extra""},""keywords"":{""3"":""HW 10"",""2"":""highend"",""1"":""Extra""}}","Extra – highend line HW 10 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://netzsave.co.uk/products/cleaning-elements/,"ETZSAVE Polystyrene Rotary Wipers 
","[{""catId"":614947,""catPath"":""Tools and production supplies => Polishing Tools => Polishing Tools (Other)"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=614947""}]","{""keywords_english"":{""3"":""fleece cleaning strips"",""2"":""HSK tool holder cleaner"",""1"":""ETZSAVE Polystyrene rotary wipers""},""keywords"":{""3"":""fleece cleaning strips"",""2"":""HSK tool holder cleaner"",""1"":""ETZSAVE Polystyrene rotary wipers""}}","ETZSAVE Polystyrene rotary wipers help you to effectively remove dirt from tool holders. For example, dirt is always left behind in the HSK tool holder on machine spindles. Despite meticulous vacuum extraction, material residues remain in the air during the machining of wooden materials, which are pressed on and adhere during later tool changes. This causes your machines to lose precision and results in dimensional deviations, surface flaws and even spindle defects. Our cleaning elements also have fleece cleaning strips with wide spaces between them, which means that the dirt can be better collected. In addition, the fleece material does not leave any lint behind, unlike conventional cleaning rags. 
 To offer you a complete and professional cleaning system, in addition to the internal cleaners for spindles, we also have external cleaners. The external cleaners are suitable for tool holders and as corrosion protection for tool-equipped holders that have to be stored. In addition, our rotary and taper wipers are also suitable for cleaning tasks on the sleeves of machine tools, presetting devices and balancing stations. 
 We have three product lines of cleaning elements in our range. These differ in design, size and shape. 
 Taper wipers 
 Applications for taper wipers 
 
 Cleaning the female tapers on machine spindles, tool adapters and sleeves. - Cleaning the tool adapters on tool setting equipment 
 
 Applications for cylindrical wipers 
 
 Cleaning cylindrical tool adapters and bores 
 
 Applications for external wipers 
 
 Cleaning the flange face of HSK tool adapters 
 
 Advantages of the tool cleaners 
 Rotary wipers extend the life of high-quality production tools, machines and presetting devices and prevent damage to tool holders. Our cleaning elements also offer other advantages: 
 
 The polystyrene body is dimensionally stable and enables precise use in contrast to wooden cleaning elements 
 The body of the conical wiper is resistant to external environmental influences such as temperature or humidity fluctuations 
 The polygon grip is ergonomic and non-slip, making it easier to use with large wipers 
 No abrasive particles (lint ) and high absorbency due to fleece cleaning strips 
 Fleece strips in grooves are hard-wearing and resistant to strong lateral forces 
 Long life due to the possibility of cleaning the fleece (from grease and oil residues) without loosening the adhesive bond 
 
 Cleaning components directly from the manufacturer 
 We at NETZSAVE monitor new developments in tool holders in order to be able to offer you suitable cleaning systems. In addition, we are always available for you and will gladly answer your questions about our cleaning elements. We will be happy to advise you personally under +49 (0) 7121 90 97 10 or write us an email at: info@netzsave.de 
 Custom-made products 
 Due to our extensive stock of cleaning elements we can offer you fast and safe delivery. On request, we can work with you to create cleaning solutions individually tailored to your products. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://netzsave.co.uk/product/extra-hw-780-m/,"Extra – highend line HW 780 M Protective mats for transport 
","[{""catId"":612369,""catPath"":""Furniture and contract furnishing => Floor Mats => Floor Protectors"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=612369""}]","{""keywords_english"":{""1"":""Extra – highend line HW 780 M"",""2"":""Protective mats"",""3"":""Transport""},""keywords"":{""1"":""Extra – highend line HW 780 M"",""2"":""Protective mats"",""3"":""Transport""}}","Extra – highend line HW 780 M Protective mats for transport 
",COMPLETE,
