supplier_id,url,title,cate_info_ai,keyword_ai,description,status,reason
45d2ccb1-3f54-4539-b276-a8a34878d623,https://shop.novotec-online.com/index.php/gasdruckfedern-2/588531-gasdruckfeder,"588531 Hub 80 Länge 245 
","[{""catId"":603179,""catPath"":""Construction components => Shafts => Shafts (Other)"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=603179""}]","{""keywords_english"":{""3"":""245 Model"",""2"":""Length 80"",""1"":""Hub 588531""},""keywords"":{""3"":""245 Modell"",""2"":""Länge 80"",""1"":""Hub 588531""}}","Bitte beachten Sie unsere Einbau - und Entsorgungshinweise. Technische Änderungen vorbehalten. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://shop.novotec-online.com/index.php/edelstahl-gasdruckfedern/680403e,"680403E Hub 350 Länge 755 
","[{""catId"":608317,""catPath"":""Industrial supplies => Rods"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=608317""}]","{""keywords_english"":{""2"":""Force F1 50N"",""1"":""Hub 350 Length 755"",""3"":""680403E""},""keywords"":{""2"":""Kraft F1 50N"",""1"":""Hub 350 Länge 755"",""3"":""680403E""}}","*Kraft F1 (Abstufung 50N): 
 Bitte beachten Sie unsere Einbau - und Entsorgungshinweise. Technische Änderungen vorbehalten. 
 Vergessen Sie nicht Ihre Anschlüsse!Eine Auswahl finden Sie unter dem folgenden Link. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://shop.novotec-online.com/index.php/gasdruckfedern-2/588538-gasdruckfeder,"588538 Hub 220 Länge 525 
","[{""catId"":603179,""catPath"":""Construction components => Shafts => Shafts (Other)"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=603179""}]","{""keywords_english"":{""2"":""Length 525"",""1"":""Hub 220"",""3"":""Installation""},""keywords"":{""2"":""Länge 525"",""1"":""Hub 220"",""3"":""Einbau""}}","Bitte beachten Sie unsere Einbau - und Entsorgungshinweise. Technische Änderungen vorbehalten. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://shop.novotec-online.com/index.php/gasdruckfedern-2/588430-8-19,"588430 Hub 60 Länge 165 
","[{""catId"":603179,""catPath"":""Construction components => Shafts => Shafts (Other)"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=603179""}]","{""keywords_english"":{""3"":""N Connections"",""2"":""Tolerance Force F1"",""1"":""Hub 60 Length 165""},""keywords"":{""3"":""N Anschlüsse"",""2"":""Toleranz Kraft F1"",""1"":""Hub 60 Länge 165""}}","F1 Toleranz Kraft F1 (N) | 100 - 250 | 250 - 750 Toleranz (N) | +/- 20 | +/- 30 
 Bitte beachten Sie unsere Einbau - und Entsorgungshinweise. Technische Änderungen vorbehalten. 
 Vergessen Sie nicht Ihre Anschlüsse! Eine Auswahl finden Sie unter dem folgenden Link. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://shop.novotec-online.com/index.php/edelstahl-gasdruckfedern/680432e,"680432E Hub 100 Länge 245 
","[{""catId"":608219,""catPath"":""Industrial supplies => Housings => Housings (Other)"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=608219""}]","{""keywords_english"":{""2"":""100 Length 245"",""1"":""680432E Hub"",""3"":""technical changes""},""keywords"":{""2"":""100 Länge 245"",""1"":""680432E Hub"",""3"":""technische Änderungen""}}","H (mm): 100L (mm): 245 
 Bitte beachten Sie unsere Einbau - und Entsorgungshinweise. Technische Änderungen vorbehalten. 
 Vergessen Sie nicht Ihre Anschlüsse!Eine Auswahl finden Sie unter dem folgenden Link. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://shop.novotec-online.com/index.php/anschlussteile/edelstahl/92214e-stahl-2,"92214E 
","[{""catId"":611070,""catPath"":""Machine parts => Ball Joints"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=611070""}]","{""keywords_english"":{""2"":""steel ball pan"",""1"":""connection parts"",""3"":""safety clip""},""keywords"":{""2"":""Stahlkugelpfanne"",""1"":""Anschlussteile"",""3"":""Sicherungsclip""}}","Anschlussteile 
 
 Stahlkugelpfanne mit Sicherungsclip 
 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://shop.novotec-online.com/index.php/gasdruckfedern-2/540405-8-44,"540405 Hub 500 Länge 1055 
","[{""catId"":607592,""catPath"":""Hardware for information and communication technology => Networking Equipment => Network Hubs"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=607592""}]","{""keywords_english"":{""3"":""Installation instructions"",""2"":""Length 1055"",""1"":""Hub 500""},""keywords"":{""3"":""Einbauhinweise"",""2"":""Länge 1055"",""1"":""Hub 500""}}","Bitte beachten Sie unsere Einbau - und Entsorgungshinweise. Technische Änderungen vorbehalten. 
 Vergessen Sie nicht Ihre Anschlüsse!Eine Auswahl finden Sie unter dem folgenden Link. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://shop.novotec-online.com/index.php/anschlussteile/edelstahl/82024e-auge,"82024E 
","[{""catId"":605709,""catPath"":""Electrical engineering => Electrical Connectors => Electrical Connectors (Other)"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=605709""}]","{""keywords_english"":{""2"":""82024E"",""1"":""connection parts"",""3"":""spare parts""},""keywords"":{""2"":""82024E"",""1"":""Anschlussteile"",""3"":""Ersatzteile""}}","Anschlussteile 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://shop.novotec-online.com/index.php/gasdruckfedern-2/beidseitig-gewinde?start=20,"Hub 
","[{""catId"":603179,""catPath"":""Construction components => Shafts => Shafts (Other)"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=603179""}]","{""keywords_english"":{""3"":""Graduation 25N"",""2"":""Kraft F1"",""1"":""Hub""},""keywords"":{""3"":""Abstufung 25N"",""2"":""Kraft F1"",""1"":""Hub""}}","*Kraft F1 (Abstufung 25N): 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://shop.novotec-online.com/index.php/edelstahl-gasdruckfedern/680433e-2w,"680433E Hub 120 Länge 285 
","[{""catId"":607592,""catPath"":""Hardware for information and communication technology => Networking Equipment => Network Hubs"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=607592""}]","{""keywords_english"":{""3"":""285"",""2"":""120"",""1"":""Hub""},""keywords"":{""3"":""285"",""2"":""120"",""1"":""Hub""}}","Bitte beachten Sie unsere Einbau - und Entsorgungshinweise. Technische Änderungen vorbehalten. 
 Vergessen Sie nicht Ihre Anschlüsse!Eine Auswahl finden Sie unter dem folgenden Link. 
",COMPLETE,
