supplier_id,url,title,cate_info_ai,keyword_ai,description,status,reason
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.paulick-thierfelder.immo/immobilien/wohnung-kaufen/,"Moderne 2-Raum-Wohnung im Loft-Stil 
","[{""catId"":615513,""catPath"":""Construction => High-rise Construction => Room Modules"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=615513""}]","{""keywords_english"":{""3"":""Apartment"",""2"":""Loft style"",""1"":""Modern 2-room apartment""},""keywords"":{""3"":""Wohnung"",""2"":""Loft-Stil"",""1"":""Moderne 2-Raum-Wohnung""}}","Moderne 2-Raum-Wohnung im Loft-Stil 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.paulick-thierfelder.immo/vermietet-attraktive-bueroflaechen-im-handelshof-leipzig/,"VERMIETET: ATTRAKTIVE BÜROFLÄCHEN IM HANDELSHOF LEIPZIG 
","[{""catId"":616161,""catPath"":""Real estate services => Real Estate Rental => Office Rental"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=616161""}]","{""keywords_english"":{""3"":""Commercial property rental"",""2"":""Handelshof office unit"",""1"":""Office spaces Leipzig""},""keywords"":{""3"":""Gewerbeimmobilien Vermietung"",""2"":""Handelshof Büroeinheit"",""1"":""Büroflächen Leipzig""}}","Wir freuen uns, dass wir jüngst im Handelshof von Leipzig eine attraktive Büroeinheit an die FG Fröhlich & Gottas Hausverwaltung GmbH vermitteln konnten. Die Flächen mit ges. ca. 465 m² werden aktuell individuell und hochwertig ausgebaut und langfristig angemietet. 
 Sie verfügen derzeit über Vakanzen in Ihren Gewerbeimmobilien und suchen noch nach einem solventen langfristigen Mieter oder benötigen Unterstützung bei der Erstellung eines Nachnutzungskonzepts? Gern stehen wir, als exklusiver Kooperationspartner der Leipziger Volksbank eG, mit unserer Expertise und unserem Netzwerk für Sie zur Verfügung. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.paulick-thierfelder.immo/?p=12965,"Gewerbegrundstück direkt an der A14 
","[{""catId"":616159,""catPath"":""Real estate services => Real Estate Rental => Rental of Commercial Real Estate"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=616159""}]","{""keywords_english"":{""3"":""expansion area landscaping and gardening"",""2"":""undeveloped plot Leipzig Taucha"",""1"":""commercial property A14""},""keywords"":{""3"":""Erweiterungsfläche Landschafts- und Gartenbau"",""2"":""unbebautes Grundstück Leipzig Taucha"",""1"":""Gewerbegrundstück A14""}}","Geschrieben von Magdalena Homilius am 14. Dezember 2023 in Allgemein 
 Kurz vor Jahresabschluss konnten wir noch eine sehr positive Entwicklung für die Stadt Taucha IBV/GBV/WOTa auf den Weg bringen. So gelang uns die Vermittlung eines Gewerbegrundstücks direkt an der Autobahn BAB 14 und förmlich auf der Stadtgrenze zwischen Leipzig und Taucha an einen regionalen Mittelständler. Die aktuell unbebauten 6.413 m² Grundstücksfläche mit Baurecht gem. Bebauungsplan „Gewerbegebiet an der Autobahn“ werden dem expandierenden Unternehmen im Bereich kommunaler Landschafts- und Gartenbau bald als Erweiterungsfläche dienen und im Zuge der Inbetriebnahme den Unternehmenssitz nach Taucha verlagern. 
 Wenn Sie ebenfalls auf der Suche nach einem Gewerbegrundstück oder einem Käufer für Ihre Immobilien sind, sind wir Ihr Ansprechpartner! Gern bringen wir Käufer und Verkäufer zusammen. Als exklusiver Kooperationspartner der Leipziger Volksbank eG stehen wir mit unserer Expertise und unserem Netzwerk für Sie bereit. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.paulick-thierfelder.immo/category/allgemein/page/3/,"Zellwald Center in Großschora 
","[{""catId"":616159,""catPath"":""Real estate services => Real Estate Rental => Rental of Commercial Real Estate"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=616159""}]","{""keywords_english"":{""3"":""Zellwald Center"",""2"":""Großschora property"",""1"":""Supply center""},""keywords"":{""3"":""Zellwald Center"",""2"":""Großschora Immobilie"",""1"":""Versorgungszentrum""}}","Wir freuen uns, dass wir jüngst das Versorgungs- und Dienstleistungszentrum „Zellwald Center“ direkt an der B101 in Großvoigtsberg bei Freiberg an einen neuen Eigentümer vermitteln konnten. Das etwa 49.500 m² große Areal mit Einkaufspassage, Supermarkt, Hotel sowie Tankstelle und Autohof wurde im Auftrag der international ansässigen Verkäufergesellschaft vermarktet und wird nun im ersten Schritt einer Revitalisierung unterzogen. Von dieser wird in erster Linie der gegenwärtige und zukünftige Mieterbestand im Multi-tenant Gebäude sowie auch der Standort mit seinem komplexen und weiträumigen Einzugsgebiet profitieren. Der neue Eigentümer ist nicht nur regional bestens vernetzt, sondern auch bereits erfahrener Immobilienbestandhalter und widmet sich umgehend der Neukonzeption inkl. Neuvermietungen sowie Umbau- und Sanierungsarbeiten. Auf diese Weise sollen zukünftig vielschichtige und neue Zielgruppen bedient werden. Über den Kaufpreis haben die Parteien Stillschweigen vereinbart. 
 Gern beraten wir auch Sie zu Ihrem gewerblichen Immobilieneigentum. Als Experten mit langjähriger Markterfahrung können wir Ihre Objekte jederzeit unkompliziert bewerten oder bei der Entwicklung neuer Konzepte zur Seite stehen. Jetzt Kontakt aufnehmen 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.paulick-thierfelder.immo/immobiliendetails/2781-bautraegerfreies-grundstueck-am-zwenkauer-see/,"Grundstück 
","[{""catId"":616157,""catPath"":""Real estate services => Real Estate Agency => Real Estate Purchase"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=616157""}]","{""keywords_english"":{""1"":""land plot"",""2"":""residential"",""3"":""purchase""},""keywords"":{""1"":""Grundstück"",""2"":""Wohnen"",""3"":""Kauf""}}","Objektdaten 
 
 Objektart: Grundstück 
 Objekttyp: Wohnen 
 Vermarktungsart: Kauf 
 ImmoNr: 01847 
 Grundstücksgröße: ca. 598 m² 
 Kaufpreis: 210.000,00 € 
 Außen-Provision: 7,14% inkl. ges. USt. 
 
 Energieausweis 
 
 Energieausweistyp: es besteht keine Pflicht! 
 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.paulick-thierfelder.immo/immobiliendetails/2119-lager-buero-und-produktionsflaechen-in/,"Büro-, Lager- und Produktionsflächen 
","[{""catId"":616159,""catPath"":""Real estate services => Real Estate Rental => Rental of Commercial Real Estate"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=616159""}]","{""keywords_english"":{""1"":""Office spaces"",""2"":""Warehouse spaces"",""3"":""Production spaces""},""keywords"":{""1"":""Büroflächen"",""2"":""Lagerflächen"",""3"":""Produktionsflächen""}}","Büro-, Lager- und Produktionsflächen: 
 
 Büro ca. 876 m² 
 Lager ca. 2.514 m² 
 Produktion ca. 1.928 m² 
 
 Mietpreise Gesamtobjekt ab: 
 
 7,50 €/m² zzgl. NK zzgl. USt. für Büroflächen 
 4,50 €/m² zzgl. NK zzgl. USt. für Hallenflächen 
 
 Mietpreise für Teilflächen: 
 
 auf Anfrage 
 
 Objektdaten: 
 
 Objektart: Hallen/Lager/Produktion 
 Objekttyp: Halle 
 Vermarktungsart: Miete 
 ImmoNr: 01627 
 Grundstücksgröße: ca. 13.711 m² 
 Kaltmiete: 26.590,00 € 
 
 Lage: 
 
 Kreisfreie Stadt Dessau-Roßlau in Sachsen-Anhalt mit ca. 80.000 Einwohnern 
 gelegen ca 50 km nordöstlich von Halle und ca 50 km südöstlich von Magdeburg 
 unmittelbar an A9 
 Kindergärten, Schulen, Ärzte und Einkaufsmöglichkeiten vorhanden 
 kulturelles Zentrum weitläufigen Umkreis 
 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.paulick-thierfelder.immo/?p=11818,"ATTRAKTIVE BÜROFLÄCHEN IM HANDELSHOF LEIPZIG 
","[{""catId"":616161,""catPath"":""Real estate services => Real Estate Rental => Office Rental"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=616161""}]","{""keywords_english"":{""1"":""Office spaces"",""2"":""Leipzig Trade Hall"",""3"":""premium equipment""},""keywords"":{""1"":""Büroflächen"",""2"":""Handelshof Leipzig"",""3"":""hochwertige Ausstattung""}}","Wir freuen uns, dass wir jüngst im Handelshof von Leipzig eine attraktive Büroeinheit an die FG Fröhlich & Gottas Hausverwaltung GmbH vermitteln konnten. Die Flächen mit ges. ca. 465 m² werden aktuell individuell und hochwertig ausgebaut und langfristig angemietet. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.paulick-thierfelder.immo/immobiliendetails/185-gewerbegrundstueck-naehe-bab-9-bab/,"Baugrundstück im Speckgürtel von Leipzig 
","[{""catId"":616172,""catPath"":""Real estate services => Real Estate Project Development"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=616172""}]","{""keywords_english"":{""3"":""Commercial Development"",""2"":""Leipzig Suburbs"",""1"":""Building Plot""},""keywords"":{""3"":""Gewerbebebauung"",""2"":""Leipzig Speckgürtel"",""1"":""Baugrundstück""}}","Vielen Dank für Ihr Interesse an dem Objekt. Wir möchten gerne die Privatsphäre des Eigentümers schützen und halten uns daher im Onlineauftritt zurück. Gerne können Sie uns eine Anfrage mit Ihren vollständigen Kontaktdaten schicken und Sie erhalten von uns weiterführende Informationen. Nachstehend finden Sie vorab ein paar Highlights: Baugrundstück im Speckgürtel von Leipzig - Grundstücksgröße ca. 862 m² - teilerschlossen - Zustand: unbebaut, keine Restbestände - bebaubar nach B-Plan: GRZ 0,6; GFZ 1,2; Mischgebiet; 2 Vollgeschosse - bebaubar mit Gewerbeobjekt, u.a. Lagerhalle, Büroimmobilie, nicht störendes Gewerbe - sehr gute Anbindung an den Fernverkehr über BAB 9 sowie BAB 14, Schkeuditzer Kreuz in ca. 5 min Fahrzeit erreichbar - ca. 10 Fahrminuten zum Flughafen Leipzig/ Halle Haben wir Sie neugierig gemacht? Wir freuen uns auf Ihre Anfrage! 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.paulick-thierfelder.immo/?p=12090,"PAULICK THIERFELDER 
","[{""catId"":616158,""catPath"":""Real estate services => Real Estate Rental => Real Estate Rental (Other)"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=616158""}]","{""keywords_english"":{""3"":""commercial spaces"",""2"":""rental apartments"",""1"":""rental business""},""keywords"":{""3"":""Gewerbeflächen"",""2"":""Mietwohnungen"",""1"":""Vermietungsgeschäft""}}","PAULICK IMMOBILIEN FORCIERT DAS VERMIETUNGSGESCHÄFT 
 Geschrieben von innobrain am 2. Februar 2023 in Allgemein 
 Im Jahr 2022 haben wir bereits zahlreiche Mietwohnungen sowie Gewerbeflächen erfolgreich vermieten können. Die Vermietungstätigkeit wollen wir auch im neuen Jahr 2023 intensivieren. Der Ausbau dieses Service wird durch die aktuell optimale Situation auf dem Vermietungsmarkt gestützt, denn aufgrund der eingeschränkten Neubautätigkeit ist die Suche nach Bestandsimmobilien in den letzten Monaten stark angestiegen. Hinzu kommt, dass bei diesen Immobilien kaum Leerstände zu verzeichnen sind, wodurch dank der hohen Nachfrage eine schnelle Vermietung ebenfalls begünstigt wird. 
 Sie sind aktuell im Besitz unvermieteter Liegenschaften und planen diese zu vermieten? 
 Gern unterstützen wir Sie dabei mit der Erstellung einer kostenfreien und unverbindlichen Einschätzung bezüglich der Miethöhe und allen anderen Fragen rund um Ihre Immobilie. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.paulick-thierfelder.immo/immobiliendetails/2277-provisionsfrei-gewerbeflaechen-naehe-a9-bezugsfrei/,"Gewerbeimmobilie 
","[{""catId"":616159,""catPath"":""Real estate services => Real Estate Rental => Rental of Commercial Real Estate"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=616159""}]","{""keywords_english"":{""3"":""industrial area Central Germany"",""2"":""two-story office space"",""1"":""production hall""},""keywords"":{""3"":""Gewerbegebiet Mitteldeutschland"",""2"":""zweigeschossige Büroflächen"",""1"":""Produktionshalle""}}","Die Gewerbeimmobilie besteht aus einer Produktionshalle zzgl. Anbau, zweigeschossigen Büroflächen sowie einer derzeit noch unausgebauten Ausstellungsfläche. Es besteht die Option, bei entsprechendem Bedarf, weitere Flächen - Nachbargrundstück mit Lagerhalle - mit zu erwerben. Diese sind noch nicht in diesem Angebot enthalten. 
 Das Gewerbegebiet liegt inmitten der Wirtschaftsregion Mitteldeutschland, direkt an der B180 und verfügt somit über eine sehr gute Anbindung an den Fernverkehr. Die Bundesautobahn A9 kann in etwa 5 Fahrminuten erreicht werden. Im Norden befindet sich der Anschluss an die BAB38, im Süden an die BAB4, jeweils ca. 20 min Fahrzeit. Das Gewerbegebiet ist über eine eigene Bushaltestelle an den ÖPNV angebunden. Innerhalb des Gebietes sowie in unmittelbarer Umgebung haben sich zahlreiche mittelständische bis hin zu namhaften Großunternehmen angesiedelt. 
",COMPLETE,
