supplier_id,url,title,cate_info_ai,keyword_ai,description,status,reason
45d2ccb1-3f54-4539-b276-a8a34878d623,http://www.rvt-systeme.de/es/productos/mecanismo-agitador/sistema-modular-ns.html,"Sistema modular (NS) 
","[{""catId"":614798,""catPath"":""Tools and production supplies => Rotating Devices"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=614798""}]","{""keywords_english"":{""1"":""Modular system"",""2"":""Compact agitators"",""3"":""Fixed-free bearings""},""keywords"":{""1"":""Sistema modular"",""2"":""Agitadores compactos"",""3"":""Cojinetes fijos-sueltos""}}","Serie de agitadores compactos de sistema modular con cojinetes fijos-sueltos integrados, acoplamiento elástico y opciones de obturación flexibles. 
 Más información 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,http://www.rvt-systeme.de/es/productos/mecanismo-agitador/dispositivo-agitador-coaxial.html,"Dispositivo agitador coaxial 
","[{""catId"":600386,""catPath"":""Mechanical engineering, plant construction and apparatus construction => Mixing Technology => Agitator Engineering"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=600386""}]","{""keywords_english"":{""3"":""drive variations"",""2"":""combined agitation systems"",""1"":""coaxial agitator device""},""keywords"":{""3"":""variaciones de accionamiento"",""2"":""sistemas de agitación combinados"",""1"":""dispositivo agitador coaxial""}}","Un agitador coaxial se distingue por el hecho de que se utilizan al mismo tiempo dos sistemas de agitación completamente distintos. No sólo pueden ser distintas las revoluciones, sino también los sentidos de giro. Los dispositivos agitadores se pueden combinar libremente. 
 Más información 
 Enviar solicitud 
 Modelo estándar 
 
 Variaciones de accionamiento, en su mayoría con reductores de engranajes cónicos y engranajes rectos - Diferentes posibilidades de obturación - Combinable con ejes y dispositivos agitadores RVT 
 
 Ámbito de aplicación 
 
 Diferentes sistemas de agitación al mismo tiempo con un solo agitador 
 
 Ventajas 
 
 Es posible ajustar intervalos de revoluciones muy diferentes en ambos sistemas agitadores - Posibilidad de dos sentidos de giro diferentes 
 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,http://www.rvt-systeme.de/en/products/stirrers/cross-arm-stirrer.html,"Cross-arm stirrer 
","[{""catId"":609161,""catPath"":""Laboratory technology and supplies => Laboratory Equipment => Laboratory Mixers"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=609161""}]","{""keywords_english"":{""1"":""Multi-stage stirring system"",""2"":""Consistent energy input"",""3"":""Optional removable blades""},""keywords"":{""1"":""Multi-stage stirring system"",""2"":""Consistent energy input"",""3"":""Optional removable blades""}}","Mode of operation 
 
 Multi-stage stirring system 
 Consistent energy input circulation 
 Large quantities 
 
 Operating range 
 
 Homogenisation 
 Suspension 
 Dispersion 
 
 Advantages 
 
 Optional removable blades 
 Opposing axial conveying direction possible 
 Multi-stage system 
 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.rvt-systeme.de/en/products/stirrers/multi-stage-pulse-counter-current-stirrer-mig.html,"Multi-stage pulse counter-current stirrer (MIG) 
","[{""catId"":600386,""catPath"":""Mechanical engineering, plant construction and apparatus construction => Mixing Technology => Agitator Engineering"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=600386""}]","{""keywords_english"":{""1"":""Multi-stage pulse counter-current stirrer"",""2"":""Heat exchange"",""3"":""Homogenization""},""keywords"":{""1"":""Mehrstufiger Impuls Gegenstrom Rührer"",""2"":""Wärmeaustausch"",""3"":""Homogenisierung""}}","Multi-stage pulse counter-current stirrer (MIG) 
 Multi-stage pulse counter-current stirrer versatile stirrer 
 For further Information 
 Send Inquiry 
 Standard design 
 
 Heat exchange 
 Homogenisation 
 Suspension 
 Gassing 
 
 Advantages 
 
 Multi-stage system 
 Freely selectable work angle or axial conveying direction 
 Divided version possible for easy installation 
 Continuously variable adjustment possible 
 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,http://www.rvt-systeme.de/es/productos/dispositivos-agitadores/agitador-de-ancla.html,"Agitador de ancla 
","[{""catId"":600386,""catPath"":""Mechanical engineering, plant construction and apparatus construction => Mixing Technology => Agitator Engineering"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=600386""}]","{""keywords_english"":{""1"":""anchor agitator"",""2"":""standard model"",""3"":""axial transport""},""keywords"":{""1"":""agitador de ancla"",""2"":""modelo estándar"",""3"":""transporte axial""}}","Modelo estándar 
 
 Incidencia en V para un sentido de transporte axial adicional 
 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.rvt-systeme.de/en/products/stirrers/sabre-stirrer.html,"Sabre stirrer 
","[{""catId"":600386,""catPath"":""Mechanical engineering, plant construction and apparatus construction => Mixing Technology => Agitator Engineering"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=600386""}]","{""keywords_english"":{""3"":""axial conveying direction"",""2"":""high-viscosity media"",""1"":""Sabre stirrer""},""keywords"":{""3"":""axial conveying direction"",""2"":""high-viscosity media"",""1"":""Sabre stirrer""}}","Sabre stirrer 
 Mode of operation: high axial conveying direction; pump action 
 Standard design 
 
 Freely selectable angle of the axial conveying direction 
 2 - 6 blades 
 Optional plug-fit connection 
 Optional divisible version 
 Very good agitation for high-viscosity media 
 
 /fileadmin/redaktion/produkte/ruehrorgane/11_SAEB_mit_Welle.png 
 Similar products 
 
 Stirrers Dual bridge cross-flow stirrer (DSQ) 
 Stirrers Counter-current stirrer 
 Stirrers Multi-stage pulse counter-current stirrer (MIG) 
 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.rvt-systeme.de/de/produkte/ruehrwerksantriebe/magnetkupplung-mk.html,"Magnetkupplung (MK) 
","[{""catId"":602184,""catPath"":""Drive technology => Clutches => Shaft Couplings"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=602184""}]","{""keywords_english"":{""1"":""magnetic coupling"",""2"":""contactless drive unit"",""3"":""toxic application""},""keywords"":{""1"":""Magnetkupplung"",""2"":""berührungslose Antriebseinheit"",""3"":""toxische Anwendung""}}","Beschreibung 
 Magnetkupplung (MK) 
 Berührungslose Antriebseinheit über Magnetkupplung (MK). 
 Spezialrührwerk in Schweißkonstruktion für hermetisch dichte Anwendungen. 
 Standardausführung 
 
 Magnetkupplung bis zu 10 kNm - berührungslose Drehmomentübertragung 
 Antrieb hermetisch dicht für Gefahrenstoffe wie z.B. Arsen 
 kombinierbar mit RVT Rührwellen und Rührorganen 
 
 Einsatzbereich 
 
 Hochdruckbereich 
 toxische Anwendung 
 Unteneinbauten 
 nach ATEX 2014/34/EU inkl. Zone 0 
 
 Vorteile 
 
 als Schweißkonstruktion individuell anpassbar 
 Druckbereich bis 100 bar(g) 
 ideal mit Druckübersetzer (Fabr. RVT) 
 separate Kühlung 
 langlebig durch Dauerschmierung im Ölbad 
 optional Trockenlauf mit Keramiklager 
 Abdichtung über einfachwirkende Gleitringdichtung 
 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.rvt-systeme.de/de/produkte/ruehrwerksantriebe/direktantrieb-ds.html,"Direktantrieb (DS) 
","[{""catId"":604172,""catPath"":""Process technology => Stainless Steel Agitator Vessels"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=604172""}]","{""keywords_english"":{""1"":""Direct drive"",""2"":""Three-phase motor"",""3"":""IBC containers""},""keywords"":{""1"":""Direktantrieb"",""2"":""Drehstrommotor"",""3"":""IBC Behälter""}}","Einfaches Rührwerk direkt von einem Drehstrommotor angetrieben für hohe Drehzahlen. 
 Einsatzbereich 
 
 Schnellläufer - niedrig viskose Medien - Wasseraufbereitung - Farben und Lacke / Automobilindustrie - Direktantrieb für Dispersionen mit hohem Leistungseintrag - für IBC Behälter - für Stative - Frequenzumformer Betrieb möglich - nach ATEX 2014/34/EU inkl. Zone 0 - unterschiedliche Abdichtungsmöglichkeiten mit separater Laterne - Faltenbalg 
 
 Vorteile 
 
 preisgünstig 
 niedriges Gewicht 
 geringe Lieferzeit 
 gängige Baureihen lagerhaltig vorhanden 
 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.rvt-systeme.de/en/products/stirrers/helical-stirrer.html,"Helical stirrer 
","[{""catId"":606337,""catPath"":""Conveyor technology => Conveyors => Screw Conveyors"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=606337""}]","{""keywords_english"":{""3"":""Rotary transmission"",""2"":""CIP lances"",""1"":""Helical stirrer""},""keywords"":{""3"":""Rotationsübertragung"",""2"":""CIP-Lanzen"",""1"":""Schneckenrührer""}}","Advantages 
 
 Freely selectable conveying direction 
 with auger for second axial conveying direction 
 Special version with CIP lances 
 Heating via rotary transmission possible 
 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,http://www.rvt-systeme.de/en/products/stirrers/disk-type-stirrer.html,"Disk-type stirrer 
","[{""catId"":614798,""catPath"":""Tools and production supplies => Rotating Devices"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=614798""}]","{""keywords_english"":{""1"":""Disk-type stirrer"",""2"":""Blade position"",""3"":""Axial conveying""},""keywords"":{""1"":""Disk-type stirrer"",""2"":""Blade position"",""3"":""Axial conveying""}}","Advantages 
 
 Blade position for axial conveying direction 
 Divisible version 
 
",COMPLETE,
