id,gmt_modified,gmt_create,supplier_id,host,url,title,product_main_image,product_image_list,price,min_price,max_price,price_type,currency,pricing_unit,moq,cate_info_ai,keyword_ai,task_id,description,status,reason,main_image_object_key,image_list_object_key,final_state,page_record_id
5751,2025-12-02 12:13:49,2025-12-02 12:13:41,b7852a64-6831-4ec0-b515-cf233571cd35,www.spaeter.de,https://www.spaeter.de/standorte/spaeter-hamburg/produkte/aluminium,"Aluminium 
",https://www.spaeter.de/fileadmin/_processed_/b/a/csm_spaeter-produkte-aluminium_ddc22bb758.jpg,"[""https://www.spaeter.de/fileadmin/_processed_/f/2/csm_spaeter-hamburg-aluminiumprodukte-teaser_cbc1161674.jpg""]",,,,sku_price,,,1,"[{""catId"":611937,""catPath"":""Metal and metal products => Metal Materials => Light Metals => Aluminum"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=611937""}]","{""keywords_english"":{""3"":""customized solutions"",""2"":""flat products"",""1"":""aluminum products""},""keywords"":{""3"":""maßgeschneiderte Lösungen"",""2"":""Flachprodukte"",""1"":""Aluminiumprodukte""}}",306,"CARL SPAETER Hamburg ist Ihr verlässlicher Partner für Aluminiumprodukte. Mit unserer umfassenden Produktpalette von Flachprodukten bieten wir maßgeschneiderte Lösungen für Ihre spezifischen Anforderungen. Unser kompromissloser Einsatz für Qualität, verbunden mit unserer langjährigen Expertise und zuverlässigen Lieferkette, macht uns zur ersten Wahl für all Ihre Aluminiumbedürfnisse. 
",COMPLETE,,,,1,290068
5752,2025-12-02 12:13:49,2025-12-02 12:13:41,b7852a64-6831-4ec0-b515-cf233571cd35,www.spaeter.de,https://www.spaeter.de/standorte/spaeter-hamburg/themen/zeitfensterbuchung,"Zeitfensterbuchung für den Wareneingang 
",https://www.spaeter.de/fileadmin/_processed_/7/b/csm_spaeter-hamburg-zeitfensterbuchung_3b720ec63f.jpg,,,,,sku_price,,,1,"[{""catId"":616362,""catPath"":""Logistics, transportation and storage => Logistics => Warehouse Logistics"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=616362""}]","{""keywords_english"":{""1"":""Time slot booking"",""2"":""Goods receipt"",""3"":""CARL SPAETER Hamburg""},""keywords"":{""1"":""Zeitfensterbuchung"",""2"":""Wareneingang"",""3"":""CARL SPAETER Hamburg""}}",306,"Buchen Sie Ihr Online-Zeitfenster für eine effizientere Anlieferung. 
 Lieferung perfekt planen mit CARL SPAETER Hamburg. 
 Unser Lager ist von Montag bis Freitag für Sie da. 
 Warenannahmezeiten: 
 Nutzen Sie bitte unser Zeitfenstermanagementsystem und buchen Sie über den Button einen verfügbaren Termin. 
 Abholzeiten: 
 Als Kunde vereinbaren Sie bitte bei ihrer Bestellung einen individuellen Abholtermin. 
 Als unser Transportdienstleister erhalten Sie bereits bei der Beauftragung einen Abholtermin. 
",COMPLETE,,,,1,290067
5754,2025-12-02 12:13:52,2025-12-02 12:13:43,b7852a64-6831-4ec0-b515-cf233571cd35,www.spaeter.de,https://www.spaeter.de/standorte/spaeter-berlin/produkte/langprodukte,"Langprodukte 
",https://www.spaeter.de/fileadmin/_processed_/f/1/csm_spaeter-hacklaender-langprodukte-kv_ca516e6688.jpg,,,,,sku_price,,,1,"[{""catId"":611897,""catPath"":""Metal and metal products => Metal Materials => Steel => Structural Steel"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=611897""}]","{""keywords_english"":{""1"":""Long products"",""2"":""Beams S235"",""3"":""Rod steel S355""},""keywords"":{""1"":""Langprodukte"",""2"":""Träger S235"",""3"":""Stabstahl S355""}}",306,"Zu unseren Produkten 
 Unser Sortiment an Langprodukten ist breit gefächert: Wir bieten Träger und Stabstahl in Güte S235 und S355 in unterschiedlichen Dimensionen. Dabei machen wir verschiedenste Längen für die vielfältigsten Anwendungsgebiete möglich. Mit unserem umfangreichen Materialservice realisieren wir für Sie hochwertige Bearbeitungen der Produkte wie beispielsweise das präzise Sägen, Bohren, Strahlen und Primern. Außerdem führen wir bereits verzinkten Stabstahl und geprimerte Träger am Lager Berlin. 
",COMPLETE,,,,1,289731
5755,2025-12-02 12:13:52,2025-12-02 12:13:44,b7852a64-6831-4ec0-b515-cf233571cd35,www.spaeter.de,https://www.spaeter.de/standorte/spaeter-oberhausen/produkte/langprodukte/formstahl,"Formstahl 
",https://www.spaeter.de/fileadmin/user_upload/produkte/Walzstahl/spaeter-produkte-walzstahl-formstahl.jpg,,,,,sku_price,,,1,"[{""catId"":611897,""catPath"":""Metal and metal products => Metal Materials => Steel => Structural Steel"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=611897""}]","{""keywords_english"":{""3"":""Downloads"",""2"":""Media"",""1"":""Structural Steel""},""keywords"":{""3"":""Downloads"",""2"":""Medien"",""1"":""Formstahl""}}",306,"Das könnte Sie auch interessieren 
 /fileadmin/processed/f/a/csm_spaeter-medien-download-teaser_c4bd7b2e87.jpg\n
Entdecken Sie unsere Medien und Downloads für mehr Informationen zu unseren Produkten und Services. 
 Zu den Medien & Downloads 
 /fileadmin/processed/a/9/csm_spaeter-standort-oberhausen-kontakt-teaser_d0e0117345.jpg\n
Sie haben Fragen? Nehmen Sie gerne Kontakt mit uns auf. 
 Zum Kontakt 
",COMPLETE,,,,1,290228
5756,2025-12-02 12:13:55,2025-12-02 12:13:47,b7852a64-6831-4ec0-b515-cf233571cd35,www.spaeter.de,https://www.spaeter.de/standorte/spaeter-suedwest/themen,"CARL SPAETER Südwest 
",https://www.spaeter.de/fileadmin/_processed_/3/9/csm_spaeter-suedwest-karlsruhe-standort_83d40728e3.jpg,,,,,sku_price,,,1,"[{""catId"":611917,""catPath"":""Metal and metal products => Metal Materials => Steel => C-steel"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=611917""}]","{""keywords_english"":{""1"":""Carl Spaeter Southwest"",""2"":""Rolled Steel"",""3"":""Pipes""},""keywords"":{""1"":""Carl Spaeter Südwest"",""2"":""Walzstahl"",""3"":""Rohre""}}",306,"Seit 1960 hat die Carl Spaeter Südwest GmbH ihren Sitz in Karlsruhe. Wir beziehen Material per Wagon, Schiff und LKW aus aller Welt. Mit einer Betriebsgröße von rund 65.000qm und einer überdachten Hallenfläche von rund 55.000qm stehen Ihnen umfangreiche Anarbeitungsmöglichkeiten, sowie eine Vielfalt von Produkten zur Verfügung. 
 Kennzahlen 
 Gründung: 1960 
 Lagerfläche: ca. 55.000 m² 
 Mitarbeiter: ca. 100 
 Stahl auf Lager: > 55.000 t 
 Lokal verankert, global vernetzt. 
 Wir sind Vollsortimenter für Walzstahl und Rohre mit überregionaler Ausrichtung. Kunden schätzen bei uns den persönlichen Kontakt, einen Top-Service und unsere guten Beziehungen zu allen großen europäischen Stahlwerken. Unsere Anarbeitung bauen wir ständig aus, so haben wir Brennschneiden, Nuten, Bohren, Sägen sowie Strahlen und Konservieren im Programm. 
 Die weltweite Vernetzung mit namenhaften Stahlproduzenten sorgt für eine optimale Versorgungssicherheit. Diese internationale, werksseitige Einkaufskompetenz wird verstärkt durch ein professionelles Intercompany-Geschäft innerhalb der Carl SPAETER Gruppe. Damit können wir mit reinem Herzen sagen: „Viel? Speziell? Gerne!"". 
",COMPLETE,,,,1,289937
5757,2025-12-02 12:14:05,2025-12-02 12:13:57,b7852a64-6831-4ec0-b515-cf233571cd35,www.spaeter.de,https://www.spaeter.de/spaeter-raw-materials-auf-der-messe-ceramitec-2024,"SPAETER raw materials 
",https://www.spaeter.de/fileadmin/_processed_/8/5/csm_ceramitec_web_34f10d3758.jpg,,,,,sku_price,,,1,"[{""catId"":613241,""catPath"":""Raw materials and chemistry => Raw Materials => Raw Materials (Other)"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=613241""}]","{""keywords_english"":{""1"":""Raw materials"",""2"":""Fire protection"",""3"":""Metallurgy""},""keywords"":{""1"":""Rohstoffe"",""2"":""Flammschutz"",""3"":""Metallurgie""}}",306,"SPAETER raw materials bringt das „RawGebiet“ auf die Messe München. 
 Mit einem sehr innovativen und auffälligen Konzept präsentiert sich der SPAETER Handelsbereich Raw Materials im April 2024 auf der Messe ceramitec in München. Gemeinsam mit unserem strategischen Partner Peñoles aus Mexiko haben wir eine Kombination aus mexikanischem Flair und der Ruhrgebietsinstitution „Trinkhalle“ nach München gebracht. Ein echter Eye-Catcher, der die Messe München für unser Team Rohstoffe zum „RawPott“ gemacht hat. Der spannende Auftritt an unserem „SPAETI“ bietet Raum für gute Gespräche rund um unsere Rohstoffe für den Einsatz in zahlreichen Anwendungen, z.B. 
 
 Flammschutz und Feuerfest-Materialien 
 Roofing und Flooring 
 Tierfutter und Düngemittel 
 Metallurgie 
 Schleif- und Strahlmittel 
 
 Alles Weitere über die Produkte und Anwendungsbereiche von SPAETER Raw Materials sowie die Kontaktinformationen zu unseren Rohstoff-Experten finden Sie auch auf unserer Website. 
",COMPLETE,,,,1,289908
5758,2025-12-02 12:14:07,2025-12-02 12:13:58,b7852a64-6831-4ec0-b515-cf233571cd35,www.spaeter.de,https://www.spaeter.de/standorte/spaeter-duisburg-aluminium/produkte/dach-wand/wellprofile,"Wellbleche 
",https://www.spaeter.de/fileadmin/user_upload/spaeter-produkte-aluminium-wellenbleche.jpg,,,,,sku_price,,,1,"[{""catId"":612010,""catPath"":""Metal and metal products => Sheets => Corrugated Sheets"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=612010""}]","{""keywords_english"":{""1"":""corrugated sheets"",""2"":""aluminum"",""3"":""steel""},""keywords"":{""1"":""Wellbleche"",""2"":""Aluminium"",""3"":""Stahl""}}",306,"Wellbleche 
 /fileadmin/user_upload/spaeter-produkte-aluminium-wellenbleche.jpg
t 
 /fileadmin/user_upload/produkte/Icons_Produktdetail/spaeter-icon-ausfuehrung.svg
t 
 Ausführungen 
 Stahl · Edelstahl · Aluminium 
 t 
 /fileadmin/user_upload/produkte/Icons_Produktdetail/spaeter-icon-massnorm.svg
t 
 Maßnorm 
 EN 1090 · EN 1993 
 t 
 /fileadmin/user_upload/produkte/Icons_Produktdetail/spaeter-icon-ce.svg
t 
 CE-Zeichen 
 Mehr zum Produkt 
 t 
 Das könnte Sie auch interessieren 
 t 
 /fileadmin/processed/a/0/csm_spaeter-duisburg-alu-broschuere-key-m_6b0b6d5250.jpg
t 
 Entdecken Sie unsere Medien und Downloads für mehr Informationen zu unseren Produkten und Services. 
 Zu den Medien & Downloads 
 t 
 /fileadmin/processed/0/3/csm_Kontakt_teaser_ea62cb9d20.jpg
t 
 Sie haben Fragen? Nehmen Sie gerne Kontakt mit uns auf. 
 Zum Kontakt 
 t 
 Back to Top 
 Wir nutzen Cookies auf unserer Website. Einige von ihnen sind essenziell, während andere uns helfen, diese Website und Ihre Erfahrung zu verbessern. 
 Essentials 
 Essenzielle Cookies ermöglichen grundlegende Funktionen und sind für die einwandfreie Funktion der Website erforderlich. 
 Cookiedetails anzeigen 
 Statistiken 
 Statistik Cookies erfassen Informationen anonym. Diese Informationen helfen uns zu verstehen, wie unsere Besucher unsere Website nutzen. 
 Cookiedetails anzeigen 
 Alle akzeptierenSpeichern 
 ImpressumDatenschutzerklärung 
",COMPLETE,,,,1,290089
5759,2025-12-02 12:14:08,2025-12-02 12:13:59,b7852a64-6831-4ec0-b515-cf233571cd35,www.spaeter.de,https://www.spaeter.de/standorte/spaeter-oberhausen/neue-gesamtbroschuere,"Neue Gesamtbroschüre 
",https://www.spaeter.de/fileadmin/_processed_/a/e/csm_spaeter-oberhausen-broschuere_ba7c8fd30e.jpg,,,,,sku_price,,,1,"[{""catId"":605360,""catPath"":""Printing and paper => Printed Products => Brochures"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=605360""}]","{""keywords_english"":{""1"":""Comprehensive Brochure"",""2"":""Catalog"",""3"":""Steel""},""keywords"":{""1"":""Gesamtbroschüre"",""2"":""Prospekt"",""3"":""Stahl""}}",306,"Neue Gesamtbroschüre 
 Unsere Gesamtbroschüre wurde frisch überarbeitet und ein neues 6-seitiges Prospekt fertiggestellt. Beides steht ab sofort für Sie zum Download bereit. Sie werden sehen, wir entwickeln uns für Sie weiter, richten uns an Ihren Anforderungen aus. Dies aus ganzem Herzen. 
 Informieren Sie sich über unsere Möglichkeiten und Lieferprogramm im Detail. 
 Unser Team ist bei allen Fragen darüber hinaus rund um den Stahl für Sie immer gerne erreichbar, kontaktieren Sie uns. Wir freuen uns auf Ihren Anruf, oder Ihre Mail. 
 Gemeinsam. Einfach. Besser. 
",COMPLETE,,,,1,289706
5761,2025-12-02 12:14:13,2025-12-02 12:14:05,b7852a64-6831-4ec0-b515-cf233571cd35,chancen.spaeter.de,https://chancen.spaeter.de/arbeitswelten/auszubildende/fachkraft-fuer-lagerlogistik,"Fachkraft für Lagerlogistik 
",https://chancen.spaeter.de/fileadmin/_processed_/8/5/csm_Header_CS_Fachkraft_fuer_Lagerlogistik_99892c89f7.png,"[""/fileadmin/_processed_/1/3/csm_CS_Icon_360___5de644e1cc.png"",""/fileadmin/_processed_/b/0/csm_CS_Icon_Modernste_Technik_2da21118ba.png"",""/fileadmin/_processed_/8/9/csm_CS_Icon_Selbststaendiges_Arbeiten_9e372331e0.png"",""/fileadmin/_processed_/2/a/csm_CS_Icon_Famlienunternehmen_cb5686eaa5.png"",""/fileadmin/_processed_/c/e/csm_20_d02ef94c5e.jpg"",""/fileadmin/_processed_/7/7/csm_Box_1_CS_FAchkraft_fuer_Lagerlogistik_6519c705ea.png"",""/fileadmin/_processed_/1/f/csm_CS_Safety_Fist_Lagerlogistik_67fce6cda3.png"",""/fileadmin/_processed_/9/7/csm_CS_Teamwork_Lagerlogistik_c4abc8c954.png""]",,,,sku_price,,,1,"[{""catId"":616362,""catPath"":""Logistics, transportation and storage => Logistics => Warehouse Logistics"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=616362""}]","{""keywords_english"":{""3"":""Goods Receipt"",""2"":""Warehouse Logistics"",""1"":""Specialist""},""keywords"":{""3"":""Wareneingang"",""2"":""Lagerlogistik"",""1"":""Fachkraft""}}",306,"Als Fachkraft für Lagerlogistik hast du das Sagen im Lager, wenn es um die Organisation von Waren geht. Du koordinierst den Wareneingang und -ausgang, sorgst dafür, dass alles an seinen richtigen Platz kommt und behältst dabei immer den Überblick. Zuverlässigkeit ist das A und O. 
 Mit modernsten Hilfsmitteln werdet ihr die richtigen Produkte im Lager schnell finden und fachgerecht verladen. Wenn du gerne anpackst und dich für Logistik interessierst, dann ist diese Ausbildung genau das Richtige für dich! 
",COMPLETE,,,,1,289907
5762,2025-12-02 12:14:19,2025-12-02 12:14:12,b7852a64-6831-4ec0-b515-cf233571cd35,chancen.spaeter.de,https://chancen.spaeter.de/arbeitswelten/auszubildende/fachlagerist,"Fachlagerist (w/m/d) 
",https://chancen.spaeter.de/fileadmin/_processed_/3/c/csm_Header_CS_Fachlagerist_df1a684905.png,"[""/fileadmin/_processed_/1/3/csm_CS_Icon_360___5de644e1cc.png"",""/fileadmin/_processed_/4/c/csm_CS_Icon_Team_und_Sportangebot_feaf1090ac.png"",""/fileadmin/_processed_/7/1/csm_CS_Icon_UEbernahmenchancen_6ba4b8416e.png"",""/fileadmin/_processed_/2/a/csm_CS_Icon_Famlienunternehmen_cb5686eaa5.png"",""/fileadmin/_processed_/c/e/csm_20_d02ef94c5e.jpg"",""/fileadmin/_processed_/9/5/csm_Box_1_CS_Fachlagerist_6a6f4d1040.png"",""/fileadmin/_processed_/b/c/csm_CS_Safety_Fist_Fachlagerist_3dea86fa9f.png"",""/fileadmin/_processed_/1/5/csm_CS_Gemeinsam_anpacken_Fachlagerist_2e799b7eaf.png""]",,,,sku_price,,,1,"[{""catId"":617307,""catPath"":""Training and education => Employee Training"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=617307""}]","{""keywords_english"":{""1"":""Skilled Warehouse Worker"",""2"":""Warehouse"",""3"":""Logistics""},""keywords"":{""1"":""Fachlagerist"",""2"":""Lager"",""3"":""Logistik""}}",306,"Deine Chance als Azubi im gewerblichen Bereich 
 Du bist jung, stehst in den Startlöchern und dir stehen alle Türen offen. Du hältst dich gerne fit und bist außerdem von Natur aus ein hilfsbereiter Mensch? Dann bist du bei uns genau richtig. Wir fördern dich gerne und unterstützen dich bei deinem beruflichen Werdegang. 
 Während deiner Ausbildung wirst du das Lager so gut kennenlernen wie deine eigene Westentasche. Dieser Beruf ist eine vielversprechende Möglichkeit für Schulabgänger und Quereinsteiger, eine Karriere im Lager- und Logistikbereich anzustreben. 
 Als Fachlagerist bist du für die fachgerechte Lagerung, Kommissionierung und den Versand von Waren verantwortlich. Dabei lernst du nicht nur, wie man Warenströme effizient organisiert und steuert, sondern auch, wie man mit modernen Technologien und computergestützten Systemen umgeht. 
",COMPLETE,,,,1,289927
