supplier_id,url,title,cate_info_ai,keyword_ai,description,status,reason
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.teprosa.de/en/laser-cutting/laser-cutting-electrical-sheets/iron-core/,"Cutting Electrical Steel 
","[{""catId"":611895,""catPath"":""Metal and metal products => Metal Materials => Steel => Steel (Other)"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=611895""}]","{""keywords_english"":{""3"":""NO35-27 HS"",""2"":""M235-35A"",""1"":""Cutting Electrical Steel""},""keywords"":{""3"":""NO35-27 HS"",""2"":""M235-35A"",""1"":""Elektroblech schneiden""}}","Cutting Electrical Steel 
 Fields marked with an * are required 
 Material * 
 M235-35A M270-35A M330-35A M270-50A M330-50A M400-50A M530-50A M800-50A NO35-27 HS NO27-18 NO20-15 NO10S Sonstiges (bitte bei Anmerkungen einfügen) 
 Coating 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.teprosa.de/laserbeschriften-lasermarkieren/,"Laserbeschriften & Lasermarkieren 
","[{""catId"":608787,""catPath"":""Marking technology => Lettering Services => Laser Engraving"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=608787""}]","{""keywords_english"":{""1"":""Laser marking"",""2"":""Industrial applications"",""3"":""Laser labeling""},""keywords"":{""1"":""Laserbeschriftung"",""2"":""Industrieanwendungen"",""3"":""Laserkennzeichnung""}}","Funktionsweise, Vorteile und Anwendungen in der Industrie 
 Laserbeschriften – oft auch Lasermarkieren, Laserkennzeichnung oder Lasergravur genannt – hat sich in den letzten Jahren zu einem der wichtigsten Verfahren für die industrielle Beschriftung entwickelt. Ob Seriennummer, Data-Matrix-Code, QR-Code, Typenschild oder Logo: In vielen Branchen ist die direkte, dauerhafte Kennzeichnung von Bauteilen heute Pflicht – und der Laser das bevorzugte Werkzeug dafür. 
 In diesem Beitrag zeigen wir, 
[hier die überspringende Liste, die hier nicht vollständig angezeigt wird] 
https://www.teprosa.de/wp-content/uploads/2025/11/Laserbeschriften-Werkzeug-TEPROSA-1024x576.jpg 
 Was versteht man unter Laserbeschriftung und Lasermarkierung? 
 Unter Laserbeschriftung oder Lasermarkierungversteht man das Beschriften oder Markieren von Objekten mit einem fokussierten Laserstrahl. Im Gegensatz zum klassischen Druckverfahren wird dabei das Material selbst verändert – zum Beispiel durch Oxidation, Aufschmelzen, Verdampfen oder einen Farbumschlag in oberflächennahen Schichten. 
 Typische Merkmale von Laserbeschriftungen:
[hier die überspringende Liste, die hier nicht vollständig angezeigt wird] 
 Genau diese Eigenschaften haben dazu geführt, dass Laserbeschriftung heute in Medizintechnik, Automotive, Elektronik, Maschinenbau, Luftfahrt und vielen anderen Branchen als Standardverfahren eingesetzt wird. 
 Wie funktioniert Laserbeschriften technisch? 
 Jede Laserbeschriftungsanlage besteht im Kern aus:
[hier die überspringende Liste, die hier nicht vollständig angezeigt wird] 
 Der Laserstrahl wird dabei stark fokussiert und auf eine kleine Fläche des Werkstücks gelenkt. Dort wird das Material lokal erhitzt, so dass es je nach Verfahren:
[hier die überspringende Liste, die hier nicht vollständig angezeigt wird] 
 Typische Laserquellen 
 In der industriellen Lasermarkierung werden je nach Material und Anwendung verschiedene Laser eingesetzt:
[hier die überspringende Liste, die hier nicht vollständig angezeigt wird] 
 Verfahrensarten: Anlassen, Gravur, Abtrag, Farbumschlag
[hier die überspringende Liste, die hier nicht vollständig angezeigt wird] 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.teprosa.de/laserschneiden/laserschneiden-siliziumnitrid/,"Laserschneiden von technischer Keramik wie Siliziumnitrid 
","[{""catId"":601933,""catPath"":""Machining and forming => Laser Processing => Laser Cutting => CNC Laser Cutting"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=601933""}]","{""keywords_english"":{""3"":""Non-oxide ceramic"",""2"":""Silicon nitride"",""1"":""Laser cutting technical ceramics""},""keywords"":{""3"":""Nichtoxid-Keramik"",""2"":""Siliziumnitrid"",""1"":""Laserschneiden technische Keramik""}}","Laserschneiden von technischer Keramik wie Siliziumnitrid 
 Technische Keramiken wie beispielsweise Siliziumnitrid sind besonders harte Materialien und lassen sich dennoch hervorragend mit dem Laser schneiden und trennen. Siliziumnitrid gehört zu den Nichtoxid-Keramiken und zeichnet sich durch seine hohe Festigkeit und Härte, niedrige Wärmedehnung und gute Wärmeleiteigenschaften aus. 
 Ihr Anbieter für Laserschneiden von technischer Keramik 
 Wir bieten das Schneiden von technischer Keramik wie Siliziumnitrid mit dem Laser bis zu Materialdicken von 1,00mm. Wir beraten Sie gerne zu allen Fragen rund um Ihren Laserauftrag. 
 Welche technischen Keramiken gibt es? 
 Siliziumnitrid (Siliciumnitrid, Si 3 N 4) 
 Chemische Verbindung aus Silizium und Stickstoff. Extrem belastbar, sehr hohe Temperaturstabilität, sehr hohe Thermoschockbeständigkeit. 
 Aluminiumoxid (AI203) 
 Hochleistungskeramik mit besonders hoher Festigkeit und Härte. Korrosionsbeständig. Sehr gutes Isolationsverhalten. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.teprosa.de/en/laser-fine-cutting/laser-cutting-of-fine-and-thin-metal-sheets/,"Laser Cutting of Fine and Thin Metal Sheets 
","[{""catId"":601978,""catPath"":""Machining and forming => Metalworking => Sheet Metal Working => Laser Sheet Metal Working"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=601978""}]","{""keywords_english"":{""1"":""fine sheet laser cutting"",""2"":""precise laser technology"",""3"":""burr-free machining""},""keywords"":{""1"":""Feinblech Laserschneiden"",""2"":""präzise Lasertechnologie"",""3"":""Burr-freie Bearbeitung""}}","OUR SERVICES 
 
 Laser Cutting: We offer our customers laser cutting of fine and thin sheets, as well as laser fine cutting of materials with very low material thicknesses (0.02 mm – 4.00 mm) as contract manufacturing. Of course we manufacture from the first sample and also up to mass production. 
 Material Suitability: If you do not know whether your material is suitable for processing with the laser, we will be happy to find out for you and provide you with a first demonstration sample free of charge. 
 
 OUR CAPABILITIES 
 
 Great Precision and Tight Tolerances: High cutting speed possible, economy. 
 Burr-free Machining: 2D and 3D structures, no post-processing. 
 Flexible and Short-term Adaptation: Components can be adapted quickly and easily, no tools required. 
 Suitable for Samples, Small Quantities: No set-up costs. 
 
 MATERIALS 
 In addition to steel and other metals (steel and metal foils), the choice of materials includes ceramics (silicon nitride), glass fiber reinforced plastics, composites and many more. We are happy to perform an appropriate parameter determination for your material and determine the suitability for processing with the laser. 
 THE TECHNOLOGY 
 
 Gentle Material Processing: Ideal for cutting stencils or precision parts made of thin metal foils. 
 High-Precision Cutting: Repeat accuracy of ± 2 μm, spot diameter of less than 30 μm. 
 Quality Assurance: Real-time testing of each laser-cut opening to ensure consistent quality and prevent downtime. 
 Post-Processing Options: Various techniques such as mechanical deburring or electropolishing are available for removing burrs. 
 
 YOUR CONTACT PERSON 
 Dr.-Ing. Sören Majcherek 
 Managing Director 
 soeren.majcherek@teprosa.de 
 0049 (0)391 838 177 94 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.teprosa.de/zellverbinder-lasern/,"Zellverbinder für Batterien lasern 
","[{""catId"":602060,""catPath"":""Accumulator and battery technology => Batteries => Battery Accessories"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=602060""}]","{""keywords_english"":{""3"":""battery pack"",""2"":""battery connections"",""1"":""cell connector""},""keywords"":{""3"":""Batteriepack"",""2"":""Batterieverbindungen"",""1"":""Zellverbinder""}}","Als Zellverbinder oder Verbinder werden Bauteile in Batterien bezeichnet, die dazu verwendet werden, einzelne Zellen miteinander zu verbinden und eine elektrische Verbindung zwischen ihnen herzustellen. In Batterien sind Zellen die grundlegenden Einheiten, die elektrische Energie speichern und abgeben. 
 Einzelne Zellen können in Batteriepacks durch Batterieverbindungen oder metallische Zellverbindungselemente zusammengeschaltet werden, um eine höhere Spannung oder Kapazität zu erreichen. Diese Zellverbinder dienen dazu, den elektrischen Strom zwischen den Zellen zu leiten, damit er in Serie fließen kann. Er stellt sicher, dass die einzelnen Zellen in einem Batteriepack ordnungsgemäß miteinander verbunden sind und gemein 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.teprosa.de/en/laser-fine-cutting/shim-sheets-adaptor-plates-and-equalising-plates-made-of-thin-sheet-metal/,"SHIMS BLANK, ABSTIMM PLATES AND EQUIPMENT BLANK FROM FINE SHEET 
","[{""catId"":608359,""catPath"":""Industrial supplies => Shim Washers"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=608359""}]","{""keywords_english"":{""3"":""laser cutting"",""2"":""fine sheet"",""1"":""shims""},""keywords"":{""3"":""Laserschneiden"",""2"":""Feinblech"",""1"":""Abstimmplatten""}}","In 3 steps to your individual shims sheets 
 Shims, or shims sheets / spacer sheets / shims, are used to compensate for tolerances that occur in manufacturing. In this way, components and products in fixture construction, on machines and in automobiles can be compensated for easily, cost-effectively and with high precision. 
 Materials/materials for shims sheets 
 A variety of materials and materials are suitable for laser cutting of shims and spacer plates. Here is an overview of the materials we process at TEPROSA: 
 Sheets and foils – material thickness: 0.02 mm – 6.00 mm: 
 
 Stainless steel, stainless steel foils 
 Aluminum, aluminum foils 
 copper, copper foils 
 Brass, brass foils 
 Nickel, nickel foils 
 Steel, steel foils 
 
 We have a wide range of materials available from stock. However, we are also happy to process material provided by you, or procure materials and materials according to your specifications and requirements from our long-term, experienced suppliers. The delivery of corresponding material test certificates for your laser parts is possible at any time after consultation. 
 Manufacturing conditions for spacer plates 
 Our manufacturing conditions for shims sheet metal 
 
 Minimum kerf width/minimum spot diameter: 0.03 mm* 
 Repeat accuracy ±2µm 
 Micro-bridges from 0.03 mm (small connection between contour and sheet to anchor the blanks in the sheet composite) 
 Cutting speeds up to 50mm/s 
 Cutting gas support up to 25 bar 
 Nitrogen 
 Oxygen 
 Compressed air 
 Contour accuracy: ± 0.01 mm* 
 Boring from 0.03 mm 
 
 *Depending on the material/material and its thickness. 
 Short delivery times – optional express manufacturing 
 We have many materials available in stock. So we are able to process your laser request within shortest time. We manufacture from batch size one and offer optional express processing for many orders within just one working day. 
 Free samples 
 Would you like to convince yourself of our quality in advance, we will be happy to send you free samples in advance. 
 Information for Buyers 
 As a service provider for the B2B sector, it is a matter of course for us to provide you with a written offer for shims that matches your inquiry in accordance with our general terms and conditions. In doing so, we naturally also act as a long-term supplier for you. Here you will find further links and helpful information for buyers: 
 
 Online-Inquiry 
 Terms of Service 
 ISO-9001-Certificate 
 RoHS and REACH disclosures 
 Confidentiality Agreement 
 Worth knowing about our quality management 
 Interesting facts about TEPROSA GmbH 
 
 Request without CAD data 
 You can also place a request for laser cutting of shims without CAD data. Simply enter the geometric data, as well as the desired material of your workpiece in our online request form. Our experts will check your data and then contact you immediately to provide you with an attractive manufacturing offer as quickly as possible. 
 Confidentiality & Data Security 
 We guarantee the security of your data – but if you still need a non-disclosure agreement in advance, you can download our non-disclosure form here. We would also be happy to review your in-house agreement. To do so, please simply email it to us at: einkauf@teprosa.de 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.teprosa.de/laserschneiden/laserschneiden-titan/,"Laserschneiden von Titan 
","[{""catId"":601767,""catPath"":""Machining and forming => Cutting & Blanks => Laser Cutting"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=601767""}]","{""keywords_english"":{""1"":""Laser cutting of titanium"",""2"":""Titanium laser cutting"",""3"":""Express processing titanium""},""keywords"":{""1"":""Laserschneiden von Titan"",""2"":""Titan-Laserschneiden"",""3"":""Expressbearbeitung Titan""}}","Informationen für Einkäufer 
 Als Dienstleister für den B2B-Bereich ist es für uns selbstverständlich, Ihnen ein zu Ihrer Anfrage passendes, schriftliches Angebot entsprechend unserer allgemeinen Geschäftsbedingungen zu unterbreiten. Dabei treten wir selbstverständlich auch als Langzeitlieferant für Sie auf. Hier finden Sie weiterführende Links und hilfreiche Angaben für Einkäufer: 
 
 Online-Anfrage 
 Allgemeine Geschäftsbedingungen 
 ISO-9001-Zertifikat 
 Angaben zu RoHS und REACH 
 Geheimhaltungsvereinbarung 
 Wissenswertes über unser Qualitätsmanagement 
 Wissenswertes über die TEPROSA GmbH 
 
 Anfrage ohne CAD-Daten 
 Sie können auch ohne CAD-Daten eine Anfrage für das Laserschneiden von Titan online platzieren. Geben Sie dazu einfach die geometrischen Daten, sowie das gewünschte Material Ihres Werkstücks in unser Online-Anfrage-Formular ein. Unsere Experten prüfen Ihre Daten und nehmen dann umgehend mit Ihnen Kontakt auf, um Ihnen schnellstmöglich ein attraktives Fertigungsangebot unterbreiten zu können. 
 Geheimhaltung & Datensicherheit 
 Die Sicherheit Ihrer Daten garantieren wir Ihnen – falls Sie dennoch im Vorfeld eine Geheimhaltungsvereinbarung benötigen, können Sie sich hier unser Formular zur Geheimhaltung herunterladen. Gerne prüfen wir auch Ihre hauseigene Vereinbarung. Bitte schicken Sie uns diese dazu einfach per E-Mail an: einkauf@teprosa.de 
 Kurze Lieferzeiten – optionale Expressbearbeitung 
 Wir haben viele Materialien verschiedene Materialstärken für das Titan-Laserschneiden lagerseits verfügbar. So sind wir in der Lage Ihre Laseranfrage innerhalb kürzester Zeit zu bearbeiten. Wir fertigen ab der Losgröße eins und bieten für viele Aufträge eine optionale Expressbearbeitung bereits innerhalb eines Arbeitstags. 
 
 Expressbearbeitung, optional innerhalb eines Arbeitstags 
 Großserien > 1 Mio. Teile/ Jahr 
 Prototypen ab Stückzahl 1 
 Sondermaterialien kurzfristig verfügbar auf Anfrage 
 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.teprosa.de/en/laser-fine-cutting/stahllamellen-fuer-kupplungen/,"Steel Plates for Clutches 
","[{""catId"":612020,""catPath"":""Metal and metal products => Metal Plates"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=612020""}]","{""keywords_english"":{""1"":""Steel Plates"",""2"":""Clutch Plates"",""3"":""Laser-Cut Steel Parts""},""keywords"":{""1"":""Stahlscheiben"",""2"":""Kupplungsplatten"",""3"":""Lasergeschnitte Stahlteile""}}","We are specialized in business 2 business. Upon your request, you will promptly receive a written quote that takes into account all technical requirements. Here you will find further links and helpful information for buyers: 
 
 Online-Inquiry 
 Terms of Service 
 ISO-9001-Certificate 
 RoHS and REACH disclosures 
 Confidentiality Agreement 
 Worth knowing about our quality management 
 Interesting facts about TEPROSA GmbH 
 
 We are your reliable partner for high-quality, laser-cut steel plates and steel discs, plate packs and plate sets made of steel for precise clutch systems. Our steel slats set standards in terms of quality, durability and performance. We deliver individual laser-cut steel plates and plate packages for clutches according to your specifications quickly, easily and at an impressive price. Our laser systems cut steel and stainless steel up to a material thickness of 15 mm (some materials even beyond this) with the highest precision and accuracy (± 0.01 mm). Laser cutting is an economical and technically outstanding process for quickly and precisely processing sheet metal, metal foil and other plate-shaped materials. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.teprosa.de/en/zellverbinder-lasern/,"Laser cell connectors for batteries 
","[{""catId"":602060,""catPath"":""Accumulator and battery technology => Batteries => Battery Accessories"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=602060""}]","{""keywords_english"":{""1"":""Laser cell connectors"",""2"":""Battery cell connectors"",""3"":""Metal cell connectors""},""keywords"":{""1"":""Laser-Zellverbinder"",""2"":""Batteriezellenverbinder"",""3"":""Metall-Zellverbinder""}}","Cell connectors or connectors are components in batteries that are used to connect individual cells to one another and create an electrical connection between them. In batteries, cells are the basic units that store and release electrical energy. 
 Individual cells can be connected together in battery packs using battery interconnects or metal cell connectors to achieve higher voltage or capacity. These cell connectors are used to conduct electrical current between cells so that it can flow in series. It ensures that the individual cells in a battery pack are properly connected and work together to deliver the desired voltage and capacity. 
 Cell connectors can be made from different materials such as copper or aluminum, depending on the specific requirements of the battery and its application. They must have good electrical conductivity and often also offer a certain mechanical stability. 
 In some cases, cell connectors may also have additional features, such as temperature sensors to monitor the temperature of individual cells or protection mechanisms to prevent overcharging or over-discharging. 
 Cell connectors can be easily manufactured using laser cutting. 
 Your partner for laser cutting of cell connectors 
 TEPROSA is your laser specialist with many years of experience. We manufacture cell connectors for the automotive industry, medical technology, mechanical engineering and many other industries. We will be happy to advise you on all questions regarding your laser order. As a long-standing supplier to various OEMs, the quality of our work is particularly important to us. We therefore work according to uniform processes and thus ensure consistent quality and complete traceability of each individual production step. 
 Short delivery times – optional express processing 
 We have many materials of different material thicknesses available in stock for laser cutting of cell connectors. This means we are able to process your laser request within a very short time. We produce batch sizes starting from one and offer optional express processing for many orders within one working day. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.teprosa.de/laserschneiden/elektrobleche-lasern/statorblech/,"Statorbleche aus Elektroband für Prototypen und Kleinserien 
","[{""catId"":605492,""catPath"":""Electrical engineering => Winding Technology"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=605492""}]","{""keywords_english"":{""1"":""Stator laminations"",""2"":""Electrical steel"",""3"":""Laser cutting""},""keywords"":{""1"":""Statorbleche"",""2"":""Elektroband"",""3"":""Laserfräsen""}}","Statorbleche (auch Blechlamellen) werden aus Elektroblech bzw. Elektroband gefertigt. Bei Elektroblech handelt es sich um eine spezielle Eisen-Silizium-Legierung. Aufgrund seiner besonderen Eigenschaften führt der Einsatz von Blechlamellen aus Elektroband für die Herstellung von Statoren, besonders in der Elektrotechnik und der Automatisierungstechnik, zu hohem Qualitätssicherheitsniveau, Reizbeständigkeit und hoher Widerstandsfähigkeit. Die Verarbeitung erfolgt durch zuzügliches Laser- oder Wasserfräsen. Das Laserfräsen bietet eine genaue und vernünftig preiswerte Produktionsmethode, die anpassungsbereich und Qualität halten kann. Unser Fokus liegt dabei auf den häufigsten Auftragsstellungen, dennoch bieten wir Ihnen auch die Möglichkeit, Ihren eigenen Auftragswert in Kürze zu erreichen, indem Sie einfach Ihre technische Zeichnung anhängen. Selbstverständlich bieten wir Ihnen unser individuelles Angebot, das sich an Ihren persönlichen Wünschen ausrichtet, um Ihnen eine persönliche Unterstützung zu bieten. 
",COMPLETE,
