supplier_id,url,title,cate_info_ai,keyword_ai,description,status,reason
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.topatec.de/produkte.html,"AQUA-LIPOSTAR 
","[{""catId"":600630,""catPath"":""Process technology => Separators => Fat Separators"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=600630""}]","{""keywords_english"":{""1"":""Grease separator"",""2"":""modular construction"",""3"":""odor-proof sealed""},""keywords"":{""1"":""Fettabscheider"",""2"":""modularer Bauweise"",""3"":""geruchsdicht verschlossen""}}","Produktdetails 
 
 
 Fettabscheider Hausaufstellung AQUA-LIPOSTAR 
 
 Durch geringes Gewicht und modularer Bauweise auch für engere Durchgänge geeignet. 
 
 
 
 Fettabscheider Hausaufstellung AQUA-LIPOMASTER FH 
 
 Zur Basisvariante zusätzlich in 4 Ausbaustufen lieferbar. 
 
 
 
 Fettabscheider Erdeinbau AQUA-LIPOMASTER FE 
 
 integrierter Schlammfang, Teleskopschacht, stufenloser Höhen- /Niveauausgleich, neigbar. 
 
 
 
 Stärkeabscheider Hausaufstellung AQUA-AMIDO 
 
 Erhältlich als Behälter aus PE zum Erdeinbau oder zur Freiaufstellung mit integrierter Sprühbrause zur Niederschlagung der Schaumbildung. 
 
 
 
 Mineralölabscheider Erdeinbau AQUA-PETROL 
 
 mit integriertem Schlammfang, Teleskopschachtaufbau aus Kunststoff, stufenloser Höhen- und Niveauausgleich, neigbar. 
 
 
 
 Abwasserpumpstation Erdeinbau AQUA-PS 
 
 Anschlussfertige PE-Abwasserschächte für Tauchmotorpumpen mit auftriebssicherem Abwassersammelschacht, zur Entwässerung unterhalb der Rückstauebene. 
 
 
 
 Abwasserhebeanlage Hausaufstellung AQUA-H 
 
 Anschlussfertige Doppel-Hebeanlage zu Hausaufstellung, geruchsdicht verschlossen. Für fäkalienfreies und fäkalienhaltiges Abwasser. 
 
 
 
 Rückstauverschlüsse AQUA-H 
 
 Rückstauverschlüsse für Regenwasser, fäkalienfreies und fäkalienhaltiges Abwasser. 
 
 
 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.topatec.de/fettabscheider.html,"Fettabscheider von TOPATEC für alle Bereiche 
","[{""catId"":600630,""catPath"":""Process technology => Separators => Fat Separators"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=600630""}]","{""keywords_english"":{""1"":""grease separator"",""2"":""oil separation"",""3"":""TOPATEC PE separator""},""keywords"":{""1"":""Fettabscheider"",""2"":""Öltrennung"",""3"":""TOPATEC PE-Abscheider""}}","TOPATEC PE-Fettabscheider sind die perfekte Lösung, Fette und Öle sicher und mit höchster Effizienz aus Abwässern zu trennen. Eigenschaften der TOPATEC Abscheider wie Langlebigkeit, Zuverlässigkeit und maximale Produktqualität sprechen für sich. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.topatec.de/abkw-abscheider-b.html,"AQUA-PETROL-System B 
","[{""catId"":600631,""catPath"":""Process technology => Separators => Oil Separators"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=600631""}]","{""keywords_english"":{""3"":""Sedimentation device"",""2"":""Hydrocarbon limitation"",""1"":""Light liquid separator""},""keywords"":{""3"":""Sedimentationseinrichtung"",""2"":""Kohlenwasserstoffbegrenzung"",""1"":""Leichtflüssigkeitsabscheider""}}","Als Nachfolger der Klasse II bzw. Benzinabscheider bietet die TOPATEC GmbH seit 2020 den AQUA-PETROL System B als „Anlagen zur Begrenzung von Kohlenwasserstoffen in mineralölhaltigen Abwässern mit Anteilen an Biodiesel, Bioheizöl und Ethanol“, kurz ABKW-Abscheider, in Anlehnung an DIN EN 858-1 und nach DIN 1999-100/-101 mit allg. bauaufsichtlicher Zulassung / allgemeiner Bauartgenehmigung Z-83.8.62 an. Der AQUA-PETROL System B bewältigt auch die gestiegenen Anforderungen an einen Abscheider durch höhere Anteile an Biodiesel, Ethanol und auch Bioheizöl. 
 Leichtflüssigkeitsabscheider aus Kunststoff für den Erdeinbau: Anlagen zur Begrenzung von Kohlenwasserstoffen in mineralölhaltigen Abwässern mit Anteilen an Biodiesel, Bioheizöl und Ethanol-System B in Anlehnung an DIN EN 858-1, nach DIN 1999-100/-101 Mit integrierter Sedimentationseinrichtung, selbsttätiger Verschlusseinrichtung verstopfungssicher durch hydraulisch wirkender Koaleszenzeinrichtung bis NS 20, befahrbar bis SLW 60, monolithische Behälter mit Rundboden zur vereinfachten Schlammentsorgung. - inkl. Abdeckung Pkw-befahrbar bis 12,5 to (Klasse B 125, Lastgruppe E2) - inkl. Teleskopschachtaufbau; dadurch stufenloser Höhen- u. Niveauausgleich - inkl. Schachtaufbau aus Kunststoff mit typengeprüfter Dichtung - auftriebssicher durch Formverankerung mit umgebendem Erdreich - Schachtaufbau aus Kunststoff mit typengeprüfter Dichtung - Abdeckung mit Sandverschluss - mit zertifiziertem Brandschutznachweis - inkl. Leistungserklärung (entsprechend BauPVO) - allgem. bauaufsichtliche DIBt-Zulassung/allg. Bauartgenehmigung Z-83.8-62 - LGA- und TÜV geprüft 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.topatec.de/abkw-abscheider-a.html,"AQUA-PETROL-System A 
","[{""catId"":600631,""catPath"":""Process technology => Separators => Oil Separators"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=600631""}]","{""keywords_english"":{""1"":""Light liquid separator"",""2"":""Coalescing separator"",""3"":""Construction type approval Z-83.8-60""},""keywords"":{""1"":""Leichtflüssigkeitsabscheider"",""2"":""Koaleszenzabscheider"",""3"":""Bauartgenehmigung Z-83.8-60""}}","Seit Mai 2020 bietet die TOPATEC GmbH „Anlagen zur Begrenzung von Kohlenwasserstoffen in mineralölhaltigen Abwässern mit Anteilen an Biodiesel, Bioheizöl und Ethanol“, kurz ABKWAbscheider, in Anlehnung an DIN EN 858-1 und nach DIN 1999-100/-101 mit allg. bauaufsichtlicher Zulassung / allgemeiner Bauartgenehmigung Z-83.8.60 an. Der AQUA-PETROL System A kann analog zum bisherigen Klasse I Abscheider (Koaleszenzabscheider) eingesetzt werden. Zusätzlich erfüllt der AQUA-PETROL System A die gestiegenen Anforderungen an einen Abscheider durch höhere Anteile an Biodiesel, Ethanol und auch Bioheizöl. 
 Leichtflüssigkeitsabscheider aus Kunststoff für den Erdeinbau: Anlagen zur Begrenzung von Kohlenwasserstoffen in mineralölhaltigen Abwässern mit Anteilen an Biodiesel, Bioheizöl und Ethanol-System A in Anlehnung an DIN EN 858-1, nach DIN 1999-100/-101. mit integrierter Sedimentationseinrichtung, mit selbsttätiger Verschlusseinrichtung verstopfungssicher durch hydraulisch wirkender Koaleszenzeinrichtung bis NS 10 (NS 15 mit Koaleszenzmatte) statisch geprüfter Fertigteilrundbehälter aus PE; befahrbar bis SLW 60 monolithische Behälter mit Rundboden zur vereinfachten Schlammentsorgung. - inkl. Abdeckung Pkw-befahrbar bis 12,5 to (Klasse B 125, Lastgruppe E2) - inkl. Teleskopschachtaufbau; dadurch stufenloser Höhen- u. Niveauausgleich - inkl. Schachtaufbau aus Kunststoff mit typengeprüfter Dichtung - auftriebssicher durch Formverankerung mit umgebendem Erdreich - Schachtaufbau aus Kunststoff mit typengeprüfter Dichtung - Abdeckung mit Sandverschluss - mit zertifiziertem Brandschutznachweis - inkl. Leistungserklärung (entsprechend BauPVO) - allgem. bauaufsichtliche DIBt-Zulassung/allg. Bauartgenehmigung Z-83.8-60 - LGA- und TÜV geprüft 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.topatec.de/berechnung-mineraloelabscheider,"Berechnung TOPATEC Leichtflüssigkeitsabscheider 
","[{""catId"":600631,""catPath"":""Process technology => Separators => Oil Separators"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=600631""}]","{""keywords_english"":{""1"":""Light liquid separator"",""2"":""Class II"",""3"":""Coalescence separator""},""keywords"":{""1"":""Leichtflüssigkeitsabscheider"",""2"":""Klasse II"",""3"":""Koaleszenzabscheider""}}","EN 858-2/DIN 1999-100/-101 zur Ermittlung der Nenngröße für Leichtflüssigkeitsabscheider der Klasse I und II Klasse II (Benzinabscheider) Klasse I (Koaleszenzabscheider) 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.topatec.de/leichtflussigkeitsabscheider-ce.html,"AQUA-PETROL CE 
","[{""catId"":600634,""catPath"":""Process technology => Separators => Water Separators"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=600634""}]","{""keywords_english"":{""1"":""Separator systems"",""2"":""Coalescence separator"",""3"":""Light liquids""},""keywords"":{""1"":""Abscheideranlagen"",""2"":""Koaleszenzabscheider"",""3"":""Leichtflüssigkeiten""}}","Abscheideranlagen für Leichtflüssigkeiten nach DIN EN 858-1 mit integriertem Schlammfang. Mit CE-Kennzeichnung und Leistungserklärung. Koaleszenzabscheider zum Erdeinbau aus PE (Kunststoff) nach den DIN- und DIN EN- Normen - DIN EN 858-1 und DIN 1999-100/-101. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.topatec.de/,"TOPATEC Fettabscheidernach DIN 4040 und DIN EN 1825 
","[{""catId"":600630,""catPath"":""Process technology => Separators => Fat Separators"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=600630""}]","{""keywords_english"":{""1"":""Grease separator"",""2"":""DIN 4040"",""3"":""DIN EN 1825""},""keywords"":{""1"":""Fettabscheider"",""2"":""DIN 4040"",""3"":""DIN EN 1825""}}","TOPATEC Abscheider erfüllen alle gesetzlichen Vorgaben zur problemlosen behördlichen Genehmigung. 
 Problemlose Genehmigung !TOPATEC Fettabscheider entsprechen derDIN 4040 und DIN EN 1825 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.topatec.de/fettabscheider-gastronomie.html,"Fettabscheider für Gastronomie 
","[{""catId"":600630,""catPath"":""Process technology => Separators => Fat Separators"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=600630""}]","{""keywords_english"":{""3"":""TOPATEC GmbH"",""2"":""wastewater purification"",""1"":""grease separator gastronomy""},""keywords"":{""3"":""TOPATEC GmbH"",""2"":""Schmutzwasser Reinigung"",""1"":""Fettabscheider Gastronomie""}}","In Restaurants, Hotels und lebensmittelverarbeitenden Betrieben wird sehr viel mit Fett und Öl gearbeitet. Damit diese Substanzen nicht in das öffentliche Kanalnetz gelangen, müssen die Abwässer zuvor gereinigt werden. Erfolgt keine Reinigung, lagern sich Fette und andere Rückstände von Lebensmitteln in den Leitungen ab. Die Abwasserrohre verstopfen und es kommt zu einem Rückstau. Außerdem können unangenehme Gerüche auftreten. Kritisch ist vor allem, dass durch diese Ablagerungen Gärprozesse ausgelöst werden, die zu starken Korrosionsschäden führen und so den häuslichen und öffentlichen Abwasserkanal belasten und schädigen. Kostenintensive, aufwendige Instandsetzungen zu Lasten der Öffentlichkeit sind die Folge. Auch die Arbeit von Kleinkläranlagen wird erheblich beeinträchtigt. Daher müssen gastronomische Betriebe und alle Gewerbebetriebe, bei denen fetthaltiges Abwasser anfällt, über einen Fettabscheider verfügen, der das Schmutzwasser vor der Einleitung in die Kanalisation vorreinigt. 
 Wie ein Fettabscheider in der Gastronomie funktioniert 
 Fettabscheider sind in jeder Küche obligatorisch, die Speisen zubereiten. Um das sich im täglichen Betrieb im Schmutzwasser ansammelnde Fett abzutrennen, wird das Abwasser über einen speziellen Zulauf in den Fettabscheider für die Gastronomie eingeleitet. Eine im Fettabscheider integrierte Prallplatte sorgt dafür, dass die Strömungsgeschwindigkeit reduziert und der Fettabscheideraum gleichmäßig ausgelastet wird. Gemäß den physikalischen Gesetzen der Schwerkraft sinken Stoffe, die eine höhere Dichte als Wasser haben nach unten, die die eine geringere Dichte haben, steigen nach oben. Oder anders gesagt, schwere Substanzen, wie Essensreste, Schmutz- und Schlammanteile, sammeln sich in dem am Boden befindlichen Schlammfang, während Öle und Fette sich als Fettschicht zwischen den Einbauten für Zulauf und Auslauf sammeln. Das nun deutlich gereinigte Abwasser kann anschließend durch den Auslauf in die öffentliche Kanalisation abfließen. 
 Welche Einbaumöglichkeiten bieten sich für einen Fettabscheider für die Gastronomie? 
 Grundsätzlich kann man zwischen vier verschiedenen Varianten unterscheiden. Es gibt Fettabscheider für den stationären Gastrobetrieb, die man im Außenbereich einbauen, freistehend im Keller oder im Haus aufstellen kann, oder Fettabscheider die auf Küchenebene platziert werden können. Darüber hinaus gibt es Fettabscheider für die Gastronomie, die für den mobilen Einsatz geeignet sind. Zu den hier relevanten Betrieben zählen zum Beispiel das Eventcatering, mobile Küchen und Imbisswägen. 
 Fettabscheider für den Erdeinbau 
 Die für den Erdeinbau konzipierten Fettabscheider der Firma TOPATEC GmbH für den Gastro Betrieb werden aus hochwertigem Kunststoff gefertigt. Ein integrierter Schlammfang, ein Teleskopaufsatz sowie alle erforderlichen Dichtungen sind bereits im Lieferumfang enthalten. Zur Ausstattung zählt darüber hinaus eine verschraubbare, geruchsdichte Abdeckung, die mit einem PKW bis zu einer Radlast von 1,5 Tonnen befahren werden kann. Optional stehen zur Erweiterung Abdeckungen mit einer Belastbarkeit von bis zu 3,5 Tonnen Radlast und eine Klasse B Abdeckung, befahrbar bis 12,5 Tonnen, zur Verfügung. Wird eine Abdeckung mit einer Belastbarkeit von 40 Tonnen Radlast gewünscht, ist hier eine zusätzliche Lastenverteilerplatte erforderlich. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.topatec.de/koaleszenzabscheider.html,"TOPATEC Leichtflüssigkeitsabscheider 
","[{""catId"":600631,""catPath"":""Process technology => Separators => Oil Separators"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=600631""}]","{""keywords_english"":{""3"":""Gasoline separator"",""2"":""Coalescence separator"",""1"":""Light liquid separator""},""keywords"":{""3"":""Benzinabscheider"",""2"":""Koaleszenzabscheider"",""1"":""Leichtflüssigkeitsabscheider""}}","TOPATEC Leichtflüssigkeitsabscheider - Dauerhaft dicht ! 
 Benzin- und Koaleszenzabscheider 
 Unter mineralische Leichtflüssigkeiten fallen z.B. Benzin, Öle, Schmierstoff. Können diese Leichtflüssigkeiten in Regen- und Schmutzwasser gelangen, muss das anfallende Wasser über einen Abscheider geführt werden. Bei den Abscheidern für Leichtflüssigkeiten unterscheidet man zwischen 
 Klasse I - Koaleszenzabscheider verbinden die Entmischung des Öl-Wasser-Gemischs durch das Schwerkraftprinzip mit physikalischen Vorgängen der Adsorption- und Koaleszenz. Durch diese Vorgänge werden kleine, sich im Wasser befindliche Tröpfchen zu größeren zusammenschließen und nach oben steigen, so dass die Abtrennung mineralischer Leichtflüssigkeiten aus dem Wasser verbessert wird. Koaleszenzabscheider werden in Kfz-Werkstätten eingesetzt. 
 Klasse II - Diese Abscheider werden auch Benzinabscheider genannt und funktionieren ausschließlich nach den Regeln der Schwerkraft und Ausnutzung der unterschiedlichen Dichten. Durch den Einsatz des Abscheiders wird die spezifisch leichteren Teilchen Benzine oder Öle vom Wasser getrennt. In den Abscheider darf nur Abwasser eingeleitet werden, aus dem Leichtflüssigkeiten abgeschieden werden sollen. Die mineralischen Leichtflüssigkeiten bilden eine Schwimmschicht auf dem Wasser. Durch einen Schwimmer (selbsttätiger Abschluss) wird verhindert, dass Leichtflüssigkeiten durch den Auslauf ins Abwasser gelangen, wenn die maximale Ölschicht erreicht ist. Eingesetzt werden Benzinabscheider in Parkhäusern, Fuhrparks, Waschanlagen. 
 Die Größe des Schlammfangs des Abscheiders ist abhängig von anfallender Abwassermenge als Regen- und Schmutzwasser (Gesamt-Durchflussmenge in l/s) und der Menge sedimentierbarer Feststoffe (keiner-gering-mittel-groß). Der Schlammfang ist in den Leichtflüssigkeitsabscheidern von TOPATEC integriert. Bei großen Mengen von Schlämmen kann aber auch ein zusätzlicher Schlammfang dem Abscheider vorgeschaltet werden. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.topatec.de/rueckstauverschluesse.html,"TOPATEC Rückstauverschlüsse für Abwasser & Regenwasser 
","[{""catId"":602335,""catPath"":""Valve technology => Valves => Check Valves"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=602335""}]","{""keywords_english"":{""1"":""Backwater valve"",""2"":""stainless steel backwater flap"",""3"":""maintenance-free ABS housing""},""keywords"":{""1"":""Rückstauverschluss"",""2"":""Edelstahl Rückstauklappe"",""3"":""wartungsfreies ABS-Gehäuse""}}","TOPATEC Rückstauverschlüsse für Abwasser & Regenwasser 
 Hochwertige Rückstauklappe aus Edelstahl mit automatischer Wirkung und einem wartungsfreien Gehäuse aus schlagfestem ABS-Kunststoff. Dank der praktischen Knebelschrauben wird für die Wartung kein Werkzeug benötigt. 
 Typ 2 gemäß EN 13564-1:2002 (DN 100-DN 150), Einsatzbereich nach DIN 1986-100:2002-03: Automatisch wirkende aus Edelstahl gefertigte Rückstauverschlüsse mit zusätzlicher Handabsperrung für einen Notverschluss, einem Verschlussgestänge aus Edelstahl und einem Prüfrohranschluss. Das Gehäuse besteht aus wartungsfreundlichem schlagfestem ABS-Kunststoff. Für eine Wartung ohne Werkzeug sorgen die praktischen Knebelschrauben. 
 Typ 3 (F) gemäß EN 13564, Einsatzbereich nach DIN 1986-100:2002-03: Der Stausafe DUO VA verfügt über zwei Rückstauklappen, die im Normalbetrieb geöffnet sind. Bei einem Rückstau verschließt sich eine Klappe automatisch, während die andere als Notverschluss dient und zur Funktionskontrolle manuell verriegelt werden kann. Ein elektronisch gesteuerter Klappenverschluss garantiert zuverlässige Funktion. Der Elektromotor befindet sich in einem wasserdichten Gehäuse. Über Batterien ist eine Notstromversorgung gesichert. Der Rückstauverschluss verfügt über einen Prüfrohranschluss, ein aus schlagfestem ABS-Kunststoff gefertigtem wartungsfreundlichen Gehäuse, dessen Knebelschrauben eine Wartung ohne Werkzeug zulassen, eine in eine Aufputzbox eingebettete Steuerelektronik, eine sowohl optische als auch akustische Statusanzeige und ist GLT-fähig. 
",COMPLETE,
