supplier_id,url,title,cate_info_ai,keyword_ai,description,status,reason
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.v-sinne-gin.de/collections/zubehor/products/200-ml-fever-tree-premium-wild-berry-tonic,"200 ml Fever-Tree Premium Wild Berry Tonic 
","[{""catId"":609380,""catPath"":""Food and beverage => Non-alcoholic Beverages => Non-alcoholic Beverages (Other)"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=609380""}]","{""keywords_english"":{""3"":""Wild Berry Tonic"",""2"":""Fever-Tree"",""1"":""200 ml""},""keywords"":{""3"":""Wild Berry Tonic"",""2"":""Fever-Tree"",""1"":""200 ml""}}","▪ Genieße den Moment mit allen fünf Sinnen ▪ 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.v-sinne-gin.de/products/v-sinne-lieblingsmensch-wildberry-gin-500ml-40-vol?pr_prod_strat=e5_desc&pr_rec_id=a2244c723&pr_rec_pid=7619738566718&pr_ref_pid=7619747086398&pr_seq=uniform,"V-SINNE Lieblingsmensch Wildberry Gin 500ml 40% vol. 
","[{""catId"":609352,""catPath"":""Food and beverage => Alcoholic Beverages => Spirits => Gin"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=609352""}]","{""keywords_english"":{""1"":""V-SINNE Favorite Person Gin"",""2"":""Wildberry Gin"",""3"":""34 Botanicals Gin""},""keywords"":{""1"":""V-SINNE Lieblingsmensch Gin"",""2"":""Wildberry Gin"",""3"":""34 Botanicals Gin""}}","🎁 Perfektes Geschenk: Zeig deinem Lieblingsmenschen mit diesem hochwertigen Geschenk, was er dir bedeutet! 
 🌲 Erlebe den Sommer im Schwarzwald: Himbeeren, Johannisbeeren & Brombeeren tänzeln als Geschmacksexplosion auf deiner Zunge: Frisch, fruchtig, spritzig & beerig! 
 ❤️ Handcrafted: Die Herstellung des V-SINNE Gin erfolgt in liebevoller Handarbeit. 
 🌿 34 Botanicals: Aus insgesamt 34 geheimen Zutaten baut sich ein unvergleichliches Aroma beim Genießen auf und lässt deine GeschmacksSINNE auf dem Tisch tanzen. 
 🏆 Finest quality: Der über 20-fach prämierte Original V-SINNE Gin wird mit Beeren veredelt und das Ergebnis ist dieses Meisterwerk der Destillationskunst. 
 ❄️ Best Serve: Eisgekühlt mit gefrorenen Beeren & Tonic Water genießen. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.v-sinne-gin.de/collections/star-trek/products/star-trek-tumbler-42cl,"STAR TREK Thumbler 42cl 
","[{""catId"":607073,""catPath"":""Catering supplies => Dishes => Drinking Glasses => Drinking Glasses (Other)"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=607073""}]","{""keywords_english"":{""1"":""STAR TREK"",""2"":""Tumbler 42cl"",""3"":""Glass""},""keywords"":{""1"":""STAR TREK"",""2"":""Thumbler 42cl"",""3"":""Glas""}}","🚀 Neuheit: Das gab es noch nie! Endlich kannst du Stilecht auf deine Star Trek Helden anstoßen. Tauche tiefer in die faszinierende Welt von Star Trek ein und Sichere dir ein Stück Star Trek-Geschichte! 
 🖖 Perfekt für Fans: Ein Muss für jeden Trekkie. Diese Tumbler sind ideal für den Genuss deiner Star Trek Getränke, während du deine Lieblingsfolgen ansiehst. 
 🎁 Ideales Geschenk: Überrasche Freunde und Familie mit einem einzigartigen Star Trek-Sammlerstück. Diese Tumbler-Gläser sind das perfekte Geschenk für jeden Anlass. 
 ⭐ Star Trek Design: Mit einem Fassungsvermögen von 42 cl und dem ikonischen Star Trek-Logo eingraviert, sind diese Gläser ein stilvolles Highlight in jeder Sammlung. 
 🌌 Galaktische Qualität: Hergestellt aus hochwertigem Glas, bieten diese Tumbler nicht nur ein tolles Design, sondern auch eine langlebige Qualität. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.v-sinne-gin.de/collections/sale/products/v-sinne-glas-strohhalme-inkl-reinigungsburste,"V-SINNE Glas Strohhalme inkl. Reinigungsbürste 
","[{""catId"":607212,""catPath"":""Catering supplies => Drinking Straws"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=607212""}]","{""keywords_english"":{""1"":""Glass Straws"",""2"":""Cleaning Brush"",""3"":""sustainable""},""keywords"":{""1"":""Glas Strohhalme"",""2"":""Reinigungsbürste"",""3"":""nachhaltig""}}","Genieße deinen Gin Tonic stilvoll, nachhaltig und hygienisch mit den V-SINNE Glasstrohhalme inkl. Reinigungsbürste. 
 ❌ Plastikfrei: Vermeide Plastik und Müll durch wiederverwendbare Strohhalme aus Glas inkl. plastikfreier Reinigungsbürste 
 🍹 Robust und vielseitig: Extrem stabil, BPA-frei und perfekt für kalte und heiße Getränke. 
 🧹 Einfache Reinigung: Ganz einfach von Hand mit der mitgelieferten Bürste oder in der Spülmaschine zu reinigen. 
 🌟 Hingucker: Mit hochwertiger Laser Gravur 
 Das Set beinhaltet zwei gravierte Glasstrohhalme und eine plastikfreie Reinigungsbürste. Die nachhaltigen Glas Strohhalme sind mit einer lustigen Trinkspruch Gravur versehen: ""Lange Rede, kurzer Gin"". 
 Die Umweltfreundliche Alternative: 100% & BPA frei, wiederverwendbar und recycelbar. 
 Geschmacksneutral und Hitzebeständig aus stabilem Spezialglas. 
 Pflegeleichte Handhabung durch Reinigung mit der beigelegten plastikfreien Reinigungsbürste. Hitzebeständig und auch Spülmaschinengeeignet. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.v-sinne-gin.de/products/v-sinne-raspberry-gin-500-ml,"V-SINNE Raspberry Gin 500 ml 
","[{""catId"":609352,""catPath"":""Food and beverage => Alcoholic Beverages => Spirits => Gin"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=609352""}]","{""keywords_english"":{""3"":""31 Botanicals Gin"",""2"":""Black Forest Gin"",""1"":""V-SINNE Raspberry Gin""},""keywords"":{""3"":""31 Botanicals Gin"",""2"":""Schwarzwald Gin"",""1"":""V-SINNE Raspberry Gin""}}","▪ Genieße den Moment mit allen fünf Sinnen ▪ 
 Prämierte Qualität, inspirierende Geschmacksvielfalt und hand-gemachte Innovation schreiben wir uns auf die Fahne. Mit dem V-SINNE Raspberry Magic Gin kommen Freunde von fruchtigen Tropfen voll auf ihre Kosten. 
 Eine wahre, leicht süßliche Geschmacks-Explosion. In der Nase tanzt das natürliche Himbeeraroma mit frischen Wacholdernoten. Die 31 Botanicals plus satte 30kg Himbeeren im Mazerat und Geistkorb verleihen diesem Schwarzwald Gin die sanft fruchtige Komplexität. Unser V-SINNE Raspberry Magic wird mit feinsten Himbeeren vermengt und in einen kühlen und dunklen Raum gestellt. Nach einer Woche haben die Himbeeren ihr Aroma abgegeben und werden dann mit weiteren Himbeeren im Geistkorb ab destilliert. Dieser Prozess dauert sehr lange, da die Fließgeschwindigkeit stark reduziert wird. So können wir die feinen Aromen unseres Schwarzwald Lieblings schonend extrahieren. 
 Wir produzieren ausschließlich im Small Batch verfahren mit max. 240 Flaschen pro Destilliervorgang. Damit unterscheiden wir uns grundlegend von industriell hergestellten Gins als Massenware. Zugegeben, sind wir auf genau das auch ziemlich stolz, denn wir sind davon überzeugt, dass jeder Gin so individuell ist wie der Mensch, der ihn gerade genießt! Unser V-Sinne Schwarzwald Gin wird mit einer klassischen 147L Kolonnen-Destille hergestellt, welche wir mit viel Herzblut selbst restauriert haben. Bei dieser Art von Destille muss der Brennmeister sein Handwerk beherrschen, um ein gutes Ergebnis zu erhalten. Denn wir destillieren den V-SINNE Raspberry Magic Gin sehr langsam, bei sanften niedrigen Temperaturen, um für dich die feinste und beste Qualität gewährleisten zu können. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.v-sinne-gin.de/collections/alle-produkte/products/v-sinne-gluh-gin-orange-700ml,"V-SINNE Glüh Gin & Orange 700ml 
","[{""catId"":609345,""catPath"":""Food and beverage => Alcoholic Beverages => Spirits => Spirits (Other)"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=609345""}]","{""keywords_english"":{""3"":""Black Forest distillery"",""2"":""orange"",""1"":""mulled gin""},""keywords"":{""3"":""Schwarzwald Brennerei"",""2"":""Orange"",""1"":""Glüh-Gin""}}","▪ Genieße den Moment mit allen fünf Sinnen ▪ 
 Was ist Glüh-Gin? 
 Bei unserem Glüh-Gin handelt es sich nicht um normalen Gin, sondern eine servierfertige Mischung, die auf unserem preisgekrönten Gin basiert! 
 Verleihe deinen festlichen Momenten eine einzigartige Note mit unserem V-Sinne Glüh-Gin Orange. Sorgfältig in der Schwarzwald Brennerei hergestellt, um die Aromen von sonnengereiften Orangen mit der Wärme von Gewürzen zu vereinen, ist dieser Glüh Gin die perfekte Ergänzung für deine Winterabende und Feierlichkeiten. 
 Warum V-Sinne Glüh-Gin Orange? 
 
 Aromatische Fusion: Unsere einzigartige Mischung kombiniert die fruchtige Frische von Orangen mit einer ansprechenden Würze, um einen unvergleichlichen Glüh-Gin zu kreieren. 
 Höchste Qualität: Sorgfältig hergestellt aus erlesenen Zutaten, bietet unser Glüh-Gin eine erstklassige Qualität, die sich in jedem Schluck widerspiegelt. Für unseren Glüh Gin Orange verwenden wir nicht einfach einen Discounter Gin, sondern unseren mehrfach weltweit prämierten V-SINNE Dry Gin. 
 Vielseitigkeit: Ob als warmes Getränk an kalten Abenden, als Bestandteil von Cocktails oder einfach pur genossen - der V-Sinne Glüh-Gin Orange ist so vielseitig wie köstlich. 
 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.v-sinne-gin.de/collections/wein,"V-SINNE Klingon Bloodwine - 750 ml 
","[{""catId"":609295,""catPath"":""Food and beverage => Alcoholic Beverages => Wines => Wines (Other)"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=609295""}]","{""keywords_english"":{""3"":""V-SINNE"",""2"":""750 ml"",""1"":""Klingon Bloodwine""},""keywords"":{""3"":""V-SINNE"",""2"":""750 ml"",""1"":""Klingon Bloodwine""}}","Schmeckt nach ""Energie!"" 
 Sorgfältig verpackt und schnell geliefert. Eine Flasche habe ich mir noch zum Trinken bestellt, damit das Set zu bleiben kann. Schmeckt für mich großartig - Und natürlich mit ""Energie"" ;-) Schaut mal auf die Flaschennummer... noch so 600? 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.v-sinne-gin.de/products/v-sinne-eierlikor-mit-gin-500-ml-20-vol,"V-SINNE Eierlikör mit Gin 500 ml 20% vol. 
","[{""catId"":609346,""catPath"":""Food and beverage => Alcoholic Beverages => Spirits => Liqueurs"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=609346""}]","{""keywords_english"":{""3"":""lactose-free"",""2"":""Orange and vanilla"",""1"":""Egg liqueur with gin""},""keywords"":{""3"":""laktosefrei"",""2"":""Orange und Vanille"",""1"":""Eierlikör mit Gin""}}","🥚 Ach du dickes Ei! Eierlikör auf eine neue Art – MIT GIN! 
 🍊 Mit einem Hauch von Orange und Vanille 
 🧇 Mit knusprigem Waffelbecher erhältlich für den ganz besonderen Shot. 
 🍦 Pur genießen oder das Dessert verfeinern. 
 🎁 Die perfekte Geschenkidee. 
 🐮 laktosefrei! 
 ⏳ Nur für kurze Zeit erhältlich – Jetzt zugreifen! 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.v-sinne-gin.de/collections/star-trek/products/v-sinne-star-trek-klingon-blood-gin-500ml-40-vol,"V-SINNE Star Trek Klingon Blood Gin 500ml 40% vol. 
","[{""catId"":609352,""catPath"":""Food and beverage => Alcoholic Beverages => Spirits => Gin"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=609352""}]","{""keywords_english"":{""1"":""Star Trek Gin"",""2"":""Klingon Blood Gin"",""3"":""limited edition 4000 bottles""},""keywords"":{""1"":""Star Trek Gin"",""2"":""Klingon Blood Gin"",""3"":""limitierte Edition 4000 Flaschen""}}","Star Trek Klingon Blood Gin – Der legendäre Dry Gin mit Blutorangen-Kraft 
 Tauche ein in die Welt der Klingonen mit dem Star Trek Klingon Blood Gin, einer einzigartigen Spirituose, die Tradition, Handwerkskunst und galaktischen Geschmack vereint. Diese streng limitierte Edition mit nur 4.000 Flaschen weltweit ist nicht nur ein Genuss für Gin-Liebhaber, sondern auch ein exklusives Sammlerstück für echte Star Trek-Fan 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.v-sinne-gin.de/products/v-sinne-gin-adventskalender-mit-24-gins-je-20ml,"V-SINNE Gin Adventskalender - 24 Gins 
","[{""catId"":609352,""catPath"":""Food and beverage => Alcoholic Beverages => Spirits => Gin"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=609352""}]","{""keywords_english"":{""1"":""Gin Advent Calendar"",""2"":""24 Gins"",""3"":""exclusive Gins""},""keywords"":{""1"":""Gin Adventskalender"",""2"":""24 Gins"",""3"":""exklusive Gins""}}","24 Gins, 24 Erlebnisse! 🎁 
 Entdecke jeden Tag im Dezember einen neuen, exklusiven Gin. Unser Gin-Adventskalender bietet dir die perfekte Mischung aus klassischen, exotischen und limitierten Sorten, die du so noch nie erlebt hast! 
 🍸 24 verschiedene Gin-Sorten – Eine einzigartige Auswahl an Premium-Gins, die dein Tasting-Erlebnis täglich bereichern. 
 🎁 Exklusive Gins – Einige Sorten sind nur in diesem Kalender enthalten und nirgendwo anders erhältlich. Ein Muss für jeden, der das Besondere sucht! 
 🎁 Gutscheine im Wert von 100€ enthalten – Nur in unserem Adventskalender! Die Gutscheine kannst du für zukünftige Bestellungen auf unserer Website einlösen. 
 💎 Hochwertige Verpackung – Ideal als Geschenk oder für dich selbst – edles Design, das in jeder Adventszeit für Vorfreude sorgt. 
 🔥 Limitierte Edition – Dieser Kalender ist nur in begrenzter Stückzahl verfügbar – schnell sein lohnt sich! 
 Versüße dir die Adventszeit mit einer einzigartigen Gin-Reise. Bestelle jetzt und sichere dir dieses besondere Erlebnis! 
",COMPLETE,
